Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,396.84036708544863,1200.0,760.0,-190.49500062851712,1000.0,-628.9449976091705,-1026.3378602271596,-769.3996595820026,2150.0,1510.0,1523.537819517597,-475.3492017634006,2003.9046725567134,350.0,1320.0,600.0
t2,-0.0,1600.0,1200.0,760.0,-2.366337841163021,1000.0,-394.9324959566672,-869.6786448969299,-2451.657619601442,2150.0,1510.0,399.82804032719116,-1238.3496636564641,1768.8139904429065,350.0,1320.0,600.0
t3,-0.0,1600.0,-1200.0,760.0,-216.70825189858633,1000.0,-582.412850218107,-1027.20200370066,-2425.575050986198,2150.0,1510.0,-2549.9158990238066,-2001.4147827321538,1667.425918742495,350.0,1320.0,600.0
t4,-0.0,1600.0,-1200.0,760.0,453.879749755857,1000.0,113.91876347324502,-1172.1469760525774,3250.0,579.9119947811907,1510.0,176.9973174450264,-2117.3737761371867,1622.0374743610557,350.0,1320.0,600.0
t5,-0.0,-1600.0,1200.0,-210.72859101005662,-118.72885063102576,1000.0,-450.61501785523626,-1091.339538732028,-3250.0,2150.0,1510.0,80.70283399225818,-2252.8163618265053,2580.0,350.0,1320.0,600.0
t6,-0.0,-1600.0,130.73138303828972,-203.81566814102285,-195.10339373339107,1000.0,-525.4756735083406,-1184.3442143835716,442.9551750542155,2150.0,1510.0,-3011.81055676889,-1988.501336478264,2580.0,350.0,1320.0,600.0
t7,-0.0,-1600.0,-1200.0,92.7692129488521,-207.62233606970267,1000.0,-554.3362263002336,-1215.0612153578393,-2800.633989491266,2150.0,1510.0,2131.439999070687,-1999.3928117375017,2324.1155628244087,350.0,1320.0,600.0
t8,-0.0,-1600.0,-1200.0,-156.79526452339775,-289.79121304603905,1000.0,-677.2229739721441,-1117.674994651067,67.9670016193893,2150.0,1510.0,-1546.066476826193,-2324.8795350345927,2580.0,350.0,1320.0,600.0
t9,-0.0,-1600.0,-1200.0,-153.19330027671938,-351.83421710632956,1000.0,-785.3444002215672,-1119.7017815926304,-3250.0,2150.0,1510.0,-479.5385969287736,-1961.9429048962606,2580.0,350.0,1320.0,600.0
t10,-0.0,-1600.0,-1200.0,-109.91287759245735,-621.6075671983672,1000.0,-1098.7309339122282,-1112.199586635796,-1706.5385859969447,2150.0,1510.0,1251.8552439031055,-1604.4003679394734,2580.0,350.0,1320.0,600.0
t11,-0.0,-1600.0,-1200.0,90.89535624912504,-645.5996769043077,1000.0,-1189.217894058633,-1039.9575879475535,-3250.0,957.5988934539389,1510.0,2670.2119570465575,-1086.0450721515454,2580.0,350.0,1320.0,600.0
t12,-0.0,-1600.0,-1200.0,217.55441406840487,-753.972777125876,1000.0,-1300.0,-1018.5614812891127,-3250.0,640.5542913086922,1510.0,3191.2005119041996,-921.4031476250962,2580.0,350.0,1320.0,600.0
t13,-0.0,-1600.0,-1200.0,191.30099597398814,-735.3661930693762,1000.0,-1300.0,-834.3935937672745,-3250.0,449.0338443416979,1510.0,2251.9603090993305,-908.6952766680059,2580.0,350.0,1320.0,600.0
t14,-0.0,-1600.0,-1200.0,184.8686135180446,-733.7700813078172,1000.0,-1300.0,-532.7746537208236,696.469860190088,-2150.0,1510.0,5752.478099290945,-814.1115479875436,2580.0,350.0,1320.0,600.0
t15,-0.0,-1600.0,-1200.0,375.69872595160905,-678.9185665013486,1000.0,-1300.0,-633.5329047833354,1368.1226962422827,-2150.0,1510.0,5752.478099290945,637.3181855600706,2580.0,350.0,1320.0,352.8061227014718
t16,-0.0,-1600.0,-1200.0,491.3134376353103,-618.9335272698527,1000.0,-1237.590788643811,-794.4833460330126,-58.49906456151348,-1133.0448287334812,1510.0,5752.478099290945,198.05006700743166,2580.0,350.0,1320.0,600.0
