region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,5.6797387599999994e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3926593418082565e7,0.0,0.0,0.0,3.762472671255503e7,2.9899438503907822e7,0.0,0.0,4.3926593418082565e7,5.6797387599999994e7,-1.2870794181917429e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,1.295391149e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.119066247258024e7,0.0,0.0,0.0,2.079863943672757e8,4.433531013332871e8,0.0,0.0,7.119066247258024e7,1.295391149e8,-5.834845242741977e7
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,3.3676233e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3128714138483196e6,0.0,0.0,0.0,3.810245559512281e6,7.095107279692722e6,0.0,0.0,1.3128714138483196e6,3.3676233e6,-2.0547518861516803e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,5,0.0,0.0,0.0,4.30715296e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1973908908783574e7,0.0,0.0,0.0,9.975216462388948e7,1.879664294747434e8,0.0,0.0,3.1973908908783574e7,4.30715296e7,-1.1097620691216428e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,6,0.0,0.0,0.0,1.4608994600000001e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7708854361763075e6,0.0,0.0,0.0,1.6473466641118377e7,3.450077310444006e7,0.0,0.0,4.7708854361763075e6,1.4608994600000001e7,-9.838109163823694e6
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7,0.0,0.0,0.0,3.0430972e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.998585861928295e7,0.0,0.0,0.0,2.5820932948015295e7,0.0,0.0,0.0,4.998585861928295e7,3.0430972e7,1.9554886619282953e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,8,0.0,0.0,0.0,8.02164678e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.345015032090902e7,0.0,0.0,0.0,4.822154974017053e7,0.0,0.0,0.0,8.345015032090902e7,8.02164678e7,3.2336825209090263e6
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9,0.0,0.0,0.0,3.9607026e7,0.0,0.0,6.161723591039989e6,0.0,0.0,0.0,0.0,0.0,5.193817018090977e7,0.0,0.0,0.0,6.865166582754561e7,0.0,0.0,0.0,5.193817018090977e7,4.5768749591039985e7,6.169420589869782e6
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,10,0.0,0.0,0.0,1.0932651677275758e7,0.0,0.0,1.3964172986317238e7,9.924703792512222e7,0.0,0.0,0.0,0.0,3.22583734164417e7,0.0,0.0,0.0,9.188548917227331e7,0.0,0.0,0.0,3.22583734164417e7,1.2414386258871521e8,-9.188548917227352e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,11,0.0,0.0,0.0,1.163506911e8,0.0,0.0,1.687127063256482e8,1.2495987781853025e9,0.0,0.0,0.0,0.0,5.662214776991186e8,0.0,0.0,0.0,1.6478437405130944e9,0.0,0.0,0.0,5.662214776991186e8,1.5346621756109507e9,-9.684406979118321e8
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,12,0.0,0.0,0.0,1.0686073200000001e7,0.0,0.0,1.1664095542559985e7,7.845931041204458e7,0.0,0.0,0.0,0.0,2.324401842552483e7,0.0,0.0,0.0,1.462688003430721e8,0.0,0.0,0.0,2.324401842552483e7,1.0080947915460457e8,-7.756546072907974e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,13,0.0,0.0,0.0,0.0,0.0,0.0,6.380065788424727e-10,5.275983113828859e-9,0.0,0.0,0.0,0.0,5.147863791702572e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.147863791702572e-10,5.913989692671332e-9,-5.399203313501074e-9
NENG_Rest,NENG_Rest_nuclear_1,1,1,14,0.0,0.0,0.0,1.1375911453394495e8,0.0,0.0,1.1009981844203565e7,2.5862447352034226e7,0.0,0.0,0.0,0.0,5.278936791117645e7,0.0,0.0,0.0,7.04525580439827e7,2.738961777502342e7,0.0,0.0,5.278936791117645e7,1.5063154373018274e8,-9.78421758190063e7
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,16,0.0,0.0,0.0,741143.0,0.0,0.0,493533.6792600004,2.830502452962003e6,0.0,0.0,0.0,0.0,686115.6013133967,0.0,0.0,0.0,7.526513727924446e6,0.0,0.0,0.0,686115.6013133967,4.0651791322220033e6,-3.3790635309086065e6
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,17,0.0,0.0,0.0,2.61054e6,0.0,0.0,159495.03360000002,3.1169082389759994e6,0.0,0.0,0.0,0.0,1.9308322422672994e6,0.0,0.0,0.0,7.206236548012767e6,0.0,0.0,0.0,1.9308322422672994e6,5.886943272576e6,-3.9561110303087e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,0.0,2.6501822958380217e-10,0.0,0.0,5.288779192369475e-12,3.084477641834837e-11,0.0,0.0,0.0,0.0,-1.8517145594643067e-12,0.0,0.0,0.0,2.2757062361597387e-9,0.0,0.0,0.0,-1.8517145594643067e-12,3.0115178519452003e-10,-3.0300349975398435e-10
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,22,0.0,0.0,0.0,2.74177092e7,0.0,0.0,2.9646772848000024e7,1.8570132100724438e8,0.0,0.0,0.0,0.0,3.581631009837803e7,0.0,0.0,0.0,2.83157054759915e8,0.0,0.0,0.0,3.581631009837803e7,2.427658030552444e8,-2.0694949295686635e8
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,23,0.0,0.0,0.0,6.1666756e6,0.0,0.0,333542.22972000006,1.1269074590575213e7,0.0,0.0,0.0,0.0,1.489909737158161e6,0.0,0.0,0.0,1.7022732112305716e7,0.0,0.0,0.0,1.489909737158161e6,1.7769292420295212e7,-1.6279382683137052e7
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,24,0.0,0.0,0.0,7.318107e8,0.0,0.0,6.130453842124135e7,1.4400436075149602e8,0.0,0.0,0.0,0.0,1.7984811696031234e8,0.0,0.0,0.0,4.32374192880766e8,0.0,0.0,3.248972893316593e8,1.7984811696031234e8,9.371195991727374e8,-7.57271482212425e8
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,25,0.0,0.0,0.0,5.22172e6,0.0,0.0,4.054846320000001e6,2.4876127866239984e7,0.0,0.0,0.0,0.0,3.380804336043036e6,0.0,0.0,0.0,4.4838805187635e7,0.0,0.0,0.0,3.380804336043036e6,3.415269418623999e7,-3.077188985019695e7
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,26,0.0,0.0,0.0,2.6501822958380217e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2757062361597387e-9,0.0,0.0,0.0,0.0,2.6501822958380217e-10,-2.6501822958380217e-10
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,27,0.0,0.0,0.0,4.22005884e7,0.0,0.0,7.0174680113331e7,4.353543818449632e8,0.0,0.0,0.0,0.0,1.0952073858545324e8,0.0,0.0,0.0,5.604530371274463e8,0.0,0.0,0.0,1.0952073858545324e8,5.477296503582942e8,-4.38208911772841e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,28,0.0,0.0,0.0,1.0600729183352087e-9,0.0,0.0,2.493118738415847e-9,1.4310404738361778e-8,0.0,0.0,0.0,0.0,2.422653104490773e-9,0.0,0.0,0.0,9.102824944638955e-9,0.0,0.0,0.0,2.422653104490773e-9,1.7863596395112836e-8,-1.5440943290622064e-8
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,30,0.0,0.0,0.0,8.2615155e6,0.0,0.0,1.6379820434705652e7,9.431524694274735e7,0.0,0.0,0.0,0.0,3.660596448127536e7,0.0,0.0,0.0,1.19543457402034e8,0.0,0.0,0.0,3.660596448127536e7,1.18956582877453e8,-8.235061839617765e7
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,32,0.0,0.0,0.0,1.3214422e6,0.0,0.0,521518.1378399999,6.950369188677612e6,0.0,0.0,0.0,0.0,576015.5433856576,0.0,0.0,0.0,1.341961383829933e7,0.0,0.0,0.0,576015.5433856576,8.793329526517611e6,-8.2173139831319535e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,33,0.0,0.0,0.0,391071.2,0.0,0.0,105054.6153600001,745676.6040000013,0.0,0.0,0.0,0.0,116032.57290799516,0.0,0.0,0.0,3.971437030904814e6,0.0,0.0,0.0,116032.57290799516,1.2418024193600016e6,-1.1257698464520064e6
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,34,0.0,0.0,0.0,1.41098334e7,0.0,0.0,2.1426266762881644e7,1.1001035839691576e8,0.0,0.0,0.0,0.0,3.3609688684388414e7,0.0,0.0,0.0,1.2116085716058798e8,0.0,0.0,0.0,3.3609688684388414e7,1.455464585597974e8,-1.1193676987540899e8
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,35,0.0,0.0,0.0,3.13019028e7,0.0,0.0,4.582703094212412e7,3.1146880721355194e8,0.0,0.0,0.0,0.0,9.003398465490939e7,0.0,0.0,0.0,4.529359878310958e8,0.0,0.0,0.0,9.003398465490939e7,3.885977409556761e8,-2.985637563007667e8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,36,0.0,0.0,0.0,0.0,0.0,0.0,-2.510888148852823e-9,-2.479432650586039e-8,0.0,0.0,0.0,0.0,-2.4313187633762987e-9,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-2.4313187633762987e-9,-2.730521465471321e-8,2.487389589133691e-8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,37,0.0,0.0,0.0,2.0708275e7,0.0,0.0,3.772432373399996e7,2.1871198000818026e8,0.0,0.0,0.0,0.0,4.644685097190003e7,0.0,0.0,0.0,2.5958465431841543e8,0.0,0.0,0.0,4.644685097190003e7,2.771445787421802e8,-2.3069772777028018e8
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,38,0.0,0.0,0.0,4.1046449e6,0.0,0.0,5.630305026800001e6,3.3096026210642368e7,0.0,0.0,0.0,0.0,1.3285724447979612e7,0.0,0.0,0.0,3.524650364928022e7,0.0,0.0,0.0,1.3285724447979612e7,4.2830976137442365e7,-2.954525168946275e7
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,39,0.0,0.0,0.0,9.8448071e6,0.0,0.0,1.13717187396215e7,5.741348941058654e7,0.0,0.0,0.0,0.0,2.9733378983011983e7,0.0,0.0,0.0,8.453716163768753e7,0.0,0.0,0.0,2.9733378983011983e7,7.863001525020805e7,-4.889663626719607e7
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,40,0.0,0.0,0.0,0.0,0.0,0.0,-1.675487272339241e-9,-1.5165433088858742e-8,0.0,0.0,0.0,0.0,-2.3263473051160156e-9,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-2.3263473051160156e-9,-1.6840920361197983e-8,1.4514573056081966e-8
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,41,0.0,0.0,0.0,-1.7927277440321632e-9,0.0,0.0,-3.6416941999453128e-9,-2.1981741990112156e-8,0.0,0.0,0.0,0.0,-6.576924181126274e-9,0.0,0.0,0.0,-1.820564988927791e-8,-0.0,0.0,0.0,-6.576924181126274e-9,-2.741616393408963e-8,2.0839239752963356e-8
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,43,0.0,0.0,0.0,3.6527796300000004e7,0.0,0.0,5.821296416861155e7,3.5713144860474813e8,0.0,0.0,0.0,0.0,2.4973664580639088e8,0.0,0.0,0.0,2.377956107583928e8,0.0,0.0,0.0,2.4973664580639088e8,4.5187220907335967e8,-2.021355632669688e8
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,44,0.0,0.0,0.0,1.529674476e8,0.0,0.0,2.3367004486319274e8,1.5156567882738888e9,0.0,0.0,0.0,0.0,1.3895428923014178e9,0.0,0.0,0.0,1.440504549104793e9,0.0,0.0,0.0,1.3895428923014178e9,1.9022942807370815e9,-5.127513884356637e8
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,45,0.0,0.0,0.0,0.0,0.0,0.0,8.395644448455634e-10,1.4663116494587345e-8,0.0,0.0,0.0,0.0,4.462733060210496e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.462733060210496e-9,1.5502680939432907e-8,-1.103994787922241e-8
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,47,0.0,0.0,0.0,-5.325546226231381e-9,0.0,0.0,-1.798875512674584e-8,-1.1961437410233136e-7,0.0,0.0,0.0,0.0,-6.315156241685954e-8,0.0,0.0,0.0,-5.520851791739822e-8,-0.0,0.0,0.0,-6.315156241685954e-8,-1.4292867545530857e-7,7.977711303844902e-8
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,48,0.0,0.0,0.0,5.5143845199999996e7,0.0,0.0,2.5621361354399994e6,1.0838804727920389e8,0.0,0.0,0.0,0.0,4.669412863132047e7,0.0,0.0,0.0,1.8533659028118777e8,0.0,0.0,0.0,4.669412863132047e7,1.6609402861464387e8,-1.193998999833234e8
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,49,0.0,0.0,0.0,7.627360099999998e8,0.0,0.0,1.0188399295187318e8,2.393254994439499e8,0.0,0.0,0.0,0.0,6.390030475408784e8,0.0,0.0,0.0,4.2370280366916364e8,0.0,0.0,4.12396511857805e7,6.390030475408784e8,1.1039455023958228e9,-4.6494245485494435e8
