Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-8.955748100710604,-8.955748100710585,-8.955748100710585,-8.955748100710585,-8.955748100710585,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,12.0564,24.244400000000002
t2,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,12.0564,22.243950080000005
t3,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,12.056400000000002,20.243500160000007
t4,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710602,-8.955748100710604,-8.955748100710604,-8.955748100710604,12.056400000000002,20.243500160000007
t5,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710602,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,12.056400000000002,24.244400000000002
t6,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710602,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,12.0564,24.244400000000002
t7,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,12.0564,24.244400000000002
t8,-8.955748100710604,-9.550767006835576,-9.550767006835576,-9.550767006835576,-9.550767006835578,-9.550767006835576,-9.550767006835576,-9.550767006835576,-8.955748100710604,12.0564,24.244400000000002
t9,-8.955748100710604,-31.129537339549188,-31.129537339549188,-31.129537339549188,-31.129537339549188,-31.129537339549188,-31.129537339549188,-31.129537339549188,-8.955748100710604,12.056400000000002,24.244400000000002
t10,-8.955748100710604,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-8.955748100710604,12.056400000000002,24.244400000000002
t11,-8.955748100710604,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-8.955748100710604,12.056400000000002,19.2474707488
t12,-8.955748100710604,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-8.955748100710604,12.0564,19.2474707488
t13,-8.955748100710604,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-8.955748100710604,12.0564,19.2474707488
t14,-8.955748100710604,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-8.955748100710604,12.0564,19.2474707488
t15,-8.955748100710604,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-8.955748100710604,12.0564,19.2474707488
t16,-8.955748100710604,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-33.79053505655932,-8.955748100710604,16.07614313373051,24.244400000000002
t17,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,23.8204,24.244400000000002
t18,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,26.517988593503794,25.664800000000003
t19,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,26.517988593503794,25.664800000000003
t20,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,26.517988593503794,25.664800000000003
t21,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,26.517988593503794,25.664800000000003
t22,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,26.51798859350379,25.664800000000003
t23,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,26.517988593503794,25.664800000000003
t24,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710586,-8.955748100710604,-8.955748100710604,-8.955748100710604,-8.955748100710604,26.517988593503794,25.664800000000003
t25,23.06647318971429,23.63631492050953,23.579587677224932,23.356640592941634,22.06510002312305,23.38936395060217,23.652800069112573,23.80942541320422,23.81184184182828,23.464361745461698,24.2444
t26,19.450683789669856,20.065114597423687,19.95705474021207,19.768359024828126,19.50327549184061,19.79605509182703,20.019019509594994,20.151582496214164,20.181832962105382,19.88732465362973,24.2444
t27,18.887148104433102,19.48377729194456,19.378848203107918,19.19561948160553,18.938216091487153,19.222513123236595,19.43901769582333,19.56773999620703,19.597114029310124,19.88732465362973,24.2444
t28,18.356442856826245,18.936307510119146,18.834326797488604,18.656246573974155,18.4060758972931,18.682384537899832,18.892805602687123,19.017910967368305,19.046459626866817,19.88732465362973,24.2444
t29,18.356442856826245,18.936307510119146,18.834326797488604,18.656246573974155,18.4060758972931,18.682384537899832,18.892805602687123,19.017910967368305,19.046459626866817,19.88732465362973,24.2444
t30,22.0871552614562,22.7007386914472,22.57848478805255,22.36500322001423,22.06510002312305,22.39633726381798,22.64858885005567,22.798564455965536,22.83278842803193,22.499595406845575,24.2444
t31,22.24675437163624,22.7007386914472,22.57848478805255,22.36500322001423,22.06510002312305,22.39633726381798,22.648588850055674,22.798564455965543,22.83278842803193,23.17091565302772,24.2444
t32,19.340134983117128,19.48377729194456,19.378848203107918,19.19561948160553,16.5431904213934,19.002717877939826,19.43901769582333,19.56773999620703,19.597114029310124,19.88732465362973,20.548449562056195
t33,19.413847280469998,18.764715977377552,18.760001451948593,18.58262398114142,16.5431904213934,18.417804708508214,19.37497488185851,19.503273100199305,19.597114029310124,19.88732465362973,19.247470748800005
t34,19.93313825298082,18.764715977377552,18.760001451948593,18.58262398114142,16.5431904213934,18.417804708508214,19.439017695823335,19.567739996207035,19.597114029310124,19.88732465362973,19.247470748800005
t35,19.93313825298082,18.764715977377552,18.760001451948593,18.58262398114142,16.5431904213934,18.417804708508214,19.37497488185851,19.503273100199305,19.597114029310124,19.88732465362973,19.247470748800005
t36,20.10095350665942,16.610598785562374,16.55770405538296,16.40114950099019,14.361715941242172,16.236330228356987,16.609114162067453,16.719097259759483,17.431556397750857,19.88732465362973,19.247470748800005
t37,20.10095350665942,16.610598785562374,16.55770405538296,16.40114950099019,14.361715941242172,16.236330228356987,16.609114162067453,16.71909725975948,17.431556397750857,19.88732465362973,19.247470748800005
t38,19.413847280469998,16.610598785562374,16.557704055382963,16.40114950099019,14.361715941242172,16.236330228356987,16.609114162067453,16.719097259759483,17.431556397750857,19.88732465362973,19.247470748800005
t39,19.240501316474383,16.821989485985835,16.731395346936946,16.40114950099019,14.361715941242172,16.236330228356987,16.609114162067453,16.71909725975948,17.431556397750857,19.88732465362973,24.2444
t40,19.240501316474383,16.716294135774106,16.626269214727753,16.40114950099019,14.361715941242172,16.236330228356987,16.609114162067453,16.719097259759483,17.431556397750857,19.88732465362973,24.2444
t41,19.240501316474383,16.716294135774106,16.626269214727753,16.40114950099019,14.361715941242172,16.236330228356987,16.609114162067453,16.719097259759483,17.537136123036802,25.050369481014588,24.2444
t42,24.023208464500357,23.481643362920426,23.355183929231615,23.134358602207282,22.06510002312305,22.90187561938822,23.42769956868389,23.582834330551368,24.656038677344338,26.51798859350379,24.2444
t43,24.476693108430684,23.879381806516037,23.750780368643106,23.526214642340932,22.06510002312305,23.604088253382983,23.86994282743557,24.028006058760013,25.121469218683163,26.51798859350379,25.664800000000003
t44,24.476693108430684,23.879381806516037,23.750780368643106,23.526214642340932,22.06510002312305,23.604088253382983,23.869942827435565,24.02800605876001,25.121469218683163,26.51798859350379,25.664800000000003
t45,24.476693108430684,23.879381806516037,23.750780368643106,23.526214642340932,22.06510002312305,23.604088253382983,23.86994282743557,24.028006058760013,25.121469218683163,26.51798859350379,25.664800000000003
t46,24.476693108430684,23.879381806516037,23.750780368643106,23.526214642340932,22.06510002312305,23.604088253382983,23.86994282743557,24.028006058760013,25.121469218683163,26.51798859350379,25.664800000000003
t47,24.023208464500357,23.879381806516037,23.750780368643106,23.526214642340932,22.06510002312305,23.604088253382983,23.86994282743557,24.028006058760013,24.656038677344338,26.51798859350379,25.664800000000003
t48,24.02320846450036,23.64668183227757,23.589929708366366,23.36688483926511,22.06510002312305,23.604088253382987,23.86994282743557,24.028006058760013,24.143617956396387,24.50115705271335,24.255033618502477
t49,34.2992,28.70584605222284,28.86127728523397,29.13676800034045,28.74605891863735,29.432543020998207,29.764043907799472,29.96113700481109,30.00611304345204,30.244700000000005,25.664800000000003
t50,34.2992,29.80140816078634,29.962771445723916,30.24877629750425,29.843155756142135,30.55583960782617,30.899992266321394,31.104607445369975,31.1513,30.244700000000005,25.664800000000003
t51,34.2992,28.52556685239913,28.680021942144393,28.953782513307797,28.56552717292572,29.247700000000002,29.577118986323413,29.772974294148973,29.817667873104096,30.244700000000005,25.664800000000003
t52,34.2992,28.525566852399137,28.680021942144403,28.9537825133078,28.565527172925723,29.247700000000002,29.577118986323413,29.772974294148973,29.817667873104096,30.244700000000005,25.664800000000003
t53,34.2992,28.52556685239913,28.6800219421444,28.953782513307797,28.56552717292572,29.247700000000002,29.577118986323413,29.772974294148973,29.817667873104096,30.244700000000005,25.664800000000003
t54,31.202687292917656,28.06003003302245,28.211964418040317,28.481257220824933,28.099338201722738,28.770377978581937,29.094420852033384,29.28707980419895,29.331043984621843,30.244700000000005,25.664800000000003
t55,27.472846835200002,21.22589760900585,21.340827767522477,21.298663245075154,21.013059119116853,21.5148715960227,22.815604727396543,22.966686287746516,23.217892058947562,29.228807599043673,24.244400000000002
t56,27.472846835200002,16.387511992471524,16.47624413401303,16.3204597903722,16.10161081379408,16.25562722063344,16.527401315338174,16.636843322643514,18.502257193000535,29.228807599043673,24.244400000000002
t57,27.472846835200002,7.736044155097405,7.777931890420302,7.7923402096278025,7.6878489329156325,7.714033024793973,8.410500303459399,8.466193392656582,11.059256695425807,29.3069392288,24.244400000000002
t58,27.472846835200002,5.74338565495511,5.774483902760943,5.805017365803189,5.72717506688256,5.746681287603485,7.529720675162248,7.579581371917611,11.059256695425807,30.24470000000001,24.244400000000002
t59,27.472846835200002,1.7462364615821115,1.7556916675307161,1.7390914477332124,1.7021086600533293,1.72161488077425,3.504654268333016,7.579581371917611,7.6160508893446375,30.244700000000005,24.244400000000002
t60,27.472846835200002,1.7462364615821129,1.7556916675307173,1.7390914477332136,1.7021086600533293,1.7216148807742506,3.504654268333016,7.65269588159489,7.6160508893446375,30.244700000000005,24.244400000000002
t61,27.472846835200002,1.7462364615821115,1.7556916675307161,1.7390914477332124,1.7021086600533293,1.72161488077425,7.55460971390149,7.65269588159489,7.6160508893446375,30.244700000000005,24.244400000000002
t62,34.2992,1.7462364615821129,1.7556916675307173,1.7390914477332136,1.7021086600533293,1.7216148807742506,7.55460971390149,7.652695881594901,7.6160508893446455,30.24470000000001,24.244400000000002
t63,34.2992,1.7462364615821115,1.7556916675307161,1.7390914477332124,1.7021086600533293,1.72161488077425,14.097753700368699,31.399989985818113,14.21240986279953,36.744800000000005,24.322094290719928
t64,34.2992,2.4014332085592516,2.388500387848951,2.2374965398399413,2.2074928613816907,1.72161488077425,23.820400000000003,31.592,24.0141298458758,36.744800000000005,25.664800000000003
t65,34.2992,7.357313849883859,7.317691335882295,7.164429564401298,4.387517425377896,7.092432411423386,23.820400000000003,31.399989985818113,24.0141298458758,36.744800000000005,25.664800000000003
t66,34.2992,19.004957741680663,18.902607316024856,9.66652003277831,-33.79053505655932,9.569378743955802,27.5727,31.592,31.1513,36.744800000000005,25.664800000000003
t67,34.2992,46.305124130889595,46.05574977135354,26.62230113480709,25.71965679970857,26.354766941024142,28.619492781158883,28.809006829875297,59.69815929900393,36.744800000000005,25.664800000000003
