Time,Weight
1,83.0
2,83.0
3,83.0
4,83.0
5,83.0
6,83.0
7,83.0
8,83.0
9,83.0
10,83.0
11,83.0
12,83.0
13,83.0
14,83.0
15,83.0
16,83.0
17,83.0
18,83.0
19,83.0
20,83.0
21,83.0
22,83.0
23,83.0
24,83.0
25,96.0
26,96.0
27,96.0
28,96.0
29,96.0
30,96.0
31,96.0
32,96.0
33,96.0
34,96.0
35,96.0
36,96.0
37,96.0
38,96.0
39,96.0
40,96.0
41,96.0
42,96.0
43,96.0
44,96.0
45,96.0
46,96.0
47,96.0
48,96.0
49,105.99999999999999
50,105.99999999999999
51,105.99999999999999
52,105.99999999999999
53,105.99999999999999
54,105.99999999999999
55,105.99999999999999
56,105.99999999999999
57,105.99999999999999
58,105.99999999999999
59,105.99999999999999
60,105.99999999999999
61,105.99999999999999
62,105.99999999999999
63,105.99999999999999
64,105.99999999999999
65,105.99999999999999
66,105.99999999999999
67,105.99999999999999
68,105.99999999999999
69,105.99999999999999
70,105.99999999999999
71,105.99999999999999
72,105.99999999999999
73,80.0
74,80.0
75,80.0
76,80.0
77,80.0
78,80.0
79,80.0
80,80.0
81,80.0
82,80.0
83,80.0
84,80.0
85,80.0
86,80.0
87,80.0
88,80.0
89,80.0
90,80.0
91,80.0
92,80.0
93,80.0
94,80.0
95,80.0
96,80.0
