Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENG_Rest_conventional_hydroelectric_1,1,3.933356775220871e6,1067.6,0.4205819881085291
NY_Z_A_conventional_hydroelectric_1,2,1.2796361772479998e7,2434.9,0.5999309589041095
NY_Z_B_conventional_hydroelectric_1,3,0.0,0.0,0.0
NY_Z_C&E_conventional_hydroelectric_1,4,209173.24851,63.3,0.3772231392694064
NY_Z_D_conventional_hydroelectric_1,5,5.4742753964800015e6,809.6,0.7718839954337902
NY_Z_F_conventional_hydroelectric_1,6,1.0394766889800003e6,274.6,0.4321257191780823
PJM_EMAC_conventional_hydroelectric_1,10,2.3298114267999995e6,572.0,0.4649653995433789
PJM_Rest_conventional_hydroelectric_1,11,2.9460444027917446e6,1507.8,0.2230444612513972
NENG_Rest_conventional_steam_coal_1,1,3.83688e6,438.0,1.0
NENG_Rest_natural_gas_fired_combined_cycle_1,1,1.7214829632000014e7,3721.9,0.5280000000000004
NENG_Rest_natural_gas_fired_combined_cycle_2,1,4.562247796657077e7,10513.3,0.4953768493217004
NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1.9537848479999986e6,933.2,0.23899999999999982
NENG_Rest_natural_gas_fired_combustion_turbine_2,1,0.0,0.0,0.0
NENG_Rest_nuclear_1,1,1.000161221006176e7,1141.7365536600178,1.0000000000000004
NY_Z_A_natural_gas_fired_combined_cycle_1,2,2.185907328000003e6,444.8,0.5610000000000008
NY_Z_A_natural_gas_fired_combustion_turbine_1,2,78638.52000000014,47.0,0.1910000000000003
NY_Z_A_natural_gas_steam_turbine_1,2,201644.27999999997,45.0,0.5115278538812785
NY_Z_B_natural_gas_fired_combined_cycle_1,3,751187.52,119.1,0.7200000000000001
NY_Z_B_natural_gas_fired_combustion_turbine_1,3,0.0,0.0,0.0
NY_Z_B_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
NY_Z_B_nuclear_1,3,0.0,0.0,0.0
NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,6.737902919999993e6,1768.2,0.43499999999999955
NY_Z_C&E_natural_gas_steam_turbine_1,4,280287.58799999993,106.3,0.30099999999999993
NY_Z_C&E_nuclear_1,4,0.0,0.0,0.0
NY_Z_D_natural_gas_fired_combined_cycle_1,5,787348.8000000005,280.0,0.32100000000000023
NY_Z_D_natural_gas_fired_combined_cycle_2,5,665628.5999999983,91.0,0.834999999999998
NY_Z_F_natural_gas_fired_combined_cycle_1,6,1.9743649133219402e7,3499.8,0.6439914352972617
NY_Z_F_natural_gas_fired_combined_cycle_2,6,1.9449661560000002e6,293.3,0.7570000000000001
NY_Z_F_natural_gas_fired_combustion_turbine_1,6,0.0,0.0,0.0
