Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,6.7927013582351814e10,9.713690453106453e9,1.5297878532e8,2.7428493794159997e8,9.899615797539438e8,2.4508476511207634e8,2.248411692496409e9,5.156067879361193e9,2.2416993931000004e9,493771.5,1.0023256823815628e10,3.671706376098232e10
cFix,5.127894151999651e10,7.584527559564809e9,1.518731244e8,2.4302595839999998e8,8.257597295e8,2.447923402757413e8,2.246550473889389e9,3.464478046443376e9,2.2416993931000004e9,493771.5,8.31467812904892e9,2.596106299387429e10
cVar,3.7474712274298315e9,4.4439235939128405e8,1.10566092e6,9.728190240000002e6,5.2262331594632335e7,292424.8363350205,1.861218607020008e6,3.7779424282018095e8,0.0,0.0,4.347583672386118e8,2.425276431781788e9
cFuel,1.2736581095063206e10,1.6847705341503594e9,0.0,2.153078930159998e7,1.1193951865931141e8,0.0,0.0,1.3137955900976362e9,0.0,0.0,1.2738203275280976e9,8.330724335326248e9
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.4329011973800355e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
