Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,2.0066914159914705e8,2.4478191874939177e7,1.1974085628812344e8,1.7389610465423524e8,4.6802127115071493e8,775157.6144133228,0.0,0.0,5.379575786151264e7,5.655607882450431e6,0.0,4.7695862479962185e6,0.0,0.0,8.305127069534642e6,1.0728730228287786e7,6.343881426551159e6,1.8031809967230637e7,0.0,349484.2859300002,7.88438333359568e6,1.6250378767077976e6,3.517649892398698e6,7.294066621500075e6,29193.523433135262,22567.733587052313,48755.99423059726,5548.201170139535,29005.11313467347,52987.395245457934,187525.31591444366,62186.8491692169,418806.5053451805,1.838487461692467e6,323638.8099307022,224879.62420666794,159136.3490665028,315121.404855057,42893.944793600975,187422.9069470497,359829.00439821306,1.5689994554365568e6,522950.1618428766,4.83953589697518e6,1.356710644686357e7,3.4379222674984047e6,1.1441263462410061e9
t1,15157.63219399539,1502.9099307159345,7305.970900692842,10332.166919105075,26324.16455889146,140.11547213037295,-0.0,-0.0,3667.2166707855627,41.98888915363293,0.0,197.00143114675123,-0.0,-0.0,-0.0,264.6497722998837,727.6463436937876,1987.8867008905393,0.0,30.35235,679.6592,152.10014093791065,402.9460173193539,683.0863949550419,-0.0,-0.0,-0.0,0.79728130069964,-0.0,-0.0,-0.0,-0.0,-0.0,322.09391445619525,-0.0,6.18086313087133,4.692352514491752,9.271294696307002,5.958852878175149,5.670516633826907,10.490455772579736,37.56717269910317,12.801191300864218,463.5299852937572,1995.362107098981,67.90445245131014,72539.81432694072
t2,16189.374701100342,1710.7499307159344,5958.742263279448,11622.506919105075,29522.30255889146,140.11547213037295,-0.0,-0.0,5607.568411723492,-0.0,-0.0,390.992897329581,-0.0,-0.0,55.65582804884127,264.6497722998837,851.4738955536029,2362.6178108905397,0.0,40.48668,612.4624,193.8809304689553,436.87289732954076,880.4371366778596,1.5386804896228141,1.1661578447667644,2.3161190528006577,0.5950002319442709,1.4091073957598401,2.62385515072522,9.37785266833273,3.19073743637573,22.809853045647795,-0.0,20.338793053232745,7.576630556338613,5.751983289330446,11.364945834507926,4.068562389876882,6.951037207650102,12.859418834152647,46.050621500681835,15.69196649627008,-0.0,716.1946955529147,88.17218998629475,77820.93871356215
t3,17774.154701100342,1918.5899307159343,6969.104463279447,12912.846919105075,32720.44055889146,140.11547213037295,-0.0,-0.0,4266.221202903166,122.65707386528815,-0.0,948.7278059817722,-0.0,-0.0,626.207853902208,627.4323346209915,1063.8305294461943,2590.2637904452704,0.0,45.3861,612.62432,212.92483999999996,518.2757773397276,1078.3198141434032,-0.0,-0.0,-0.0,0.35135896454324034,-0.0,-0.0,-0.0,-0.0,31.087248520882056,39.81137413996129,27.541923603751655,8.211133346779581,6.23368150867898,12.31670002016938,2.5546707342413244,7.533149859430807,13.936327239946952,-0.0,17.006085807665023,11.161453685347773,-0.0,97.35097746381197,85423.21957276585
t4,19358.93470110034,1641.4536720554263,5959.453600000004,14203.186919105076,35918.57855889146,140.11547213037295,-0.0,-0.0,4609.244879114524,295.27643458596486,-0.0,390.992897329581,-0.0,-0.0,1307.0258224056865,1176.765737782347,1063.8305294461948,2617.274010000001,0.0,47.46233999999998,612.8672,235.46949999999995,552.1454573499144,1253.7528468122628,0.7571721101930539,0.5738567571989461,1.139743281659018,0.21973650063928057,0.6934102482820597,-0.0,4.614764755808191,1.5701358495582274,20.036620112062412,88.75618717436066,17.146017853594476,0.7858680967575591,0.5966108716209906,1.1788021451363377,1.6239516084065904,0.7209799052821637,1.3338128247720036,4.776491872494337,-0.0,25.325715337705994,41.49105688345269,-0.0,91597.17151229814
t5,19913.087944572755,1849.2936720554262,6969.815800000004,15493.526919105076,39116.71655889146,140.11547213037295,-0.0,-0.0,5910.551974587646,397.7173417756678,-0.0,948.7278059817722,-0.0,-0.0,1580.0,1440.0,785.5963440022836,2612.891190000001,0.0,44.30366999999997,613.11008,235.27727999999993,552.1454573499144,1304.6466463723934,1.253904724011353,0.9503277908296572,1.887456584564458,0.43092045415698216,1.1483127472525023,2.138237529366728,7.642219317921826,2.600202427686701,-0.0,-0.0,16.522779005559183,1.1890789423945234,0.9027181879187777,1.7836184135917843,0.9654060526401733,1.090898112288553,2.018161507733824,7.2271999939116665,0.8350903523169236,-0.0,-0.0,5.842986775562926,99963.95367574449
t6,21497.867944572754,1572.1574133949182,7980.1780000000035,16712.93634372936,41676.93842222837,140.11547213037295,-0.0,-0.0,4217.241200905148,509.88301425115577,0.0,948.7278059817722,-0.0,-0.0,1407.0140666311459,1440.0,1063.8305294461948,2407.8726100000013,0.0,35.903759999999956,613.35296,212.37563999999995,504.6694573499144,1230.9344487196604,3.4961303356643643,2.649698780714045,5.262596189473728,0.5888219512697876,3.20171936002947,5.9618222566066,21.307994361575442,7.249870275009261,-0.0,-0.0,46.45136103099192,2.765544526214327,2.0995303627911515,4.148316789321489,0.8359677073424683,2.5371968130406666,4.6938141041252335,16.80892888639442,-0.0,30.740170283158058,87.2294651236534,-0.0,104420.02803847817
t7,19384.70397228638,1779.997413394918,8990.540200000003,17052.15712349705,41676.93842222837,140.11547213037295,-0.0,-0.0,2749.120892242694,600.9581043068791,-0.0,948.7278059817722,-0.0,-0.0,1407.0140666311459,749.8580707280946,785.6600006021845,2002.21827,0.0,32.77674,613.5958400000001,166.73712,438.23737734991454,1032.6188185324713,5.367970882064684,4.0683568790384985,8.080208801423685,1.2817173042050858,4.9159312288381845,9.153802977836623,32.71636990226793,-0.0,93.49468560989689,-0.0,-0.0,6.861201828198917,5.208848176912481,10.291802742298376,1.3065907133408978,6.294680576329282,11.645159066209171,41.70225881818149,8.482519595624048,113.26834059144352,321.4021706114521,59.90170184207966,101297.42002805992
t8,20969.48397228638,1849.439999999999,10000.902400000003,18342.49712349705,39737.79974727419,140.11547213037295,-0.0,0.0,1602.8860805845347,652.6881299870696,-0.0,289.7782447197316,-0.0,-0.0,1152.4349513129687,749.8580707280946,1063.8305294461948,1800.12157,0.0,27.52284,620.9623308927055,143.94532,419.28129734991467,709.734176928743,12.669343876818882,9.602029043483785,19.070696572474745,0.5427877718400247,11.602451760876239,21.604565347838516,77.21631689134878,15.14074189438502,219.88282079830904,526.0055809962781,-0.0,14.619508669935712,11.098755435203488,21.929263004903568,2.5483547222823715,13.412393275170377,24.8129275590652,88.85710544800375,24.55075601325782,267.9979254800867,769.7212365230266,175.81808885357864,102601.98590707612
