Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,4.167410459057847e7,0.0,0.0,4.167410459057847e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,2.1976489455895674e8,0.0,2.1976489455895674e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,4.000617600886567e6,0.0,4.000617600886567e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,1.062210481766297e8,0.0,1.062210481766297e8
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,1.7326700933257308e7,0.0,1.7326700933257308e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,2.7629711477848604e7,2.7629711477848604e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,4.952940268019528e7,4.952940268019528e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,7.480670660335657e7,0.0,0.0,7.480670660335657e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,1.0677705050033616e7,0.0,0.0,1.0677705050033616e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,1.7955829875184214e9,0.0,0.0,1.7955829875184214e9
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,1.5938269087272227e8,0.0,0.0,1.5938269087272227e8
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_nuclear_1,1,1,1.0196873832878831e8,0.0,0.0,1.0196873832878831e8
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,0.0,0.0,0.0
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,8.061625278853573e6,0.0,8.061625278853573e6
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,7.718577394647039e6,0.0,7.718577394647039e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,2.437501821408255e-9,0.0,2.437501821408255e-9
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.0,9.970686754462941e7,0.0,9.970686754462941e7
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.0,3.0328863442699766e8,0.0,3.0328863442699766e8
