BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.0860270867315564e8,4.70581514540831e6,-6.274788314792216e6,1.8066167285123917e6,-1.8066167285123914e6,47470.17904968599,0.0,8.822604108751198e6,-269152.79157259234,-1.1563465699999988e8,1.6013635660035243e7,587176.1887743565,-782947.517953529,119387.65718587236,-119387.65718587243,0.0,0.0,-5.493029383314758e6,-121080.9475413107,-1.0203754e7,3.9181527401000075e6,-1.5347723092418164e-12,-1.5347723092418164e-12,91984.86258338,-91984.86258337999,0.0,0.0,3.873277321366031e6,-66295.06146602862,-7.725135000000003e6,3.1921379278184567e7,332052.7549860731,-392311.8560799537,179364.38648199494,-179364.38648199476,0.0,0.0,-1.6021041942416448e7,-533272.2346742352,-1.5306806000000006e7,7.659883666711208e6,0.0,0.0,20453.71694439478,-20453.716944394775,0.0,0.0,-5.847083175389491e6,-64796.49132170795,-1.7480040000000002e6,6.202199205998163e7,1.6925035350089394e7,-2.0453192118269578e7,105199.85708770904,-105199.85708774083,0.0,0.0,-4.856731343157855e7,-470176.86022284225,-9.456345000000004e6,1.3511997437612154e7,4.447001848279046e6,-5.254019196927036e6,201205.6452809932,-201205.64528099305,0.0,0.0,4.899034260008109e6,-760245.3489722571,-1.6843769e7,4.13856662456746e7,0.0,0.0,744209.1020294091,-744209.1020294097,2652.554544583424,0.0,2.311615351565125e7,-162431.31587050654,-6.4342041e7,3.226917912393164e6,0.0,0.0,252882.97653525323,-252882.97653525328,12597.79983398131,0.0,1.700151728562772e7,-224117.99785486382,-2.001691499999998e7,1.4871326961278903e8,5.435107824203907e6,-6.91150007749063e6,2.2950811767746527e6,-2.295081176774653e6,152508.2566344107,0.0,5.680558356991441e6,-142932.97312834847,-1.5292701100000003e8,5.634208297969307e8,8.12810273455732e6,-1.0362274185636533e7,7.027841082624964e6,-7.027841082624961e6,0.0,0.0,1.2535323084303528e7,-362295.43015504425,-5.733596859999999e8
t1,16226.164550078376,930.4998688418502,-899.5001311581498,57.405890924781986,-830.9000000000001,0.0,0.0,-3560.0,-39.019999999999996,-11884.650178686861,2041.0840800000003,240.0,-0.0,4.083510216978446,-19.30197812960799,0.0,0.0,-1208.644887550138,-17.911,-1039.3097245372328,338.63675,0.0,-0.0,3.0976567195658973,-14.64782803416346,0.0,0.0,471.4402928878534,-11.386,-787.1408715732557,2431.60329,0.0,-25.1626590111773,6.135298835742523,-28.97656849634575,0.0,0.0,-743.9646751750356,-80.1506030275013,-1559.484083125683,873.5154813426316,0.0,-0.0,0.7005743657711778,-3.338148858959945,0.0,0.0,-682.0502612517467,-10.8,-178.027645597696,2090.4334000000003,1166.7,-2537.2451372813002,3.743209929802749,-17.70087494215643,0.0,0.0,326.43653538001195,-69.4125,-962.9546330863586,773.1234153041763,0.0,-0.0,6.9460087417122764,-32.79618137705028,0.0,0.0,1075.3068408567708,-104.96858838366346,-1717.6114951419447,7923.587390116245,0.0,-0.0,24.85144171388619,-117.39220332693856,0.0,0.0,-1262.4254041094596,-22.777985356162162,-6545.843239037572,351.70259999999996,0.0,-0.0,8.462286461308153,-39.98792873772899,0.0,0.0,1753.9015589617438,-30.871000000000002,-2043.2075166853233,15108.678380297271,0.0,-0.0,70.06407789917483,-858.1311872360607,0.0,0.0,720.0,-19.512,-15021.099270960385,57677.1282966857,0.0,-0.0,268.52337380778,-3132.278362140157,0.0,0.0,3110.0,-50.6715,-57872.70180835334
t2,15823.437213561763,358.6387399712862,-1471.3612600287138,33.07435479840302,-0.0,0.0,0.0,-3560.0,-39.019999999999996,-11144.769048302738,1922.6295433333337,240.0,-0.0,2.3087747855322247,-38.74498787438546,0.0,0.0,-1135.2273645502491,-17.911,-973.0549656942313,338.63675,0.0,-0.0,1.751481485431528,-30.166960433254243,0.0,0.0,437.8732079956564,-11.386,-736.7084790478336,2429.4240665526763,0.0,-138.6567355928416,3.468431294930605,-56.81150569075562,0.0,0.0,-697.6677520187477,-80.1506030275013,-1459.6059015177602,845.7569936469027,0.0,-0.0,0.39654943757775807,-6.894739993191804,0.0,0.0,-661.310624724563,-10.8,-167.1481783667257,2067.6192400000004,3266.4229212166,-3257.5499529071485,2.1164984274103245,-29.437478030319134,0.0,0.0,-1078.1010024490897,-69.4125,-901.6577262574529,773.1234153041763,0.0,-1736.3309241787085,3.9265872356368625,-67.50456958422957,0.0,0.0,2740.5307449874344,-104.96858838366353,-1608.7766653806464,7923.587390116245,0.0,-0.0,14.049464943912806,-241.67142204954519,0.0,0.0,-1546.3414207774956,-22.777985356162162,-6126.846026876954,351.70259999999996,0.0,-0.0,4.784291794254367,-82.33290868366811,0.0,0.0,1670.244211537054,-30.871000000000066,-1913.5271946476405,15463.123602063635,0.0,-1580.0,41.053720175236634,-0.0,0.0,0.0,720.0,-19.512,-14624.665322238872,53305.81820491809,0.0,-0.0,156.04693778848966,-0.0,0.0,0.0,3110.0,-50.6715,-56521.193642706596
t3,15866.07440669481,0.0,-1830.0,16.15494844142437,-20.462947363504682,0.0,0.0,-3221.384569851266,-39.019999999999996,-10771.361837921462,1726.3457933333336,102.85369460717871,-137.1463053928213,1.132993959161411,-0.0,0.0,0.0,-738.8086597259205,-17.911,-936.466516780932,338.63675,0.0,-0.0,0.8594480410513051,-0.0,0.0,0.0,380.9099086398838,-11.386,-709.0201066809351,2440.347766552676,138.6567355928416,-0.0,1.7023367367049294,-0.0,0.0,0.0,-1095.3394431333545,-80.1506030275013,-1405.2167927213668,870.45776,0.0,-0.0,0.1032436199845326,-0.0,0.0,0.0,-699.5361225820582,-10.8,-160.2248810379264,2059.6061621637377,2534.7919901300957,-3989.180883993653,1.0385563191321605,-0.0,0.0,0.0,331.199968861009,-69.4125,-868.0432934803109,773.1266153041763,455.82549910929333,-1280.5054250694152,1.927305366116403,-0.0,0.0,0.0,1703.0173989137827,-104.96858838366353,-1548.42280524029,7923.587390116245,0.0,-0.0,6.895376053555329,-0.0,0.0,0.0,-2010.121379458531,-22.777985356162162,-5897.5834013551075,351.70259999999996,0.0,-0.0,2.347941619006413,-0.0,0.0,0.0,1520.062898336455,-30.871000000000066,-1843.2424399554611,15263.518138230218,0.0,-1490.0,20.44118568584232,-25.59434968215914,0.0,0.0,720.0,-19.512,-14468.8529742339,53090.005084268756,0.0,-0.0,81.47775045109853,-0.0,0.0,0.0,3110.0,-50.6715,-56230.81133471986
t4,11417.69045491266,1830.0,-0.0,21.66846884012933,-0.0,0.0,0.0,-2596.65242334591,-39.019999999999996,-10633.686500406879,1927.4397933333337,0.0,-240.0,1.5187065059271458,-2.323925458567586,0.0,0.0,-751.0457205552397,-17.911,-917.677853825454,338.6653,0.0,-0.0,1.1519622216211365,-1.0025380788152207,0.0,0.0,366.758325913005,-11.386,-694.187050055811,2463.121456552676,0.0,-138.6567355928416,2.282176030919679,-0.0,0.0,0.0,-871.0462878581011,-80.1506030275013,-1375.550006105152,884.8225,0.0,-0.0,0.26012145344112525,-0.13172070492671897,0.0,0.0,-716.8931471372164,-10.8,-157.25775361129814,2082.3756021637373,3273.888904387829,-3250.0839697359197,1.3920247462727517,-0.0,0.0,0.0,-1188.9013040453056,-69.4125,-849.2587575166141,773.1266153041763,0.0,-1736.3309241787085,2.5838899518654066,-0.0,0.0,0.0,2582.3507711615175,-104.96858838366353,-1516.761763855185,7923.587390116245,0.0,-0.0,9.243774372209021,-0.0,0.0,0.0,-2138.9595022030308,-22.777985356162162,-5771.09367692926,351.70259999999996,0.0,-0.0,3.147414809785344,-2.743055576758312,0.0,0.0,1484.3892880702815,-30.871000000000066,-1805.625247303309,14867.795877954713,0.0,-834.6099206215307,27.747317450274892,-204.8005855340988,0.0,0.0,720.0,-19.512,-14556.62068924936,53949.542963457796,0.0,-0.0,101.1900066945498,-418.5758298806622,0.0,0.0,3110.0,-50.6715,-56691.4856402717
t5,15366.94196905238,386.83996664777123,-1443.1600333522288,18.831005704014473,-81.88935683412899,0.0,0.0,-3560.0,-39.019999999999996,-10648.543551217805,2125.5120433333327,3.125582120231769,-236.87441787976823,1.3472332391967632,-0.0,0.0,0.0,-965.4326029687943,-17.911,-909.7668378442,338.6653,0.0,-0.0,1.0215478965005638,-0.0,0.0,0.0,359.95297950926073,-11.386,-688.2538274057613,2534.2990765526765,0.0,-138.6567355928416,2.0259377767185676,-3.4462965437458557,0.0,0.0,-949.3991948194325,-80.1506030275013,-1364.6721843458733,824.7589633333332,0.0,-0.0,0.2291440876888156,-0.16281337354953385,0.0,0.0,-657.756582911717,-10.8,-156.26871113575538,2105.1450421637373,891.7503368314995,-5632.222537292249,1.2344067404612837,-9.114218911410504,0.0,0.0,3554.957609471635,-69.4125,-842.3381390036731,773.1266153041763,1736.3309241787085,-0.0,2.294337097492563,-3.904196084523276,0.0,0.0,-898.979626319704,-104.96858838366353,-1503.8994657924861,7923.587390116245,0.0,-0.0,8.204656224653977,-3.295434040936757,0.0,0.0,-2184.034998618385,-22.777985356162162,-5721.683628325414,351.70259999999996,0.0,-0.0,2.7927532785098386,-3.5404144687146486,0.0,0.0,1470.6924166571375,-30.871000000000066,-1790.776355466933,15692.270094699861,0.0,-1481.155784631674,24.687708180629336,-0.0,0.0,0.0,720.0,-19.512,-14936.290018248817,55383.97967963996,0.0,-0.0,101.86616121047122,-203.92345249137992,0.0,0.0,3110.0,-50.6715,-58341.250888359056
t6,15175.13016220108,0.0,-1830.0,45.69586593144108,-22.981266648833827,0.0,0.0,-2345.5023319930124,-39.019999999999996,-10983.322429490674,2324.966493333333,0.0,-240.0,3.146970512240517,-0.9667044054503573,0.0,0.0,-1145.6246436287302,-17.911,-923.6111158113944,338.6653,0.0,-0.0,2.38696407679459,-0.7326601809729023,0.0,0.0,370.19779836836403,-11.386,-699.1314022641857,2568.975986552676,138.6567355928416,-0.0,4.729237863352947,-2.8375892905098397,0.0,0.0,-1244.9237256008428,-80.1506030275013,-1384.4500420900165,899.7675733333333,0.0,-0.0,0.5387249921424314,-0.0,0.0,0.0,-731.2595022386348,-10.8,-158.2467960868409,2127.925662163738,3012.408021372444,-3511.564852751305,2.884389541232274,-0.0,0.0,0.0,-707.0500040841157,-69.4125,-855.190716241992,773.1266153041763,0.0,-1736.3309241787085,5.354563050763266,-0.0,0.0,0.0,2590.463581038748,-104.96858838366346,-1527.645246831315,7923.587390116245,0.0,-0.0,19.155186709372714,-4.766643009535644,0.0,0.0,-2111.4936394521205,-22.777985356162162,-5803.704309007799,351.70259999999996,0.0,-0.0,6.5220039928475035,-3.0618585659323223,0.0,0.0,1495.1924675903447,-30.871000000000002,-1819.48421301726,16061.079586400214,0.0,-644.9852511853646,62.907731832364064,-61.787435444241,0.0,0.0,720.0,-19.512,-16117.702631602977,57187.27434690229,2399.5668817434725,-0.0,232.91993876027328,-0.0,0.0,0.0,3110.0,-50.6715,-62879.089667406035
t7,15844.893337106825,327.67249069963896,-1502.327509300361,135.34163679394163,-104.75232491080851,0.0,0.0,-2694.9484372152483,-39.019999999999996,-11966.859193173987,2245.590529999999,0.0,-240.0,9.193981002420553,-0.0,0.0,0.0,-1020.8519143152187,-17.911,-976.0215966872016,338.6653,0.0,-0.0,6.972864173045484,-0.0,0.0,0.0,404.43405575813796,-11.386,-738.6862199311835,2584.57501,48.709872759647155,-89.94686283319444,13.819640676775855,-0.0,0.0,0.0,-1013.4455845091384,-80.1506030275013,-1463.5614730665889,1002.2554333333334,0.0,-0.0,1.5705321093788756,-0.0,0.0,0.0,-825.8777870759866,-10.8,-167.1481783667257,2105.1115021637374,1516.8179198700154,-5007.154954253733,8.425902278487381,-0.0,0.0,0.0,2348.858515986509,-69.4125,-902.6463860450159,773.1266153041763,1736.3309241787085,-0.0,15.648124478806206,-0.0,0.0,0.0,-803.4451498511055,-104.96858838366353,-1616.6919257269226,7923.587390116245,0.0,-0.0,55.97211575399028,-5.891808955323757,0.0,0.0,-1829.972890514256,-22.777985356162162,-6120.916821044493,351.70259999999996,0.0,-0.0,19.055734055593565,-16.76043930788373,0.0,0.0,1605.2491917363068,-30.871000000000066,-1928.3760864840162,16301.260329968787,1001.1866163511663,-0.0,194.56668491901664,-0.0,0.0,0.0,720.0,-19.512,-18197.50163123897,66677.11202801984,0.0,-0.0,247.2728372417682,-141.35438701429754,0.0,0.0,3110.0,-50.6715,-69842.35897824731
t8,12942.40801318322,52.884144763933364,-1777.1158552360666,240.54703822908013,-122.2,0.0,0.0,2581.9535266270505,-39.019999999999996,-13879.456867567213,2041.3800300000003,0.0,-240.0,15.65643107153541,-2.2608903947394525,0.0,0.0,-697.2333492825023,-17.911,-1099.631221394294,338.6653,0.0,-0.0,11.875682439052998,-1.7142748132788734,0.0,0.0,495.1882042645291,-11.386,-832.6289118903032,2677.93112,123.48253836108933,-15.174197231752297,23.52692152476645,-3.40011768710135,0.0,0.0,-1076.742326077967,-80.1506030275013,-1649.473335861534,976.56184,0.0,-0.0,2.6817857837490457,-0.3842706597339889,0.0,0.0,-779.1522422953487,-10.8,-188.90711282866633,2091.0681200000004,5357.272874123749,-1166.7,14.350511559264104,-2.071472002240472,0.0,0.0,-5207.176612278449,-69.4125,-1017.3309214023235,773.1298153041763,1564.2239269866195,-172.1069971920889,26.6372237113116,-3.850665603628431,0.0,0.0,-261.5654276359064,-104.96858838366346,-1821.4992871868205,7553.202743736298,0.0,-0.0,95.29408239680721,-13.769608013552022,0.0,0.0,-713.3182466943554,-22.777985356162162,-6898.630986069035,351.70259999999996,0.0,-0.0,24.999691472482024,-0.0,0.0,0.0,1828.0464733729495,-30.871000000000002,-2173.877764845431,17588.80311236367,577.6605282874325,-0.0,314.73178368257027,-0.0,0.0,0.0,720.0,-19.512,-19181.68342433367,68601.86959488256,1345.7963315791346,-0.0,1142.8661780566522,-0.0,0.0,0.0,3110.0,-50.6715,-74149.86060451837
