Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,-1600.0,-0.0,760.0,398.1793622070129,-0.0,-0.0,-1600.0,-1674.7604936368161,4300.0,-0.0,-3509.9711672250883,1339.230028302417,2580.0,-81.68707363297516,1155.5497296122833,-0.0
t2,-0.0,-1029.7129789498065,-704.9766392310687,-0.0,-265.2683068223265,1000.0,-32.50387719869968,-1600.0,-0.0,1071.9549988932984,1510.0,-0.0,1026.884441484522,2580.0,350.0,997.8327141481902,-0.0
t3,-0.0,-559.7271161997123,-1145.2214142703208,-0.0,-0.0,753.3682535626614,-329.3754669286518,-1600.0,612.5854129876889,217.49963573256719,1510.0,-0.0,-197.64103915646132,2580.0,-0.0,681.1794115165776,-0.0
t4,-0.0,-1600.0,-1145.2214142703208,-760.0,-0.0,979.1173964048755,186.11110963485135,-1600.0,1571.868341489776,-157.49457678227668,1510.0,-0.0,-367.9377321183192,2444.873356841622,-0.0,-0.0,-600.0
t5,-0.0,-1600.0,-1145.2214142703208,-0.0,179.2240010004126,1000.0,-127.99172308802643,-1600.0,-0.0,2757.3192064549435,1385.2992666975417,-2752.1231237986717,-375.3798521477653,2580.0,-0.0,917.3751566184196,-0.0
t6,-0.0,493.59849681243725,-1145.2214142703208,-0.0,-0.0,1000.0,-301.9790064136396,-1600.0,602.0458130110118,357.4524875842583,1510.0,-0.0,-0.0,2580.0,27.25247707633171,918.998922318297,-0.0
t7,-0.0,-1368.9128259411818,-1145.2214142703208,-0.0,413.6254049259605,1000.0,89.49988893022191,-1600.0,-0.0,2377.8085274436244,386.618864164472,-2475.8602879799873,-0.0,2067.211040574046,-31.052952405915146,208.41027987656162,-600.0
t8,-0.0,-1600.0,-1145.2214142703208,79.82513424476173,122.84340581291568,1000.0,-230.27958603062757,-1600.0,434.16154660178285,368.6246522110881,1510.0,-0.0,-0.0,2580.0,350.0,1320.0,-0.0
t9,-0.0,-1600.0,-1145.2214142703208,220.75924592884064,-204.61099182243444,1000.0,-560.3766137022948,-1600.0,-690.6687185336467,2700.5195046106983,1510.0,-3509.9711672250883,9.854274681043027,2580.0,350.0,1320.0,-0.0
t10,-0.0,-1600.0,-1145.2214142703208,219.08535532273464,1128.8215940901887,1000.0,1365.7257055089578,-1600.0,537.1157639226603,4300.0,1510.0,-2293.5703945384566,1067.9528642868167,2580.0,350.0,1320.0,-0.0
t11,-0.0,-1600.0,-1145.2214142703208,334.79894380601655,1457.2361101858532,1000.0,2101.811630809721,-1395.2187931899173,1611.693730650677,4300.0,1510.0,-1312.2276197721799,2751.01560036843,2580.0,350.0,1320.0,-0.0
t12,-0.0,-1600.0,-1145.2214142703208,408.75879725590954,1662.59275564218,1000.0,2600.0,-1600.0,2461.5235005018185,4300.0,1510.0,-497.26675141432406,3633.4814911894264,2580.0,350.0,1320.0,-0.0
t13,-0.0,-1600.0,-1145.2214142703208,513.981307629313,1930.0,1000.0,-918.7959089403513,-1525.83560807779,2022.175100966078,4300.0,1510.0,-1660.408722933777,2431.6062786067537,2580.0,350.0,1320.0,-0.0
t14,-0.0,-1600.0,-1145.2214142703208,-0.0,1623.0626361279035,1000.0,2600.0,-932.611846593303,2501.4803054599124,4300.0,1510.0,-1161.6450074473728,2819.8504296877377,2580.0,350.0,889.4142317555019,-0.0
t15,-0.0,-1600.0,-1145.2214142703208,-0.0,1930.0,1000.0,2600.0,-1351.5776931283333,2346.9841210418454,4300.0,1510.0,-672.7917555513354,3171.5184180393803,2580.0,350.0,795.3738812013149,-0.0
t16,-0.0,-1600.0,-1145.2214142703208,-0.0,1343.1376914334892,1000.0,2600.0,-1209.2001914223508,3867.208625719677,4300.0,1510.0,777.4259262678429,3371.4096071312597,2580.0,350.0,721.1757814211662,-0.0
t17,-0.0,-1600.0,-839.3030165895401,760.0,879.7294267411551,1000.0,2600.0,-1600.0,1104.7585816690062,4300.0,1510.0,-2040.6542644173285,2201.0981869615407,2217.1857355223174,350.0,809.4636031233157,-0.0
t18,-0.0,93.45418699772691,1145.2214142703208,760.0,-57.67853287821898,1000.0,-655.9915276582285,-1600.0,-3537.466686695743,4300.0,1510.0,-2701.57372414311,3723.148406398108,2580.0,350.0,1176.1007443226201,-600.0
t19,-0.0,-1600.0,1145.2214142703208,760.0,-318.977721488851,1000.0,1252.5459210045203,-1600.0,-1079.9612362661646,4300.0,1510.0,-2033.8127866220525,4247.924300610019,2580.0,350.0,1049.831071587552,-600.0
t20,-0.0,755.3280553046665,-1145.2214142703208,760.0,-19.29039604895443,1000.0,1588.3913361004336,-1600.0,-562.1900697583706,4300.0,1510.0,817.3364155240347,4749.571169230693,2580.0,350.0,1131.0671336831317,-74.7600881515423
t21,-0.0,-1032.8530868869686,1145.2214142703208,760.0,175.86647664757507,1000.0,1758.467998315714,-1600.0,-1422.568899981521,4300.0,1510.0,-1765.792634972057,3638.3680600576154,2580.0,350.0,1072.743303737848,-600.0
t22,-0.0,-346.982872680868,1145.2214142703208,760.0,55.65843012764041,1000.0,1679.3076294557861,-1600.0,3127.8733918741746,-1560.8309478965823,1510.0,3509.9711672250883,2966.5609929215534,2580.0,350.0,1224.7476475777223,-600.0
t23,-0.0,523.3534471902208,1145.2214142703208,760.0,-318.5763954783184,1000.0,262.62256518194295,-1600.0,2196.046032277938,-2013.5980028746087,1510.0,3509.9711672250883,2716.900215346396,2580.0,350.0,1256.1487959301626,-0.0
t24,-0.0,-10.102245680206352,-0.0,760.0,-417.2673549885676,1000.0,-948.6905292781225,-1600.0,-802.802933224516,2946.7932745758444,1510.0,-0.0,3248.3048890383816,2552.4937647497527,350.0,1320.0,-0.0
t25,-0.0,1113.1273628576514,1145.2214142703208,760.0,-27.13979267956441,1000.0,-434.9575034650094,-1600.0,-0.0,63.84344000246512,1510.0,1001.2156026696284,3064.1058253364463,2281.541397508791,-0.0,1075.8351916440965,154.18004831209544
t26,-0.0,1600.0,1145.2214142703208,760.0,-164.66357021275235,1000.0,-533.8954750161573,-1600.0,-68.40003242115306,-0.0,1510.0,1394.47588410343,3115.387656168496,2402.3219782866877,-0.0,1320.0,600.0
t27,-0.0,1441.3870917649374,1145.2214142703208,760.0,-334.2326051725904,1000.0,-667.6376863613361,-1409.0773058617542,-358.70039281686894,-0.0,1510.0,924.5164817711984,2117.355665406623,2338.5223750590535,-0.0,1320.0,600.0
t28,-0.0,1265.5754543008907,1145.2214142703208,760.0,-116.26813288193455,1000.0,-440.38379584903714,-996.3816272474502,-563.5717627264954,-0.0,1510.0,540.0228267746045,1789.8513204088224,2310.2465208101376,-0.0,1320.0,416.77801665009423
t29,-0.0,235.80445867779167,735.7384862886506,760.0,102.2726545827446,1000.0,-206.50978570914026,-759.8163869172499,-0.0,960.8852895391227,-0.0,-0.0,3530.503209976516,1605.2340326368717,-0.0,654.1338876588061,-0.0
t30,-0.0,267.37304371167227,437.77423703316106,760.0,295.7588576190442,1000.0,-0.0,-749.2998587430268,-0.0,433.25234170500346,717.520497846569,-0.0,3412.125980624469,967.7314649683208,-0.0,-0.0,-0.0
t31,-0.0,-0.0,742.6373521477689,760.0,448.8880374847563,1000.0,96.10151907193861,-808.170287864086,-0.0,1115.1617430368879,133.0994230264636,-0.0,4356.502999887915,933.5064556224366,-0.0,-0.0,-0.0
t32,-0.0,-0.0,-0.0,760.0,351.89667337502175,1000.0,-0.0,-839.8068971918498,-0.0,2632.1239184602277,-0.0,-0.0,5541.431239238669,1158.2321544147062,-0.0,-0.0,-0.0
t33,-0.0,-0.0,703.088450431999,760.0,484.6234930083692,1000.0,2288.948047795194,-1002.830373098985,-0.0,4300.0,164.07469316008502,189.68580779967144,6530.041651506471,2580.0,-0.0,1111.8734371865105,-0.0
t34,-0.0,-1481.4275028116135,-0.0,261.22268426920056,1255.1971144294178,1000.0,2600.0,-623.2491296606809,3766.78113404532,4300.0,-1510.0,1450.5985637207084,6468.698373057415,2580.0,350.0,928.36234019468,-600.0
t35,-0.0,-1600.0,-1145.2214142703208,461.6836594827673,1930.0,-1000.0,2600.0,-566.8971815739752,5962.757307819998,4300.0,-1510.0,2325.697484709594,5744.382181804826,2580.0,350.0,1039.690992619848,-600.0
t36,-0.0,-1600.0,-960.979286821056,-0.0,1930.0,-1000.0,2600.0,-468.66149853866517,3804.438250794489,4300.0,-1510.0,315.1307728830378,5227.701724287764,1800.962225746632,-0.0,-602.4431366626313,-600.0
t37,-0.0,-1600.0,-1145.2214142703208,-687.6189030271677,1930.0,-1000.0,2600.0,-168.18486365506212,4428.809781575721,4300.0,-1510.0,906.9884387065802,4892.186776831413,1862.9363461882629,-0.0,-1320.0,-569.2244112833578
t38,-0.0,-1600.0,-1145.2214142703208,-173.16446458935943,1930.0,-970.6640887522992,2600.0,-22.58982680281643,4110.749218397898,4300.0,-1510.0,498.8436070988254,4754.26416974523,1461.420986908816,-0.0,-1320.0,-600.0
t39,-0.0,-1600.0,-579.5952584314225,-0.0,1930.0,-1000.0,2600.0,-128.800261768495,3623.14267676731,4167.99664399485,-1510.0,-0.0,4939.911476067898,1176.7820639254446,-0.0,-1320.0,-600.0
t40,-0.0,-1600.0,-78.44044042260026,-0.0,1930.0,-863.0667866064241,2600.0,-545.739318435682,3525.693697592682,4300.0,-1510.0,-0.0,5693.862375718084,1213.5795502701562,-0.0,-1320.0,-312.3990686634592
t41,-0.0,-1600.0,-0.0,-0.0,1930.0,-789.4792885292152,2600.0,-1023.440548582499,4456.270185778987,4300.0,-1510.0,1145.2465299051753,6302.592241203156,2164.094034144013,-0.0,-332.2107491572481,-600.0
t42,-0.0,-0.0,21.308119065744034,760.0,1930.0,-688.168192986625,2171.068675290759,-867.2758565641574,-0.0,4300.0,-1510.0,390.38041663712926,6522.536345445029,1773.9367959402496,-0.0,-0.0,-600.0
t43,-0.0,-0.0,1145.2214142703208,760.0,311.7295976138912,1000.0,1885.3714963592904,-1109.9946208544588,-0.0,4300.0,829.338199498838,734.4014340748064,7139.995205676218,2508.0400805768036,-0.0,759.1381773216924,-0.0
t44,-0.0,-0.0,432.0623145034149,760.0,386.44199070008773,1000.0,1997.331768256883,-884.1347651183233,-0.0,4300.0,766.685645913596,662.3805657566653,6427.243576323496,2418.9641663488196,-0.0,492.61502184620934,-0.0
t45,-0.0,-0.0,-0.0,760.0,298.1822349493074,1000.0,1907.57447234835,-1243.273733669607,-0.0,3496.2134618513005,1510.0,-0.0,4023.2872625466457,2580.0,-0.0,863.1831958235335,-0.0
t46,-0.0,-0.0,-0.0,760.0,283.112665247348,1000.0,658.05660879165,-1232.9848023337106,-0.0,3271.5208439216594,974.9353947436528,-0.0,3313.731855880554,2580.0,-0.0,791.505005983708,-0.0
t47,-0.0,-0.0,90.54036497013355,760.0,-0.0,1000.0,-0.0,-1141.5805489785473,-0.0,967.5423023001136,-0.0,-0.0,2072.7275926539323,1628.0710331605887,-0.0,-214.88916055852184,-0.0
t48,-0.0,1550.8074403415364,770.0805357978769,760.0,15.69594017147828,1000.0,-504.0063728635367,-831.7177814198072,-1263.967998176091,-0.0,1510.0,-0.0,1529.216712014708,2129.277669935515,-0.0,512.9368769643694,504.290219831989
t49,-0.0,1600.0,1145.2214142703208,760.0,-305.9799101489158,1000.0,-1292.9622087260466,-752.6277382312064,-2487.681809505035,290.0087621931634,1510.0,-0.0,1739.3165094203762,2580.0,234.0527319166162,1320.0,600.0
t50,-0.0,1600.0,1145.2214142703208,760.0,-125.21143640780915,1000.0,-530.1212584781297,-481.6812999352179,-0.0,-3685.3095109247133,1510.0,2616.6643163107397,581.426097153395,2580.0,66.48613073650263,1320.0,600.0
t51,-0.0,1342.4500856877794,1145.2214142703208,760.0,-650.6586442711244,1000.0,-1042.6034972336606,-905.8928282164152,-9.68280215480354,-1522.4768115809457,1510.0,-0.0,311.08893182299335,2464.8305093231747,-0.0,1320.0,600.0
t52,-0.0,1600.0,1145.2214142703208,760.0,-251.84152776956492,1000.0,-620.2240030788046,-1036.864908382689,-224.67840496458993,-1623.2801963820607,1510.0,-0.0,311.6957187225103,2432.1798911516585,-0.0,1320.0,600.0
