Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.456959987820864e10,5.549580144238833e9,9.634649214025189e8,2.8727083514942175e8,3.211346680284657e9,1.8906462739643002e8,6.422655417030749e8,5.294268978065293e8,2.945460073309604e9,1.299025136091783e8,6.634818361278193e9,2.328882456929005e10
cFix,2.7455785639797626e10,3.8124597837248425e9,9.543200826587687e8,2.4302595839999998e8,2.7762221410203047e9,1.6013365321019006e8,1.3632748312773532e8,3.762929177802422e8,2.2950487059631953e9,1.4443223499999998e7,3.5469598130830364e9,1.314055187732931e10
cVar,2.080538030450716e9,2.2511497639294323e8,3.3942866450144043e6,1.3605734942246014e7,1.0074549262286058e8,4.05484632e6,7.023145470638306e7,2.484179254555931e7,8.657646522439948e7,1.747261992134378e7,4.3852724423687583e8,1.0959731168931043e9
cFuel,1.4693962244143166e10,1.5103237475061107e9,5.750552098735785e6,3.063914180717577e7,3.343790466414914e8,2.487612786623997e7,4.357066038689566e8,1.2390720247022608e8,5.472211790878525e8,9.275685944195607e7,2.591227445951437e9,8.997174337402914e9
cNSE,1.4113925107704145e8,1.681636614937125e6,0.0,0.0,0.0,0.0,0.0,4.38498501050172e6,1.6613723034156675e7,5.229810745878463e6,5.810385800684427e7,5.5125237664723195e7
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.900170151709256e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
