region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,5.6797387599999994e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4103858961263994e7,0.0,0.0,0.0,1.557339784412869e8,0.0,0.0,0.0,1.4103858961263994e7,5.6797387599999994e7,-4.2693528638736e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,1.295391149e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704439530957117e7,0.0,0.0,0.0,5.501521967057661e8,5.922092539836192e7,0.0,0.0,1.704439530957117e7,1.295391149e8,-1.1249471959042883e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,3.3676233e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543315.0295453708,0.0,0.0,0.0,9.365107779825643e6,955802.8785611205,0.0,0.0,543315.0295453708,3.3676233e6,-2.824308270454629e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,5,0.0,0.0,0.0,4.30715296e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3302357765721932e7,0.0,0.0,0.0,2.4741426050574923e8,2.5934360103152264e7,0.0,0.0,1.3302357765721932e7,4.30715296e7,-2.976917183427807e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,6,0.0,0.0,0.0,1.4608994600000001e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.221481030398136e6,0.0,0.0,0.0,4.1151110876572266e7,4.556726504446599e6,0.0,0.0,3.221481030398136e6,1.4608994600000001e7,-1.1387513569601865e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7,0.0,0.0,0.0,3.0430972e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5073343171357537e7,0.0,0.0,0.0,6.558442655631393e7,0.0,0.0,0.0,1.5073343171357537e7,3.0430972e7,-1.5357628828642463e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,8,0.0,0.0,0.0,8.02164678e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3540280516821995e7,0.0,0.0,0.0,1.2684488264037617e8,0.0,0.0,0.0,2.3540280516821995e7,8.02164678e7,-5.6676187283178e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9,0.0,0.0,0.0,-5.140179837326286e-9,0.0,0.0,-9.128251174232991e-10,0.0,0.0,0.0,0.0,0.0,-1.6879150654192678e-9,0.0,0.0,0.0,-2.6634375869672165e-8,-0.0,-2.514326070168335e-7,0.0,-1.6879150654192678e-9,-2.574856119715831e-7,2.557976969061638e-7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,3.2327722534915034e-9,2.3094198045734656e-8,0.0,0.0,0.0,0.0,2.466761090627565e-9,0.0,0.0,0.0,0.0,0.0,1.4824222137243482e-7,0.0,2.466761090627565e-9,1.7456919167166098e-7,-1.721024305810334e-7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,11,0.0,0.0,0.0,-2.0130755729041994e-8,0.0,0.0,-2.3674134499178774e-8,-1.7544288515881116e-7,0.0,0.0,0.0,0.0,-2.2669975502134173e-8,0.0,0.0,0.0,-8.523000278295093e-7,-0.0,-1.1261721653389344e-6,0.0,-2.2669975502134173e-8,-1.3454199407259663e-6,1.3227499652238322e-6
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,13,0.0,0.0,0.0,0.0,0.0,0.0,5.999796966598082e-10,5.012930503315056e-9,0.0,0.0,0.0,0.0,6.415307326463059e-10,0.0,0.0,0.0,0.0,0.0,3.217812335052326e-8,0.0,6.415307326463059e-10,3.7791033550498126e-8,-3.714950281785182e-8
NENG_Rest,NENG_Rest_nuclear_1,1,1,14,0.0,0.0,0.0,8.492267175e8,0.0,0.0,6.172369000870853e7,1.4498894783045655e8,0.0,0.0,0.0,0.0,9.030540631763841e7,0.0,0.0,0.0,1.5722426627703118e9,0.0,0.0,0.0,9.030540631763841e7,1.055939355339165e9,-9.656339490215266e8
