Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,0
AnnualSum,-287726.1244721713,-16079.178761248342,-186972.2325778351,-62924.56467556127,-211571.8755183394,-12595.587577830365,0.0,-89682.05932564758,-80079.88601355915,0.0,0.0,-17353.117807066734,-11119.68002440022,0.0,0.0,-159677.57769289322,-1.1357818844465527e6
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-622.0382725940841,0.0,0.0,-732.06757173724,-391.6466691154323,0.0,0.0,0.0,-1745.7525134467564
t2,0.0,0.0,-97.43182887581588,0.0,0.0,0.0,0.0,-1062.0969825014486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1159.5288113772644
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-732.06757173724,0.0,0.0,0.0,0.0,-732.06757173724
t6,0.0,-24.690431687032913,0.0,0.0,0.0,0.0,0.0,-1169.0369585438475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1193.7273902308805
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151.44543020478918,0.0,0.0,0.0,-151.44543020478918
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.649334492562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.649334492562
t9,0.0,18.516737386280454,81.44251321811544,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,99.95925060439589
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1006.5936931240567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.5936931240567
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.6914871225497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.6914871225497
