Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,6.299182383284547e6,880848.3508309522,4.11727592906422e6,4.641754855570812e6,1.1243334458209403e7,758125.6333101371,472688.78717080667,3.366061238738943e6,5.78526687852649e6,1.7977174400126406e6,354607.07561013504,2.27115355346604e6,1.2686890481742995e6,91730.11578905498,6.073136613610909e6,2.4034696086950682e7,53779.99014988311,40798.3921727214,80224.66343192369,9287.658893808299,49178.031400854044,90259.8577739641,320469.7727623047,108005.6039926024,865619.0368963885,3.9221884031683435e6,724396.4629271581,126352.03002746483,96787.37707994407,185969.296956031,20448.723311114572,118184.43639605354,220123.7492748785,774547.8447838051,263328.1706737863,2.433431771124894e6,7.334043413835959e6,1.9815808298837836e6,9.327527396523775e7
t1,250.53786831276392,0.0,419.3887368428068,0.0,3693.0,0.0,178.06990697795118,984.473614484577,0.0,596.5700330956205,158.9278998334276,497.2318853071159,507.4940713023022,0.0,773.4254512765237,0.0,4.074020285778655,3.0970868499031607,6.111030428667981,0.7067178046758891,3.7414472012252946,6.921677322266794,24.797480617009867,8.439042020541496,59.160830315132166,276.0045387646198,55.93922728321915,3.124705482860058,2.3645002898823595,4.681815429855758,0.5400078267358825,2.862565761143611,5.295222378672246,18.97367305783649,6.464365537527605,52.54355383828086,211.9304692061413,45.7422668887221,8862.635712023786
t2,1830.0,0.0,0.0,258.48205976788097,3693.0,0.0,178.06990697795118,985.7214317298956,1431.1120360964678,597.8119131921982,26.442076922026075,497.2318853071159,264.9700233844012,0.0,3584.4068784625797,2808.453401238199,3.142469108046601,2.3889178423415482,4.7137036620699,0.5451221922121654,2.885941017593817,5.33899088254856,19.127375744385684,6.509400295239387,46.59413476578957,205.83109010081955,42.79297741046188,1.8800919491968624,1.4226870286707805,2.8169834071020103,0.32491521940818263,1.7223661145326965,3.1860618602161592,11.416195912992357,3.889519082818341,32.2688923229799,104.85212344284368,27.29932967673487,16686.65090211772
t3,1021.9387121815791,240.0,204.4284643040917,1490.0,3693.0,0.0,178.06990697795118,871.8758124442005,838.8018098944622,695.3070545888296,158.9278998334276,918.0889530310587,507.4940713023022,0.0,1220.1698641570615,4645.302718989096,1.1182328164897755,0.8500851513111048,1.6773492247346629,0.19397916204414473,1.0269485049395897,1.8998547341382408,6.806386479960724,2.316339405585963,16.916459380383795,84.33171130103304,15.141968525332986,0.0,0.646739155620503,1.2805722083572264,0.14770317744769804,0.7829702416159527,1.4483515458463594,5.189687370710865,1.768136095077783,14.975167301394658,51.57568665034787,12.351895279340024,16905.85149141577
t4,1544.092340251597,240.0,1166.7,1490.0,3693.0,0.0,178.06990697795118,64.6399468805746,1340.1331853518398,749.627209452253,0.0,573.6067028902888,507.4940713023022,0.0,1053.4286384987236,9139.362658928709,1.5461132643990234,1.175361614262523,2.3191698965985346,0.26820332137534075,1.4198999366929803,2.6268148828820137,9.410781247081811,3.2026631905408336,24.032154176235384,103.99139155814844,20.863996076207243,1.058182313514403,0.8007386298573757,1.5854979965912113,0.1828737890805093,0.9694086294947386,1.793228417197227,6.425439249343331,2.1891590479249317,18.994581736630202,57.4145815542423,15.24437970375356,22017.66928076629
t5,1830.0,183.0086754298726,1166.7,1490.0,3693.0,-0.0,96.44167405651602,984.473614484577,1771.2934544871666,0.0,158.9278998334276,0.0,0.0,0.0,694.1355693767352,0.0,2.5625606870361226,1.948069093716236,3.8438410305541826,0.44452583346544977,2.353372059522969,4.3537383101174925,15.597627038949458,5.308161423146252,41.253461219154616,177.41058044512053,34.67153037530674,0.5434037540008724,0.41119982056106286,0.8141938797362065,0.0,0.4978161907457658,0.9208687777531565,3.299627828404626,1.1241893098709324,10.0864731310483,34.91725893509478,7.852773390687033,12418.196160202288
t6,1830.0,240.0,1166.7,1449.0249586575815,0.0,0.0,0.0,1165.5979471918918,593.3218810280732,749.627209452253,99.29550760823336,497.2318853071159,0.0,0.0,0.0,9278.070892853717,4.587773286706772,3.487643978159739,6.881659930060157,0.7958382232042358,4.213261181669484,7.794533186088544,27.924558831842745,9.503244665321168,71.46787798080331,334.61486225140965,62.90692184226132,2.1274675568892243,1.6098789734178527,3.187631758896102,0.36766637308656064,1.948988735002545,3.605272202110934,12.91829712815789,4.401287747725526,41.298825047385044,120.89671651464882,31.16930333754404,17826.57979283126
t7,793.8707887618923,240.0,1166.7,0.0,3693.0,0.0,0.0,446.33501420810444,1066.2657310998254,468.35460833195356,0.0,497.2318853071159,507.4940713023022,0.0,2264.5131674265367,0.0,11.010903844530587,8.370534045076823,16.516355766795876,1.91005474854102,10.112054551099519,0.0,67.02045044145403,22.808300820813358,191.56510242424648,800.7623552433136,149.92479576962285,5.540894000765837,4.192857708633209,8.302044199134045,0.9575706075149013,5.076053900030447,9.389770034854859,33.64512649122745,11.462956884134691,111.0090110523071,324.5698075538679,80.67785541522062,13018.590121940917
t8,1830.0,0.0,973.71614016052,1490.0,0.0,0.0,178.06990697795118,1117.0114637992683,731.3126195061966,405.9939392614022,86.07446914722033,497.2318853071159,0.0,0.0,0.0,0.0,15.034540474176268,11.429319033940121,22.5518107112644,2.608032531234659,13.807231047712898,25.543377438268863,29.570102753366243,31.14297669650799,259.53318798153146,1116.2528762544744,108.57520423037715,10.536351925637007,7.972977715540755,15.786849445627258,1.8208796113097512,9.652429784224505,17.855227256532512,63.97828459543678,21.79752000723226,208.7576493962597,548.9008300191766,157.01816605878307,10009.536249128287
