Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.365104302370069e10,5.5176738979594e9,7.564363896329553e8,5.0625420883106664e7,3.1432175888079405e9,2.269156228071306e8,6.229902151699892e8,2.96337753018623e8,3.103046089880257e9,1.3199163902658428e8,6.592591513906765e9,2.3031522281845173e10
cFix,2.63377042490461e10,3.7961286324772563e9,7.476574539841077e8,5.006316904310666e7,2.717505412564089e9,1.9789889481384584e8,1.2500861560000001e8,1.7153366133671862e8,2.3078194043e9,1.4443223499999998e7,3.5884646967032256e9,1.2621181084723751e10
cVar,2.0657488017037272e9,2.2001794125792813e8,2.5711002156454595e6,562251.8400000001,9.740164137263963e7,4.1406001270448063e6,6.912698414761351e7,1.737066057941379e7,1.0527312117056994e8,1.671095437811974e7,4.189290250575905e8,1.1136445215572178e9
cFuel,1.4696599591473011e10,1.4706658304808435e9,6.207835433201989e6,0.0,3.283105348712121e8,2.4876127866239976e7,4.288546154223757e8,1.0410874973260237e8,6.41600096398138e8,8.885859475272872e7,2.4196074862260814e9,9.183509720289701e9
cNSE,3.7329577071491235e8,3.0861493743371505e7,0.0,0.0,0.0,0.0,0.0,3.3246813698881734e6,4.8353468011548914e7,1.1978866395735826e7,1.6559030591986778e8,1.1318695527450013e8
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.7024259327641588e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
