Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,9.98600076588001e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2.9263607168116736e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,5.018762020169938e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,1.2611362896642826e8
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,2.3829613888563246e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,5.409467685191766e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,7.129032840094076e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9.672326538499466e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,4.339657573480016e8
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,1.0222539330257314e9
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,4.9252635046778925e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.0
NENG_Rest,NENG_Rest_nuclear_1,1,1,1.9185094134871078e8
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,4.822967804866708e7
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,1.7350737852614345e6
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,3.4649884646343975e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,1.70992099521306e7
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,2.419772475988478e-10
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,1.5486581407527083e8
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,6.442207019927531e6
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,1.738452596414809e7
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,1.4696964901933633e7
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,3.8077859875786644e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,4.4649960190847084e7
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,8.518015537200883e7
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,1.8914478799024553e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,2.0261347843514874e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,408144.5974614684
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,1.0242082384409896e8
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,2.7287552957245886e8
