BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.0453624489626898e8,1.65962616596767e6,-2.212964715220188e6,1.8456482154351922e6,-1.84564821543519e6,150641.22075151716,0.0,1.1641161364000367e7,-140051.9317683175,-1.1563465700000009e8,2.069670493603141e7,197737.77410864987,-263665.833873787,126456.68694761461,-126456.68694761464,9970.281408160725,0.0,-1.0368599447448537e7,-68393.71022590259,-1.020375400000001e7,1.3777152626499985e6,0.0,0.0,95317.14456118712,-95317.14456118706,7975.9915158167205,0.0,6.379927935225408e6,-40484.1893912227,-7.7251350000000065e6,1.4388290132947935e7,0.0,0.0,186256.472177033,-186256.472177033,17114.253025178536,0.0,1.141019349037517e6,-239617.73501062463,-1.5306806000000002e7,1.0764875241063371e7,1.9326762412674725e-12,0.0,21793.014612385792,-21793.0146123858,1712.7628327206617,0.0,-8.958116716062665e6,-60467.28783342299,-1.7480039999999988e6,2.0295261768209282e7,471278.3914577939,-628408.055216298,113918.72762552084,-113918.72762552074,10555.609956212667,0.0,-1.0591451024504041e7,-100891.68990294442,-9.456344999999994e6,6.263214925532666e7,0.0,0.0,211479.70608399832,-211479.7060839985,18924.587981166158,0.0,-4.549187310666686e7,-315431.73664097325,-1.684376900000001e7,2.380237764098673e7,0.0,-3.4106051316484804e-13,758610.8217207734,-758610.8217207734,97244.7350622141,0.0,4.0579079650174245e7,-136661.02622318317,-6.434204100000002e7,6.580262976799986e6,0.0,0.0,264484.96619802027,-264484.9661980205,24748.04067758338,0.0,1.3550164664710298e7,-138260.68218787052,-2.0016914999999993e7,1.5550676887516227e8,1.7480712627387708e6,-2.329516224603876e6,2.266777984125351e6,-2.266777984125348e6,195873.7921385911,0.0,-2.111865458272062e6,-82321.24716361015,-1.5292701099999994e8,5.697865928473883e8,2.8900130464084693e6,-3.8535768050505226e6,7.038524628846734e6,-7.038524628846737e6,490998.4873255634,0.0,4.230552789806315e6,-184894.36587749806,-5.733596860000002e8
t1,10058.354426719265,0.0,-0.0,58.0601846595609,-242.22451619055397,0.0,0.0,2160.0,-24.45,-12009.740095188274,2286.2537799999996,0.0,-0.0,4.083510216978446,-19.30197812960799,0.0,0.0,-1209.3129013900125,-8.26514483375306,-1053.4572658636048,133.73875,0.0,-0.0,3.0976567195658973,-14.64782803416346,0.0,0.0,677.7786848511316,-2.0649323623127454,-797.9023311742211,1043.4704299999999,0.0,-0.0,6.135298835742523,-28.97656849634575,0.0,0.0,581.5344444580344,-21.464244317493254,-1580.6993604799377,952.627802586207,0.0,-0.0,0.7005743657711778,-3.338148858959944,0.0,0.0,-764.3894074357839,-5.159628500191541,-180.44119215704265,2312.7072797452015,0.0,-0.0,3.743209929802749,-17.70087494215643,0.0,0.0,-1312.9312274580957,-9.630302698663384,-976.1880845760888,9262.14589816606,0.0,-0.0,6.9460087417122764,-89.63206519276845,0.0,0.0,-7407.433032881841,-31.71036397352726,-1740.316444859633,2429.4388,0.0,-0.0,24.85144171388619,-320.8701589297095,0.0,0.0,4519.653079525596,-14.914855162434465,-6638.15830714734,661.6661,0.0,-0.0,8.462286461308153,-109.30936322824311,0.0,0.0,1527.779953356246,-19.145508811092796,-2069.453467778218,16004.005977825731,0.0,-3.7350980214111766,70.06407789917483,-349.28451841774086,0.0,0.0,-300.0,-4.905,-15416.145439285752,59930.64946357923,0.0,-0.0,268.52337380778,-2373.5977343282266,0.0,0.0,1527.3204069747262,-24.819525590078644,-59328.07598444343
t2,9792.715957874245,0.0,-0.0,33.07435479840302,-214.50540233162712,0.0,0.0,1668.8516293848998,-18.0650711820037,-11262.071468543918,2188.531372012225,0.0,-0.0,2.3087747855322247,-32.097022129074794,0.0,0.0,-1164.2988995525584,-8.143607028791907,-986.3006180873331,133.73875,0.0,-0.0,1.751481485431528,-24.35996179403145,0.0,0.0,637.5707442219393,-1.9205657666123472,-746.780448146727,1039.22763,0.0,-0.0,3.468431294930605,-48.1754481231032,0.0,0.0,506.756972497363,-21.815153159115443,-1479.462432510075,986.2262094132204,0.0,-0.0,0.39654943757775807,-5.561411000500163,0.0,0.0,-806.2052321193798,-5.441885316805814,-169.41423041411227,2289.8931197452016,0.0,-0.0,2.1164984274103245,-36.45499904448565,0.0,0.0,-1331.7240156273856,-9.78180151573731,-914.0488019850031,7482.609690988025,0.0,-0.0,3.9265872356368625,-0.0,0.0,0.0,-5829.627046010515,-26.866294804299162,-1630.0429374088499,2429.4388,0.0,-0.0,14.049464943912806,-0.0,0.0,0.0,3782.2451828541775,-12.481409103418786,-6213.252038694672,661.6661,0.0,-0.0,4.784291794254367,-0.0,0.0,0.0,1281.4306643514592,-9.773714471635952,-1938.1073416740774,15804.504890071295,0.0,-20.58194638881785,41.053720175236634,-510.78615541445606,0.0,0.0,-300.0,-4.905,-15009.285508443258,56256.86910283694,0.0,-0.0,156.04693778848966,-0.0,0.0,0.0,1555.0,-25.33575,-57942.58029062545
t3,9712.714847783258,0.0,-0.0,16.15494844142437,-229.56577379177446,0.0,0.0,1400.0,-14.57,-10884.73402243291,2390.628072012225,0.0,-0.0,1.132993959161411,-0.0,0.0,0.0,-1433.6760295851002,-8.87092527987977,-949.2141111064069,133.73875,0.0,-0.0,0.8594480410513051,-0.0,0.0,0.0,588.2769050551157,-4.161571121397197,-718.7135319747696,1060.65913,0.0,-0.0,1.7023367367049294,-0.0,0.0,0.0,383.01057183423427,-21.038626242472773,-1424.3334123284665,940.6826194132203,0.0,-0.0,0.19430915479452934,-0.0,0.0,0.0,-773.2603482758146,-5.219507350861749,-162.3970729413384,2267.0901397452017,0.0,-0.0,1.0385563191321605,-0.0,0.0,0.0,-1377.8907298722681,-10.265544982819062,-879.9724212092465,6414.9754409326215,0.0,-0.0,1.927305366116403,-2.6292323288059074,0.0,0.0,-4818.053414221781,-27.328834652917557,-1568.8912650952338,2429.4388,0.0,-0.0,6.895376053555329,-9.397071101102595,0.0,0.0,3565.5854830981903,-11.766432094224028,-5980.756155956419,661.6661,0.0,-0.0,2.347941619006413,-3.1972763504615047,0.0,0.0,1211.0075619674242,-4.904580625968068,-1866.9197466100009,15133.839200684994,0.0,-0.0,20.44118568584232,-0.0,0.0,0.0,-300.0,-4.905,-14849.375386370835,57090.47960480055,0.0,-0.0,81.47775045109853,-1056.7261140991122,0.0,0.0,1555.0,-25.33575,-57644.895491152536
t4,9703.817980796248,0.0,-181.99516741447997,21.66846884012933,-183.3116762596256,0.0,0.0,1400.0,-14.57,-10745.609605962272,2287.7147199999995,0.0,-0.0,1.5187065059271458,-0.0,0.0,0.0,-1350.41761035528,-8.646127547959257,-930.1696886026881,133.7673,0.0,-0.0,1.1519622216211365,-0.0,0.0,0.0,572.3752505608683,-3.6168287569827124,-703.6776840255066,1082.1527811292108,0.0,-0.0,2.282176030919679,-0.0,0.0,0.0,330.6810931832201,-20.853012659397912,-1394.2630376839527,972.2198931244626,0.0,-0.0,0.26012145344112525,-0.0,0.0,0.0,-807.6387333888084,-5.451561450374457,-159.389719738721,2275.057737021141,0.0,-0.0,1.3920247462727517,-0.4951688455293572,0.0,0.0,-1404.5991001266166,-10.425754960709053,-860.9297378345589,6215.873687053486,0.0,-0.0,2.5838899518654066,-11.216976620304315,0.0,0.0,-4643.2882558882175,-27.140645205461297,-1536.8116992913697,2429.4388,0.0,-0.0,9.243774372209021,-40.16890276190049,0.0,0.0,3465.4047294771076,-11.435835607274456,-5852.4825654801425,661.6661,0.0,-0.0,3.147414809785344,-13.687743092074008,0.0,0.0,1182.4826265377264,-4.789054637477792,-1828.8193436179602,15450.32848566718,0.0,-0.0,27.747317450274892,-233.71946190835618,0.0,0.0,-300.0,-4.905,-14939.451341209098,56564.31999902364,0.0,-0.0,101.1900066945498,-78.01948946965223,0.0,0.0,1555.0,-25.33575,-58117.15476624854
t5,9892.514014168642,0.0,-536.1519876725451,18.831005704014473,-0.0,0.0,0.0,1400.0,-14.57,-10760.623032200112,2239.435267941853,0.0,-0.0,1.3472332391967632,-9.899235518774091,0.0,0.0,-1300.221682728314,-8.510598543366447,-922.150984390596,133.7673,0.0,-0.0,1.0215478965005638,-7.514553445252668,0.0,0.0,573.6259785328486,-3.2369281382949078,-697.6633448458014,1142.8226011292106,0.0,-0.0,2.0259377767185676,-14.851699076123941,0.0,0.0,273.81243635482997,-20.572042537004172,-1383.237233647631,967.64391,0.0,-0.0,0.16281337354953385,-1.7877596009272945,0.0,0.0,-802.2167321593647,-5.414962942075712,-158.3872686711819,2290.3145533333336,0.0,-0.0,1.2344067404612837,-0.0,0.0,0.0,-1427.0832813176896,-10.551666375379062,-853.9140123807266,6051.124634212253,0.0,-0.0,2.294337097492563,-0.0,0.0,0.0,-4502.783871744127,-26.855723882069057,-1523.7793756835497,2429.4388,0.0,-0.0,8.204656224653977,-0.0,0.0,0.0,3375.8726176138184,-11.140379638125602,-5802.3756942003465,661.6661,0.0,-0.0,2.7927532785098386,-0.0,0.0,0.0,1153.9945354479987,-4.673677868564394,-1813.779710857944,15648.850348260794,0.0,-0.0,24.687708180629336,-39.527303853317854,0.0,0.0,-300.0,-4.905,-15329.105752588104,58423.31196306547,0.0,-0.0,101.86616121047122,-246.43430661520784,0.0,0.0,1555.0,-25.33575,-59808.408067660734
t6,10012.548494198421,0.0,-269.77790080573914,45.69586593144108,-74.97088923138553,0.0,0.0,1400.0,-14.57,-11098.925570092739,2285.509855716827,0.0,-0.0,3.146970512240517,-1.7487960909527511,0.0,0.0,-1342.10064164392,-8.623671732438584,-936.1837167617572,133.7673,0.0,-0.0,2.38696407679459,-1.3254033531431377,0.0,0.0,577.3918112948728,-3.531038676596558,-708.6896333419276,1166.9917111292107,0.0,-0.0,4.729237863352947,-1.1772538002825508,0.0,0.0,253.09643818205654,-20.35598329703079,-1403.2841500773068,908.25892,0.0,-0.0,0.5387249921424314,-0.0,0.0,0.0,-743.3876078330094,-5.017866352872813,-160.39217080626014,2313.095173333334,0.0,-0.0,2.884389541232274,-1.6015290517146243,0.0,0.0,-1436.8285769966833,-10.606240031181427,-866.9432167949865,6943.572822718503,0.0,-0.0,5.354563050763266,-6.1371735081756125,0.0,0.0,-5364.581985526727,-30.36917669791479,-1547.839050036448,2429.4388,0.0,-0.0,19.155186709372714,-21.956819942628883,0.0,0.0,3470.3681486486043,-11.452214890540395,-5885.553100524808,661.6661,0.0,-0.0,6.5220039928475035,-10.936568450767568,0.0,0.0,1198.8074474314471,-13.202648779551659,-1842.8563341939753,16088.08619790589,0.0,-0.0,62.907731832364064,-31.35313910430887,0.0,0.0,432.23496644335955,-10.286927003358691,-16541.588830073946,62697.779558799164,0.0,-0.0,232.91993876027328,-0.0,0.0,0.0,1555.0,-25.33575,-64460.36374755944
t7,10520.515541104005,0.0,-0.0,135.34163679394163,-0.0,0.0,0.0,1452.2058856531921,-15.248676513491496,-12092.814387037648,2314.689782553152,0.0,-0.0,9.193981002420553,-5.2252105685938925,0.0,0.0,-1320.7848018551026,-8.566118965008776,-989.3076321668676,141.9273,0.0,-0.0,6.972864173045484,-3.071167950404316,0.0,0.0,606.191668001468,-3.2354363508135418,-748.7852278732955,1206.1398611292107,0.0,-0.0,13.819640676775855,-12.174392303442652,0.0,0.0,296.4354593765506,-20.74875308308445,-1483.47181579601,1012.6067800000001,0.0,-0.0,0.6531185687380703,-1.3546569344300354,0.0,0.0,-836.8423255229161,-5.648685697279683,-169.41423041411227,2345.7646133333337,0.0,-0.0,8.425902278487381,-2.92459492121682,0.0,0.0,-1425.6711139739423,-10.543758238254078,-915.0510484784078,7942.429324513384,0.0,-0.0,15.648124478806206,-0.0,0.0,0.0,-6286.216632331316,-33.797987801061424,-1638.062828859816,2495.0788,0.0,-0.0,55.97211575399028,-0.0,0.0,0.0,3668.6552858549935,-12.466987467887984,-6207.239214141096,684.0461,0.0,-0.0,19.055734055593565,-0.0,0.0,0.0,1271.026574797072,-20.981434418572128,-1953.1469744340934,16855.5437016189,20.58194638881785,-0.0,194.56668491901664,-0.0,0.0,0.0,1620.0,-14.607,-18676.08533292673,70563.16162859082,0.0,-0.0,711.1626257103447,-605.2441754828741,0.0,0.0,955.0,-25.33575,-71598.7443288183
t8,12284.208053691857,0.0,-0.0,240.54703822908013,-0.0,0.0,0.0,1516.8771017910708,-16.08940232328392,-14025.542791388723,2394.193103788166,0.0,-0.0,15.65643107153541,-7.115740946067179,0.0,0.0,-1279.6787757383338,-8.4551326944935,-1114.5998854808074,188.84730000000002,0.0,-0.0,7.595111712576711,-7.2,0.0,0.0,657.4555462074827,-2.685693034765044,-844.0122648852943,1395.506379153092,0.0,-0.0,23.52692152476645,-0.0,0.0,0.0,273.6592832600479,-20.77975370294362,-1671.9128302349627,1101.3408652080927,0.0,-0.0,2.6817857837490457,-0.0,0.0,0.0,-906.4360537291967,-6.118443362672077,-191.46815389997303,2379.8754533333336,0.0,-0.0,9.178155264771927,-8.7,0.0,0.0,-1338.9836583977358,-10.05830848702732,-1031.3116417133424,8792.975182300584,0.0,-0.0,17.005939576739955,-16.2,0.0,0.0,-6913.108389478738,-35.09521224501968,-1845.5775201535625,2872.5088,0.0,-0.0,95.29408239680721,-57.9,0.0,0.0,4100.528142818404,-14.50965713013173,-6995.921368085081,812.7311,0.0,-0.0,32.446798371407404,-0.0,0.0,0.0,1378.23938193715,-21.615044242197676,-2201.80223606636,18429.11121790589,0.0,-0.0,314.73178368257027,-0.0,0.0,0.0,956.4474213298486,-14.139888546774387,-19686.150534371533,73342.03994311232,0.0,-0.0,1142.8661780566522,-0.0,0.0,0.0,1555.0,-25.33575,-76014.570371169
