Fuel,AnnualSum
No_fuel,0.0
new_england_coal,3.694328356591173e7
new_england_naturalgas,3.7079785744230676e8
new_england_uranium,5.474706659010723e7
middle_atlantic_naturalgas,1.0855747795746994e9
middle_atlantic_uranium,5.2483008085471517e8
middle_atlantic_coal,0.0
east_north_central_coal,2.048832355362398e9
east_north_central_naturalgas,1.3097406539602447e9
east_north_central_uranium,2.495913160421566e8
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
