Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652
t2,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652
t3,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652
t4,-11.54479252572065,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652
t5,-11.54479252572065,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652
t6,-11.54479252572065,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652
t7,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652
t8,-11.544792525720652,-12.355191210702612,-12.355191210702612,-12.355191210702612,-12.355191210702612,-12.355191210702612,-12.355191210702612,-12.355191210702612,-11.544792525720652,-11.544792525720652,-11.544792525720652
t9,-11.544792525720652,-30.43163926922983,-30.43163926922983,-30.43163926922983,-30.43163926922983,-30.43163926922983,-30.43163926922983,-30.43163926922983,-11.544792525720652,-11.544792525720652,-11.544792525720652
t10,-11.544792525720652,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-11.544792525720652,-11.544792525720652,-11.544792525720652
t11,-11.544792525720652,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-11.544792525720652,-11.544792525720652,-13.750401339739282
t12,-11.544792525720652,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-11.544792525720652,-11.544792525720652,-13.750401339739282
t13,-11.544792525720652,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-11.544792525720652,-11.544792525720652,-13.750401339739282
t14,-11.544792525720652,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-11.544792525720652,-11.544792525720652,-13.750401339739284
t15,-11.544792525720652,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-11.544792525720652,-11.544792525720652,-13.750401339739282
t16,-11.544792525720652,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-33.02931164148509,-11.544792525720652,-11.544792525720652,-13.750401339739282
t17,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,0.001999999999997369,-11.544792525720652
t18,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,-11.544792525720652,23.6932,24.674000000000003
