Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total
AnnualSum,0.0,183404.02573549905,172821.50363428713,123589.70116699029,54844.71751918892,184742.76668163517,76775.34453344213,127286.638381151,174720.69980338408,254191.72577804446,424385.87423313083,566399.5659261796,272799.458582602,164501.91401002402,10661.525019532737,140482.56986346983,155711.07882838658,3.0873191096969475e6
t1,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.67349928599265,20.898,1.68,19.404,19.62,452.4666540022536
t2,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.67349928599242,20.898,1.68,19.404,19.62,452.4666540022534
t3,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.673499285992875,20.898,1.68,19.404,19.62,452.46665400225385
t4,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.673499285992875,20.898,1.68,19.404,19.62,452.46665400225385
t5,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.673499285992875,20.898,1.68,19.404,19.62,452.46665400225385
t6,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.673499285992875,20.898,1.68,19.404,19.62,452.46665400225385
t7,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.673499285992875,20.898,1.68,19.404,19.62,452.46665400225385
t8,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.673499285992875,20.898,1.68,19.404,19.62,452.46665400225385
t9,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.59999999999991,32.824999999999996,36.39115471626093,56.323,77.84,39.67349928599242,20.898,1.68,19.404,19.62,452.4666540022533
t10,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.67349928599272,20.898,1.68,19.404,19.62,452.4666540022537
t11,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,36.39115471626093,56.323,77.84,39.67349928599272,20.898,1.68,19.404,19.62,452.4666540022537
