Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,5.999209420031497e7,0.0,0.0,5.999209420031497e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,2.1421369389406097e8,0.0,2.1421369389406097e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,3.8457146485658693e6,0.0,3.8457146485658693e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,1.0214429806211817e8,0.0,1.0214429806211817e8
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,1.6162847638066307e7,0.0,1.6162847638066307e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,1.5260316027533127e7,1.5260316027533127e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,4.910579038017586e7,4.910579038017586e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,7.212037819156182e7,0.0,0.0,7.212037819156182e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,2.606337362469803e8,0.0,0.0,2.606337362469803e8
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,1.7311031325144906e9,0.0,0.0,1.7311031325144906e9
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,1.5365921673142803e8,0.0,0.0,1.5365921673142803e8
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_nuclear_1,1,1,1.3198380700285113e8,0.0,0.0,1.3198380700285113e8
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,0.0,0.0,0.0
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,7.746813477340456e6,0.0,7.746813477340456e6
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,7.417161840006819e6,0.0,7.417161840006819e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,2.342315762388384e-9,0.0,2.342315762388384e-9
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.0,2.914450125666679e8,0.0,2.914450125666679e8
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.0,1.7520984524282776e7,0.0,1.7520984524282776e7
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0,4.4502971040040904e8,0.0,4.4502971040040904e8
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,0.0,4.61512292267091e7,0.0,4.61512292267091e7
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.0,2.342315762388384e-9,0.0,2.342315762388384e-9
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,0.0,5.768574001701305e8,0.0,5.768574001701305e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,0.0,9.369263049553536e-9,0.0,9.369263049553536e-9
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,0.0,1.2304247363477981e8,0.0,1.2304247363477981e8
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,0.0,1.3812403604279365e7,0.0,1.3812403604279365e7
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,0.0,4.0876803029370923e6,0.0,4.0876803029370923e6
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,0.0,1.2470721440331465e8,0.0,1.2470721440331465e8
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,0.0,4.661933455172287e8,0.0,4.661933455172287e8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,0.0,0.0,0.0,0.0
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,0.0,2.6718265205891228e8,0.0,2.6718265205891228e8
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,0.0,3.627816268856668e7,0.0,3.627816268856668e7
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,0.0,8.701154967421329e7,0.0,8.701154967421329e7
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,0.0,0.0,0.0,0.0
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,0.0,-1.873852609910707e-8,0.0,-1.873852609910707e-8
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,0.0,0.0,2.5818594603861564e8,2.5818594603861564e8
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,0.0,0.0,1.5640239472772684e9,1.5640239472772684e9
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.0,0.0,-5.994250012619393e-8,-5.994250012619393e-8
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.0,0.0,2.012287053773169e8,2.012287053773169e8
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,0.0,0.0,4.600341816892675e8,4.600341816892675e8
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.0,0.0,0.0,0.0
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,0.0,0.0,3.902197106319886e9,3.902197106319886e9
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,0.0,0.0,2.812799255893204e8,2.812799255893204e8
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,0.0,0.0,3.1960907726599817e9,3.1960907726599817e9
