Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1.0078474189667706e8
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,3.0605170228876156e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,5.021290176419644e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,1.2976361979522201e8
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,2.3748999703711603e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,5.233911572672802e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,7.649881554225948e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9.7233613512158e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,4.3625552300711316e8
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,1.0575819068840793e9
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,4.9512510372058295e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,4.5873947716351696e-9
NENG_Rest,NENG_Rest_nuclear_1,1,1,4.129592303037375e7
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,5.015677987349283e7
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,1.804401717627284e6
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,3.7069761456275177e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,1.728128690472322e7
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,4.962157183864457e-10
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,1.54672070143072e8
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,6.434147536125165e6
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,1.7831638626344938e7
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,1.5074956175153803e7
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,3.792428697342308e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,4.445580778766932e7
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,8.536083867048176e7
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,1.880950941041791e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,2.0148903756734598e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,405879.5237412854
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,1.048671109052961e8
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,2.736641990254408e8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,-9.169918112422019e-9
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,1.5121792985604873e8
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,2.5486608951155085e7
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,5.37864453086369e7
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,-6.421794261669676e-10
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,6.58576252965193e7
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,2.6003741851436198e8
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,1.3171822074396372e9
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,4.7752489274728326e-9
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,3.3130282705378406e7
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,-6.711145403960595e-8
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,5.280919651909945e7
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,1.4825828369285057e9
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.0
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,4.1950156480441475e9
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,2.0159293665051615e8
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,1.9838967215823622e9
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,3.374476404582153e7
