Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.803773760000004e7
new_england_naturalgas,5.884315160805062e8
new_england_uranium,1.690632528216771e7
middle_atlantic_naturalgas,1.511873897654346e9
middle_atlantic_uranium,6.549331181089603e8
middle_atlantic_coal,0.0
east_north_central_coal,1.8781179820142763e9
east_north_central_naturalgas,1.2320270827200513e9
east_north_central_uranium,1.5104404138321342e9
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
