BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.1043120795911172e8,4.634100506818874e6,-6.179163186665451e6,1.8985541412507065e6,-1.898554141250707e6,23510.390754959975,0.0,6.993716528266381e6,-268715.1982865651,-1.1563465699999996e8,1.4537022362202844e7,526616.3401699362,-702196.3157437715,122900.26683708331,-122900.26683708325,2409.901957405697,0.0,-4.0338749092801246e6,-126223.37930629338,-1.0203753999999998e7,4.663211601976184e6,0.0,0.0,94785.81662141142,-94785.81662141152,7161.728313697872,0.0,3.1256089946948905e6,-70847.32498477353,-7.7251350000000065e6,2.744104021019916e7,0.0,0.0,184259.61412002135,-184259.6141200211,14187.041102357427,0.0,-1.1521094957467042e7,-627326.2938344642,-1.5306805999999994e7,1.2842778933480237e7,1.1189851592508918e6,-1.322052409322887e6,21634.64436196925,-21634.644361969247,897.9253417184133,0.0,-1.0801454694345688e7,-91150.91440428003,-1.7480039999999993e6,5.9968858337433934e7,7.077166204639026e6,-8.823187030191422e6,113366.6043828889,-113366.60438288888,8749.838366399606,0.0,-4.834927032056506e7,-425972.02968280035,-9.456345000000002e6,1.3087466788333349e7,2.453857760511308e6,-2.899170321965155e6,207679.13023226385,-207679.13023226397,15686.906982113615,0.0,4.944002389254428e6,-758074.5231160345,-1.6843768999999993e7,3.176451794415535e7,0.0,0.0,770682.3836313788,-770682.3836313789,68479.43841290117,0.0,3.2677962679013357e7,-168919.06158168253,-6.4342040999999955e7,3.8280211456116084e6,0.0,0.0,259194.4364840976,-259194.43648409753,23618.511535602844,0.0,1.6405804514426846e7,-240529.1715740395,-2.0016914999999985e7,1.510335654304245e8,6.463764871421666e6,-7.986269124777982e6,2.330833850580287e6,-2.33083385058029e6,56735.97493088303,0.0,3.50775619410481e6,-148542.34610391653,-1.529270110000001e8,5.675322899917063e8,3.3314936389166126e6,-4.337929096116585e6,7.684185232168944e6,-7.684185232168944e6,192310.22073483112,0.0,7.050843581897242e6,-409322.3371383884,-5.733596859999999e8
t1,11212.0197836685,0.0,-1830.0,55.40459290764217,-830.9000000000001,0.0,0.0,2255.0975900359367,-42.23416521479348,-10819.387801397286,2001.7385346456579,0.0,-0.0,4.313166320705562,-0.0,0.0,0.0,-1006.4632133434862,-13.369927993740657,-986.2185596291381,340.80654999999996,0.0,-0.0,3.2718934303487797,-0.0,0.0,0.0,410.43347360970324,-7.548195521110815,-746.9637215189412,3252.2228500000006,0.0,-0.0,6.480244919940166,-30.5194991854344,0.0,0.0,-1667.1843551369757,-81.17182402510062,-1479.8274165724301,2387.1428443886143,0.0,-34.57704843846652,0.7400891426589296,-6.0514381011041145,0.0,0.0,-2163.7246674782664,-14.605141505478297,-168.9246380079566,2652.17187263946,0.0,-0.0,3.9537595151245344,-0.0,0.0,0.0,-1683.8385240293057,-57.43691499225216,-914.8501931330267,600.0734999999999,0.0,-0.0,7.336495524632216,-34.54251933887927,0.0,0.0,1165.5217599793268,-110.90191445346314,-1627.4873217116162,6087.009086475992,0.0,-0.0,26.248757841829608,-291.70189372260796,0.0,0.0,429.99836832734695,-26.03462588362635,-6225.519693038935,351.70259999999996,0.0,-0.0,8.938154154857415,-79.65214008405142,0.0,0.0,1691.8178338554408,-39.89687664495669,-1932.9095712812903,13982.615542285519,638.5500206862346,-1880.203950225472,68.16155905988563,-984.6248135945775,0.0,0.0,1920.0,-19.512,-13724.986358211589,61823.824534533924,0.0,-3693.0,284.96170723383074,-1266.144035829337,0.0,0.0,-1351.6582658197199,-50.6715,-55747.31244011871
t2,8908.992385923031,0.0,-1830.0,40.60653058821736,-0.0,0.0,0.0,2921.626965787928,-48.04587664495668,-9993.180005654222,1801.3632846456578,0.0,-240.0,2.934447915090097,-6.2725382125269284,0.0,0.0,-621.4856185691172,-14.661472639532386,-921.8781031395715,340.77799999999996,0.0,-0.0,2.225788619605458,-31.765926876385077,0.0,0.0,395.30419704298924,-8.839740166902546,-697.7023186193071,3239.93913,0.0,-0.0,4.409770191001582,-53.37114827407656,0.0,0.0,-1715.5187275395856,-93.14740903284846,-1382.3116153444914,2284.8836537855045,50.807806335114265,-0.0,0.5024450967523548,-0.0,0.0,0.0,-2163.7246674782664,-14.605141505478297,-157.8640962336261,2645.851133620295,0.0,-1166.7,2.6896279695830354,-38.387228611480204,0.0,0.0,-519.5106327991978,-69.4125,-854.5304001792007,600.0798999999998,0.0,-0.0,4.992818212298132,-60.389372664857234,0.0,0.0,1092.961915759085,-116.71362588362634,-1520.9316354229002,6488.7943569821355,0.0,-0.0,17.8613014699114,-84.2800912380828,0.0,0.0,-583.0407370100666,-26.03462588362635,-5813.300204320271,351.70259999999996,0.0,-0.0,6.081512631781592,-0.0,0.0,0.0,1488.373034212072,-39.89687664495668,-1806.260270198897,14092.249822537024,0.0,-2802.627661538093,46.87668225402666,-0.0,0.0,0.0,1920.0,-19.512,-13236.986843252955,61032.12349889415,0.0,-3722.740393777385,173.15131811611263,-905.0063191660252,0.0,0.0,-2214.985729405841,-50.6715,-54311.870874661014
t3,7137.810530898822,0.0,-1830.0,16.381918028036132,-27.541923603751655,0.0,0.0,4254.298203458206,-48.045876644956685,-9502.902852136358,1590.7442346456578,35.37179023613814,-204.62820976386186,1.1820161527936435,-0.5475133623526746,0.0,0.0,-526.567278605381,-17.911,-877.6440393029944,340.77799999999996,0.0,-0.0,0.8966557150263501,-0.0,0.0,0.0,334.9408835808772,-12.089267527370158,-664.5262717685331,3270.3744,0.0,-0.0,1.7759058784660056,-0.0,0.0,0.0,-1863.8760835221763,-91.30824700990195,-1316.9659753463882,2451.0389298474743,0.0,-121.13152208839836,0.20281418065562656,-1.960347103692213,0.0,0.0,-2163.7246674782664,-14.605141505478297,-149.82006585229485,2683.7398566909737,0.0,-1166.7,1.0835196257247337,-0.5014069739440282,0.0,0.0,-634.8975943486676,-69.4125,-813.3118749940863,600.0862999999998,0.0,-0.0,2.0105627710693916,-0.0,0.0,0.0,963.1709512450084,-116.71362588362634,-1448.5541881324516,6985.3243258935445,0.0,-0.0,7.193446179122947,-0.0,0.0,0.0,-1427.660796552172,-26.03462588362635,-5538.822349636868,351.70259999999996,0.0,-0.0,2.4494891259578564,-0.0,0.0,0.0,1397.4402594441076,-30.77009894262467,-1720.822249627441,14072.98787166174,925.9721476258117,-2654.2008569051277,19.438849160582034,-31.087248520882056,0.0,0.0,678.2615370976857,-10.38522229766799,-13000.98707782214,60858.39895967362,0.0,-4758.310562358033,77.12409432631989,-1276.940312383805,0.0,0.0,-1011.3854143192223,-48.8323379770535,-53840.054426961826
t4,6870.316901920418,0.0,-1830.0,21.283053917787228,-0.0,0.0,0.0,4254.298203458206,-48.045876644956685,-9267.852282651456,1750.5926346456577,0.0,-240.0,1.5430402069506128,-0.0,0.0,0.0,-641.7136263658508,-17.911,-852.5110484867575,340.74944999999997,0.0,-0.0,1.170467628819937,-0.0,0.0,0.0,315.5942613590619,-12.089267527370158,-645.4249114605118,3247.80522,0.0,-0.0,2.3185454267953567,-3.14027074560521,0.0,0.0,-1875.0721767623822,-93.14740903284846,-1278.7639088859587,2521.395159311603,102.52572029562039,-298.7306783721115,0.2645099058255992,-1.3268514955642938,0.0,0.0,-2163.7246674782664,-14.605141505478297,-145.7980506616292,2724.6485421041816,0.0,-1166.7,1.4143901535642238,-0.0,0.0,0.0,-699.7611445626262,-69.4125,-790.1892876951197,600.0926999999999,0.0,-0.0,2.624990528469632,-3.557509516000307,0.0,0.0,924.8926977409906,-116.71362588362635,-1407.339252869835,6985.3243258935445,0.0,-0.0,9.391256628302528,-0.0,0.0,0.0,-1590.7247489403421,-26.034625883626354,-5377.956207697878,351.70259999999996,0.0,-0.0,3.197747985732713,-4.3261072509386445,0.0,0.0,1353.0966803483325,-31.09602424897862,-1672.5748968341481,14028.104237345047,0.0,-1537.878476541785,25.92348628918637,-134.05623029590856,0.0,0.0,722.6051161934608,-10.711147604021939,-13093.986985385978,60664.51934295498,0.0,-5426.622662088425,90.43586991785206,-427.2758593312317,0.0,0.0,-599.4905949905847,-50.6715,-54250.8945964626
t5,8089.489558253591,0.0,-1830.0,22.365765781122114,-124.47701815716204,0.0,0.0,3089.9164520988297,-32.90891387728483,-9214.385844099097,1949.1126346456576,0.0,-240.0,1.6571155696483175,-5.1064752592605736,0.0,0.0,-846.2997424284322,-17.911,-841.4525325276132,340.7209,0.0,-0.0,1.2564351071274442,-0.9888142528767627,0.0,0.0,307.4776453561476,-12.089267527370158,-636.376898683028,3312.0537000000004,0.0,-0.0,2.4922728530199043,-0.0,0.0,0.0,-1959.725053087563,-93.14740903284846,-1261.6735107326085,2471.0514286332937,252.8456461741552,-401.33286115515904,0.28146841284891555,-0.7288300150976292,0.0,0.0,-2163.7246674782664,-14.605141505478297,-143.78704306629638,2718.7641566482494,0.0,-1166.7,1.5182309542588917,-0.6934102482820597,0.0,0.0,-704.3458183673083,-69.4125,-779.1306589869183,600.0990999999999,0.0,-0.0,2.822586212328548,-0.0,0.0,0.0,902.0315883950416,-116.71362588362634,-1388.2396487237443,6978.988052747869,0.0,-0.0,10.092927439339155,-7.951714616883965,0.0,0.0,-1652.544436022722,-26.034625883626347,-5302.550203663976,351.70259999999996,0.0,-0.0,3.4352927800036244,-0.0,0.0,0.0,1320.0835479011703,-24.75991387728483,-1650.461526803889,13961.840439762898,0.0,-2425.271847478768,27.689260915215186,-11.759224636828147,0.0,0.0,1920.0,-19.512,-13452.986628562514,60654.31183187154,0.0,-4704.47078533229,108.63816764973721,-157.58298068413657,0.0,0.0,-212.8695163668973,-50.671499999999995,-55637.35521713797
t6,8426.23670356955,0.0,-1830.0,53.08448891976121,-0.0,0.0,0.0,2800.0,-29.14,-9420.181192489312,2172.5918346456574,0.0,-239.99999999999991,3.818691195472815,-0.0,0.0,0.0,-1071.01507551762,-17.911,-847.4844503235101,340.69235,0.0,-0.0,2.8961831647567617,-0.0,0.0,0.0,303.02603928353994,-5.211,-641.4035724482967,3286.9290100000003,0.0,-0.0,5.739837980638975,-6.402339471132745,0.0,0.0,-1928.2706808870978,-86.2691415054783,-1271.7266861169321,2499.381553543328,339.68813368172664,-515.9757945291634,0.6524347508949877,-0.6239715990798873,0.0,0.0,-2163.7246674782664,-14.605141505478297,-144.7925468639628,2744.1588783621164,687.3546428431218,-479.34535715687826,3.499705313529081,-0.0,0.0,0.0,-2101.0927310795882,-69.4125,-785.1626382823009,600.1054999999999,0.0,-0.0,6.499237323631281,-7.252999960304228,0.0,0.0,917.6644451257844,-116.71362588362634,-1400.3025566054857,6621.844353727722,0.0,-0.0,23.24750393613637,-0.0,0.0,0.0,-1276.9639223288257,-25.36119618630856,-5342.766739148724,351.70259999999996,0.0,-0.0,7.914687164270455,-4.170338277244928,0.0,0.0,1329.404292784256,-20.317570302682213,-1664.5336713685995,13574.15969726849,80.01312335235085,-1409.986876647649,68.57020431086723,-38.25823734421903,0.0,0.0,1920.0,-19.512,-14174.985910939839,60698.047601559636,0.0,-3693.0,244.5870018530074,-244.5870018530074,0.0,0.0,1270.9723000978174,-50.6715,-58225.34840165746
t7,8968.328863708693,0.0,-1830.0,131.2034352716533,-94.62592751406672,0.0,0.0,2800.0,-29.14,-9945.76637146628,2350.684419999999,240.0,-0.0,9.463628184049275,-3.4961303356643643,0.0,0.0,-1706.411207550303,-14.607310260385818,-875.6334000376955,340.6638,0.0,-0.0,7.177674693159828,-3.131397000062578,0.0,0.0,321.54096846536777,-3.7354438960392615,-662.5156022624257,3195.916,0.0,-0.0,14.223694754400572,-0.9517541856614532,0.0,0.0,-1808.1459602349482,-88.09727514113175,-1312.9447051926588,2498.9740887659777,436.7219124894839,-608.7096447783558,1.6180012214778365,-0.45448286254410886,0.0,0.0,-2163.7246674782664,-14.605141505478297,-149.82006585229485,2776.1981545764165,820.7494953400935,-345.9505046599066,8.6734149921268,-3.7838320118101754,0.0,0.0,-2375.1730130079613,-69.4125,-811.3012152289588,600.1118999999999,0.0,-0.0,16.105147939920556,-1.0769084057943046,0.0,0.0,925.8123774363489,-93.40357116150216,-1447.548945808973,6686.542470888518,0.0,-0.0,57.60969983405499,-25.164490679622617,0.0,0.0,-1203.654432231922,-3.6570596263653425,-5511.676188184664,352.44859999999994,0.0,-0.0,19.613996056326606,-9.932616312240109,0.0,0.0,1379.7559346016847,-20.058511535136823,-1721.8274028106346,13887.900961241248,432.5345002068805,-1057.4654997931195,176.02285591818236,-151.4959134917603,0.0,0.0,1920.0,-19.512,-15187.98490408143,60374.4184586694,1323.7834178790763,-2369.2165821209237,610.6556349481225,-54.989892334466276,0.0,0.0,1910.0,-50.6715,-61743.97953704123
t8,6556.9050812997275,1558.8392536609726,-271.16074633902736,214.98922006500015,-122.2,0.0,0.0,2802.9519777027913,-48.04587664495669,-10692.278909744507,2119.27967,240.0,-0.0,15.059679836490995,-0.0,0.0,0.0,-1429.5535753496301,-13.859794653444002,-930.9259798334168,340.6638,0.0,-0.0,11.423579422736296,-0.0,0.0,0.0,360.6903446487612,-8.038062180814158,-704.7396618906834,3150.9313800000004,0.0,-0.0,22.627948033656253,-0.0,0.0,0.0,-1684.025858118263,-93.14740903284846,-1396.3860608825444,2477.1937878483104,515.2118433404005,-656.2945493126286,2.582070338212094,-0.48823940159042034,0.0,0.0,-2163.7246674782664,-14.605141505478297,-159.8751038289589,2685.496228042298,1464.2834268686754,-265.30287288724287,13.804233230879152,-0.0,0.0,0.0,-2967.300805897462,-69.4125,-861.5677093571471,600.1182999999999,0.0,-0.0,25.618530862857924,-0.0,0.0,0.0,1030.0027922662812,-116.71362588362634,-1539.0259972455124,6978.3931289953225,0.0,-0.0,91.65479361890311,-0.0,0.0,0.0,-1186.4749033771059,-26.03462588362635,-5857.538393353494,449.42859999999996,0.0,-0.0,31.208978312018793,-15.78114430802512,0.0,0.0,1407.434695602894,-39.89687664495669,-1832.3942529619305,15348.98987298203,203.28932303917054,-1286.7106769608295,281.1177200770553,-0.0,0.0,0.0,1320.0,-9.702,-15856.984239137426,61349.89736140692,0.0,-0.0,797.826028785717,-0.0,0.0,0.0,2510.0,-40.8615,-64616.861890192646
