Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.9692962055457842e8,2.4949998543154363e7,1.1868271665134756e8,1.611835128605647e8,4.4557248785683244e8,0.0,1.5623922701372295e6,1.6329042818898186e6,0.0,2.983239394646499e-12,1.186694537010107e8,3.294189169353473e7,1.2357264969740872e-11,0.0,3.69157991723097e7,4.326014404757759e7,4.799043755893004e6,1.789500134066872e7,0.0,336843.63642985286,7.657258474639913e6,1.5311287047965548e6,3.174068656489317e6,6.845081077893578e6,28497.37351312797,20812.58354901282,42314.85413397173,4737.354444420451,26062.64147921096,44666.152414992124,164631.99392895575,57176.61521469732,443838.16382141254,2.0206410424132592e6,336056.0668529782,208242.2013915048,145979.53742031095,319204.36040127306,35431.08811134554,189368.4297774649,387991.4901746383,1.308981697591363e6,517898.4945925984,4.754883104454599e6,1.3211423068785537e7,3.5137769276362406e6,1.2523219625218508e9
t1,17784.69040563943,2059.640482285142,7643.548674826794,8788.938312351465,26324.16455889146,0.0,88.5131661814154,169.46463479922892,-0.0,-0.0,9539.293041516687,528.8235620473916,-0.0,-0.0,846.3207144669825,1009.8000994317118,826.9167312306253,2103.592302398856,0.0,38.329343552787066,710.4126520687694,166.9437310251394,399.2753250014431,593.6532804784403,-0.0,1.5113431989824542,3.001695520201263,0.33585404421832316,-0.0,3.4005221977105218,12.153718225150568,-0.0,-0.0,322.0939144561953,26.541874305876025,22.82728866277324,1.7605502313663255,-0.0,1.1330651135382364,30.93493424991678,-0.0,39.50819145889904,69.83561406918713,628.8027712507732,1995.3621070989811,364.49041147517806,83146.01487375272
t2,17271.540000000008,2267.480482285142,6296.320037413399,10079.278312351466,29522.30255889146,-0.0,134.82717697268023,218.50554935546091,-0.0,-0.0,11012.78516237466,1505.2433870116956,-0.0,-0.0,1118.532405533938,2334.600099431712,0.0,2431.318100627591,0.0,51.15325217934434,736.6032278716459,211.09941102513937,414.8503130394097,791.004022201258,1.5386804896228141,-0.0,-0.0,-0.0,1.4091073957598401,-0.0,-0.0,3.19073743637573,22.809853045647795,228.02210718617062,-0.0,11.560215308360679,2.8201810062050194,2.093651138200924,1.3763640225646434,-0.0,2.3689630615729116,47.99164026047771,-0.0,-0.0,1335.9285661813988,-0.0,88058.55356509837
t3,18856.320000000007,2475.320482285142,4949.091400000005,11369.618312351466,32720.44055889146,-0.0,181.14118776394506,267.5464639116929,0.0,-0.0,9681.352063171395,2481.6632119759997,-0.0,-0.0,2319.2421631312095,3659.400099431712,278.4188402449925,2558.408138856326,0.0,58.742250805901634,695.7589236745223,232.51821102513935,477.9013010773763,988.8866996668015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12.194718098801648,3.301879225553553,3.045405323862377,-0.0,0.5821126517807054,3.4458714673672164,51.84813657852488,1.314119311394942,11.161453685347773,588.2008125867673,9.17878747751722,94936.04360467201
t4,20441.100000000006,2198.184223624634,5959.453600000004,12286.749498929315,35918.57855889146,-0.0,227.45519855520988,209.60587488022787,-0.0,-0.0,8180.310432373944,3458.083036940304,0.0,-0.0,3772.8421631312094,4984.200099431712,0.0,2484.8624170850608,0.0,61.09633943245892,722.3542994773987,238.76862826885448,493.4190891153429,1187.3684645672608,0.7571721101930539,0.5738567571989461,1.139743281659018,0.127523723821988,0.6934102482820597,1.2911777036976286,4.614764755808191,1.5701358495582274,11.759224636828147,-0.0,9.942887303075565,-0.0,3.898490097174544,4.224207468998715,0.13698618200361118,1.3030925570628695,4.77968429213922,-0.0,2.9417314475694276,25.325715337705994,-0.0,20.518954092228885,102920.03068254942
t5,22025.880000000005,2406.024223624634,6969.815800000004,13577.089498929316,39116.71655889146,-0.0,172.73637673188188,151.66528584876284,-0.0,-0.0,5983.056038315934,2836.0537722655013,-0.0,-0.0,3895.4315997480776,6222.694986993601,278.315903411135,2210.437445313796,0.0,58.215518059016205,681.9957552802751,222.2821655125696,540.8950891153429,1261.3109963589911,1.253904724011353,0.9503277908296572,3.027199866223476,0.21118395351770158,1.1483127472525023,3.429415233064357,7.642219317921826,2.600202427686701,31.930418490982362,-0.0,16.522779005559187,0.4032108456369643,-0.0,-0.0,0.20727064133482515,1.6730107640692589,-0.0,2.450708121417329,3.7768217998863514,32.84378239876697,-0.0,26.36194086779181,108747.04972339624
t6,23610.660000000003,2128.887964964126,7980.1780000000035,13984.881812758202,41407.1461014708,-0.0,197.9508098280714,142.44146540924288,-0.0,-0.0,5427.9241389620565,1682.4386671564466,-0.0,-0.0,3895.4315997480776,6222.694986993601,0.0,2139.5701135425306,0.0,50.51861104426216,709.0768910831516,183.08628275628476,540.8950891153429,1210.6475309378577,3.4961303356643643,2.649698780714045,3.3751396049092697,0.5888219512697876,3.20171936002947,3.8235847272398713,21.307994361575442,7.249870275009261,-0.0,-0.0,46.451361030991926,1.979676429456768,1.196812174872374,2.3646983757297053,0.4820673944777267,1.446298700752113,2.6756525963914095,12.032437013900083,7.041841116834247,63.58395268192503,-0.0,-0.0,111699.3778226818
t7,25195.440000000002,1851.7517063036178,8990.540200000003,14075.809370680463,41407.1461014708,-0.0,143.2319880047434,84.50087637777784,-0.0,-0.0,6463.764412451265,528.8235620473916,-0.0,-0.0,3895.4315997480776,5504.1929671401585,0.0,1868.067021771265,0.0,37.58679402950811,669.2041068860271,166.73712,493.4190891153429,1035.380632982268,5.367970882064684,1.6663278355547124,11.455348406332956,0.37029507456771404,4.9159312288381845,12.977387705076492,32.71636990226793,11.131476460702558,93.49468560989689,147.1766658175075,23.127166946498832,6.075333731441358,4.306129988993703,8.50818432870659,1.0590031274989524,5.203782464040728,9.626997558475345,36.92576694568716,8.482519595624048,74.60154848370803,234.17270548779874,-0.0,113144.38914659001
t8,26780.22,2059.5917063036177,10000.902400000003,14981.67592369344,39086.22620394914,-0.0,88.5131661814154,26.56028734631283,-0.0,-0.0,2409.1341256976816,528.8235620473916,-0.0,0.0,3895.4315997480776,5504.1929671401585,0.0,1800.12157,0.0,29.927867014754046,613.75776,143.94532,475.6799391153428,735.5447236101393,12.669343876818882,7.2,19.070696572474745,1.6,11.602451760876239,21.604565347838513,77.21631689134878,26.272218355087578,188.42518998450566,526.0055809962781,122.2,13.833640573178155,10.19603724728471,20.145644591311786,2.411368540278761,12.321495162881824,22.794766051331372,84.08061357550943,24.55075601325782,229.33113337235122,682.4917713993733,115.91638701149898,111392.18909917097
