Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total
AnnualSum,0.0,190244.22918011417,179903.49334810537,120234.409392059,56528.32358544719,197950.86484858772,72916.59732748024,129801.82332467097,171889.11277503343,212014.62463021057,401971.8159902087,553186.1011939691,273505.855588878,157039.1690977715,10078.489706878347,146728.72051222823,145997.74556058613,3.019991376062229e6
t1,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t2,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,-0.0,423.63390733329135
t3,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,6.2207945650902845,429.8547018983816
t4,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,-0.0,423.63390733329135
t5,-0.0,28.16,30.12,19.75999999999999,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t6,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t7,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t8,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t9,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t10,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t11,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t12,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t13,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t14,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t15,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t16,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t17,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t18,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t19,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t20,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t21,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t22,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t23,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t24,-0.0,28.16,30.12,19.759999999999998,10.422,25.4,12.35,21.6,32.824999999999996,27.96030612523228,56.323,77.84,38.8916012080591,20.898,1.68,19.404,19.62,443.25390733329135
t25,0.0,-0.0,-0.0,3.498513392256577,-0.0,25.4,7.500141219577164,9.686562134831513,-0.0,10.22988128680166,56.323,63.805409877613684,24.223327435010546,20.898,1.68,19.404,19.62,262.2688353460911
t26,0.0,2.3030534909728297,-0.0,-0.0,1.8175694047929627,25.4,2.9858918626216564,9.662648222783304,-0.0,17.2669514008851,56.323,53.14910112596776,23.301390846321674,20.898,1.68,19.404,19.62,253.8116063543453
