Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENG_Rest_conventional_hydroelectric_1,1,4.097192485216387e6,1067.6,0.4381004469137864
NY_Z_A_conventional_hydroelectric_1,2,1.3875108464489631e7,2434.9,0.6505057667173579
NY_Z_B_conventional_hydroelectric_1,3,0.0,0.0,0.0
NY_Z_C&E_conventional_hydroelectric_1,4,223846.1887918295,63.3,0.40368432699226975
NY_Z_D_conventional_hydroelectric_1,5,5.793181837387884e6,809.6,0.8168504539966582
NY_Z_F_conventional_hydroelectric_1,6,1.064021124461061e6,274.6,0.4423292013210835
PJM_EMAC_conventional_hydroelectric_1,10,2.5186427024050625e6,572.0,0.5026508570435112
PJM_Rest_conventional_hydroelectric_1,11,3.359933124897605e6,1507.8,0.2543798976598404
NENG_Rest_conventional_steam_coal_1,1,3.835859821666887e6,438.0,0.9997341125255121
NENG_Rest_natural_gas_fired_combined_cycle_1,1,1.7214829631999936e7,3721.9,0.527999999999998
NENG_Rest_natural_gas_fired_combined_cycle_2,1,4.207754213590977e7,10513.3,0.4568853157375932
NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1.9537848479999998e6,933.2,0.239
NENG_Rest_natural_gas_fired_combustion_turbine_2,1,4.541333097687701e-12,0.0,0.0
NENG_Rest_nuclear_1,1,1.7156120580577012e7,1983.2595102154226,0.9874962118688125
NY_Z_A_natural_gas_fired_combined_cycle_1,2,2.185907328000001e6,444.8,0.5610000000000003
NY_Z_A_natural_gas_fired_combustion_turbine_1,2,78638.51999999999,47.0,0.19099999999999998
NY_Z_A_natural_gas_steam_turbine_1,2,190462.28271591658,45.0,0.4831615492539741
NY_Z_B_natural_gas_fired_combined_cycle_1,3,751187.5200000011,119.1,0.720000000000001
NY_Z_B_natural_gas_fired_combustion_turbine_1,3,0.0,0.0,0.0
NY_Z_B_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
NY_Z_B_nuclear_1,3,-9.664233857620275e-10,-1.1368683772161603e-13,0.0
NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,6.737902919999994e6,1768.2,0.4349999999999996
NY_Z_C&E_natural_gas_steam_turbine_1,4,280287.5879999998,106.3,0.3009999999999998
NY_Z_C&E_nuclear_1,4,0.0,0.0,0.0
NY_Z_D_natural_gas_fired_combined_cycle_1,5,787348.7999999973,280.0,0.32099999999999884
NY_Z_D_natural_gas_fired_combined_cycle_2,5,665628.5999999992,91.0,0.8349999999999989
NY_Z_F_natural_gas_fired_combined_cycle_1,6,1.7489457874223016e7,3499.8,0.5704650139898083
NY_Z_F_natural_gas_fired_combined_cycle_2,6,1.9449661559999841e6,293.3,0.7569999999999938
NY_Z_F_natural_gas_fired_combustion_turbine_1,6,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,4.190848558418826e6,746.5,0.6408672065405417
NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,81549.46800000008,21.7,0.42900000000000044
NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,87356.47199999985,83.8,0.1189999999999998
NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,17597.087999999934,24.8,0.0809999999999997
NY_Z_J_natural_gas_fired_combined_cycle_1,8,4.3162497186288545e6,756.6,0.6512325807820939
NY_Z_J_natural_gas_fired_combined_cycle_2,8,1.1381068888765655e7,2828.4,0.45934407341831185
