Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,-489.34376110922386,-0.0,-0.0,638.0642344331069,500.0,7.272116707873499,-609.033786760045,-0.0,989.377444425546,-0.0,868.1927758455273,3945.1183460356838,671.1380810095648,-0.0,-660.0,300.0
t2,-0.0,-0.0,-0.0,-0.0,945.1012615102535,500.0,397.2816547720193,-695.0407786337005,-0.0,1616.290021504974,-0.0,1486.5468297520183,3238.086971306463,443.8097526747353,-0.0,-660.0,300.0
t3,-0.0,-0.0,-0.0,-0.0,815.3795075192787,500.0,267.69395399081935,-627.5935863504778,-0.0,1474.9812110848231,-0.0,1491.8587928291993,3098.469529412574,418.17187244701046,-0.0,-660.0,300.0
t4,-0.0,-0.0,-0.0,-0.0,598.7070906339702,500.0,102.17555795907823,-669.6695772589492,-0.0,1357.9653947258214,-0.0,1462.2052850961238,2979.0462947407673,349.162353057399,-0.0,-660.0,300.0
t5,-0.0,-0.0,-0.0,-0.0,487.77249534562316,500.0,-0.0,-604.8674384696233,-0.0,1225.5075075569243,77.90432387297662,1183.9841161754084,2750.808953702663,301.2094595264746,-0.0,-660.0,300.0
t6,-0.0,-0.0,-0.0,-0.0,703.3298108395876,500.0,210.1542579303603,-669.1404271907367,-0.0,1012.0831536124066,516.8543935060619,1521.9370399200993,2842.334785245385,308.43511296584524,-0.0,-660.0,300.0
t7,-0.0,-0.0,-0.0,-0.0,900.1105315382986,500.0,375.753192896571,-659.1921702833653,-0.0,1177.771687743674,409.16699858785074,1525.4615714740291,2917.6981331203665,379.11473013861587,-0.0,-660.0,20.499391731764494
t8,-0.0,-0.0,-0.0,-0.0,786.457903015405,500.0,285.84291433518456,-591.2275663103921,-0.0,939.2574363254575,443.9566536879579,1554.6608350689348,2807.0224180273635,307.69351747178325,-0.0,-660.0,300.0
t9,-0.0,-849.7223419214827,-0.0,-0.0,567.7894091863193,500.0,54.7649950849853,-523.0031313155349,-0.0,410.73460813460605,755.0,2237.5619659439226,2999.5328628229813,343.2260194469501,-0.0,-660.0,300.0
t10,-0.0,-947.3939906229137,-0.0,-0.0,534.0254911436182,500.0,-0.0,-452.9230989851123,-0.0,195.8499654402387,755.0,3036.3181683416683,3533.547115333304,516.329559921344,-0.0,-660.0,300.0
t11,-0.0,-708.6892850248686,-0.0,-0.0,632.9980650434005,500.0,-0.0,-505.4074722015834,-0.0,144.51569497124467,755.0,3350.504806216131,3734.8304533345586,604.985249746925,-0.0,-660.0,300.0
t12,-0.0,-1600.0,-0.0,-0.0,635.9001167166206,500.0,-0.0,-550.2767887340037,-0.0,463.861666356162,315.2663236809946,3475.0,4061.0767923056105,676.5349722793546,-0.0,-660.0,100.65063777462403
t13,-0.0,-1600.0,-0.0,-0.0,614.4733458828291,500.0,-39.137631898502974,-599.2966374886868,-0.0,810.396740089233,-0.0,3475.0,4182.332558745125,786.6923119391255,-0.0,-595.3095051831842,-0.0
t14,-0.0,-523.8070178954017,-0.0,-0.0,652.5607693761704,500.0,-0.0,-625.4857454268463,-0.0,684.101471878161,-0.0,3475.0,4163.899913330923,715.784632270356,-0.0,-660.0,42.29217955686609
t15,-0.0,-1600.0,-0.0,-0.0,662.7498772702039,500.0,-0.0,-653.4432382178938,-0.0,867.8760547610988,-0.0,3475.0,4243.358938468449,743.2730037162443,-0.0,-660.0,-0.0
t16,-0.0,-1600.0,-600.0,-376.86272860094215,506.2591161761846,500.0,-236.27471464250584,-566.5804146152129,-0.0,331.32220060817895,-0.0,2599.115052520594,4881.398865126652,2003.4707043900307,-0.0,-0.0,-0.0
t17,-0.0,-1600.0,-600.0,-760.0,529.469083338782,500.0,-219.4882398932946,-601.335166441197,-0.0,39.21239096130153,119.84785802109072,1237.2879313615445,5171.255854767945,2064.850722937538,241.52763301778168,-11.32079294548365,-300.0
t18,-0.0,-1600.0,-600.0,-760.0,1448.4040473444184,-500.0,647.6243473814127,-634.1399691467057,128.84420969269223,1603.1921418253687,-755.0,-0.0,5561.407587589242,2064.850722937538,241.52763301778168,-212.36213245710067,-300.0
t19,-0.0,-1600.0,-600.0,-760.0,1557.1858110011624,-500.0,701.8092044328218,-689.9800507346408,-0.0,1990.4051019056008,-755.0,-0.0,5884.155000167588,2064.850722937538,126.91865908468405,-481.5401997841188,-300.0
t20,-0.0,-1600.0,-600.0,-760.0,1709.5794810204147,-500.0,841.9213649266687,-755.0236869665167,-0.0,1894.045832489688,-755.0,152.15280504385777,5884.155000167588,2064.850722937538,112.42990346997438,-494.6895072918494,-300.0
t21,-0.0,-1600.0,-600.0,-760.0,1821.0588981250323,-500.0,976.2660006278089,-745.9592280103184,-0.0,1818.8480920179968,-755.0,161.75270859477322,5884.155000167588,2064.850722937538,225.41452117731058,-387.48276706813834,-300.0
t22,-0.0,-1600.0,-600.0,-760.0,1684.666882788592,-500.0,865.6550162999321,-688.3969003070268,-0.0,1562.3604699186387,-755.0,237.52130651054262,5783.42756366886,2064.850722937538,241.52763301778168,-380.6941393223786,-300.0
