Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,5.212377924281833e7,8.52585114047543e6,4.1005184371475115e7,4.6333593561590925e7,1.1790231562910332e8,9.951062325795737e7,0.0,1.0792347884934429e-10,3.4804097634572904e6,0.0,1.7546992640429768e8,2.0699443434222195e7,1.3204572553679042e6,3.8494336633424438e6,1.7331849209440535e8,7.459957845798882e8,5.120374037871641e6,1.7614400806791324e7,0.0,328474.72864473064,7.588363728511432e6,1.4980533424375386e6,3.1477227795385686e6,6.831875164952477e6,19184.818284557634,13955.57142988233,24827.43084181827,2908.77030164886,15450.662485482906,32324.882491551685,130654.78081995905,47688.189048845314,282607.70973502495,1.2350748496350534e6,120648.67763965426,109930.45949736137,79084.7605756117,123166.14772469677,13800.043283629211,69420.21061896956,209612.073769458,900606.84483809,346958.66852205625,1.51016397540543e6,4.241827820421795e6,601438.2424541013,1.5417958945769744e9
t1,310.2477971230413,88.00145520077857,-0.0,0.0,-0.0,16045.168529801322,-0.0,-0.0,-0.0,-0.0,15597.5938072582,-0.0,-0.0,582.173801304521,2858.0276622034685,13015.012740181077,751.2187770013896,1919.0701751992567,0.0,25.897171231045167,647.59904,160.0890886670487,343.8759210789475,570.0999511786358,5.581597014283336,-0.0,-0.0,-0.0,5.125956441688775,-0.0,-0.0,-0.0,-0.0,680.0190131591528,-0.0,42.931992506902226,19.99499109746366,20.77242258470733,0.7542593964349624,39.33031528316883,23.494005386959003,84.1829757380244,28.68129568526777,246.1166701337205,2740.8464802927256,-0.0,56851.90789214923
t2,310.2477971230413,88.00145520077857,0.0,1158.5128023378554,-0.0,16045.168529801322,-0.0,-0.0,-0.0,-0.0,15597.5938072582,-0.0,-0.0,582.173801304521,2858.0276622034685,13015.012740181077,148.28116958717482,1791.5994200000002,0.0,27.415229999999998,647.59904,160.0890886670487,270.2232789210525,607.2000921015692,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,26.4235359070695,19.99499109746366,20.77242258470733,-0.0,12.700719743841216,23.494005386959003,84.1829757380244,28.68129568526777,246.1166701337205,926.3014164839033,-0.0,54695.81394744806
t3,1465.5800355186943,268.2778981457019,641.6898597420136,1158.5128023378554,-0.0,16045.168529801322,-0.0,-0.0,0.0,-0.0,15597.5938072582,-0.0,-0.0,582.173801304521,4472.547637295338,14755.289394706462,88.61080000000003,1793.0603600000002,0.0,31.11224902328858,647.59904,160.0890886670487,222.7472789210525,769.9795687672284,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.863789317453039,-0.0,20.77242258470733,-0.0,12.700719743841216,23.494005386959003,84.1829757380244,28.68129568526777,246.1166701337205,-0.0,-0.0,59129.844030078704
t4,1465.5800355186943,476.11789814570193,641.6898597420136,2448.8528023378553,-0.0,16045.168529801322,-0.0,-0.0,-0.0,-0.0,15597.5938072582,-0.0,-0.0,582.173801304521,4472.547637295338,16763.907996873848,177.22160000000002,1809.2497663941242,0.0,29.574358046577164,647.59904,148.6657286670487,175.2712789210525,968.4613336676878,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0581823135144024,0.8007386298573757,1.5854979965912115,0.1828737890805093,0.9694086294947386,1.793228417197227,6.425439249343327,-0.0,-0.0,-0.0,-0.0,62462.49084299906
t5,3050.3600355186945,223.47202791136797,529.1230395473185,3739.192802337855,-0.0,16045.168529801322,-0.0,-0.0,-0.0,-0.0,15597.5938072582,0.0,-0.0,582.173801304521,4472.547637295338,17625.993615066855,265.8324,2006.8730072955934,0.0,31.11224902328858,647.59904,160.0890886670487,222.7472789210525,1042.403865459418,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.6015860675152749,1.2119384504184385,2.399691876327418,0.27678416938602923,1.4672248202405043,2.7140971949503836,9.725067077747953,-0.0,-0.0,34.91725893509478,-0.0,66296.59587399954
t6,4635.140035518694,166.5264320636472,674.2070993071609,3739.192802337855,-0.0,16045.168529801322,-0.0,-0.0,-0.0,-0.0,15597.5938072582,-0.0,-0.0,582.173801304521,4472.547637295338,16061.24199445343,177.2216,2003.8604881970625,0.0,27.484859999999998,647.59904,160.0890886670487,270.2232789210525,991.7404000382846,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.729053624404499,2.821817423836291,5.58732363522352,0.6444505424725899,3.4162135552430493,6.319369397061317,22.643364205905844,-0.0,-0.0,155.8139754497436,-0.0,66452.9864629975
t7,2521.9760632323205,166.5264320636472,1684.569299307161,2018.6385298205341,-0.0,16045.168529801322,-0.0,-0.0,-0.0,-0.0,15597.5938072582,-0.0,-0.0,582.173801304521,4588.950816540541,10462.952519060847,455.41334771064396,1800.212209098531,0.0,27.50385,613.5958400000001,143.89040000000003,330.9592,816.473502082695,11.010903844530587,8.370534045076823,16.516355766795876,1.91005474854102,10.112054551099519,18.707300919534106,67.02045044145403,-0.0,-0.0,-0.0,-0.0,9.269947625170335,7.014675132469501,13.889367834357564,1.6020211499874912,8.492267455273497,15.709139431916176,56.2884906971333,-0.0,-0.0,480.3837830036115,-0.0,58582.89549392792
t8,4106.75606323232,69.39381062355656,337.3406618937661,2751.558133763678,-0.0,16045.168529801322,-0.0,-0.0,-0.0,-0.0,15597.5938072582,-0.0,-0.0,582.173801304521,4588.950816540541,4723.755443192923,177.2216,1800.12157,0.0,27.52284,613.75776,143.94532,270.2232789210525,565.6372992955588,26.045444318706856,19.799853079016945,39.06816647806028,4.5180872797756795,23.919285598812415,44.25067835780297,158.53170955212897,-0.0,-0.0,1116.2528762544744,-0.0,19.806299550807346,14.987652848010256,29.676217279984822,3.4229007612972424,18.144697239498,33.564366688448686,120.26677529257009,-0.0,-0.0,1101.051665016938,-0.0,55174.42741142377
