Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,4.703106099213452e7,8.141589662791848e6,3.891847064638428e7,3.7485434881913066e7,9.341193629142326e7,0.0,3.467332116542612e7,4.8005078173466e-13,1.774855758601098e7,0.0,9.44213655940038e7,2.4269853383326273e7,7.414358981844524e-12,0.0,3.976649287238238e7,4.105094661447859e7,6.512832096621953e6,1.8259140843440704e7,0.0,353388.99866834696,7.891130736941733e6,1.5983716776918545e6,3.305327687604133e6,7.256371660862983e6,37979.82226914165,30768.43047419087,55269.44262110275,5990.8460054205,32123.147321109736,60455.59832827054,235507.10550390973,72623.44147006609,610892.6627310788,2.5002302162100133e6,383937.3348170675,129360.2660029204,103226.45143274381,209832.1324763803,24361.892558822816,128036.3711088556,239241.02619696528,1.2298151582353732e6,415104.4423519072,4.668531798172355e6,1.013792782286122e7,2.654354050708897e6,5.460611628519647e8
t1,750.9987377838681,198.3697288195094,577.3643451606785,193.12919684435883,745.260903465873,-0.0,879.5337918362574,-0.0,-0.0,-0.0,2230.821777894161,836.3359042843832,-0.0,-0.0,1453.6000000000001,286.9130807283208,544.5750449738682,1790.1325412195124,0.0,30.20012177010106,770.2977760819247,155.52656397404357,523.8811584315833,596.4566607247239,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,86.31597851597755,255.9804290142406,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,478.1895524091924,1055.7790469837687,-0.0,14439.662340916346
t2,1648.7739119074638,406.2097288195094,577.3643451606783,1483.4691968443587,3943.398903465873,-0.0,1511.9091007681616,-0.0,641.4168392694531,0.0,2249.952783782225,1015.0786498083523,-0.0,-0.0,1551.552931453122,1611.7130807283206,452.39401255862714,1791.59942,0.0,34.878053416080846,859.4906368655398,175.85932317923488,124.82448052280557,793.8074024475416,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,478.1895524091924,1055.7790469837687,-0.0,22407.66140039031
t3,348.2721121215264,312.67881354986025,577.3643451606783,2773.8091968443587,7141.5369034658725,-0.0,2310.0992188931064,-0.0,757.8176267361214,-0.0,2119.322327938194,-0.0,-0.0,0.0,1734.3606804545013,2936.5130807283203,363.78321255862716,1996.6239387804878,0.0,34.32107506206063,881.6486176491549,173.45520238442617,77.34848052280557,923.3172790982901,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8546708131925052,0.646739155620503,1.2805722083572264,0.14770317744769804,0.7829702416159527,1.4483515458463594,5.189687370710865,-0.0,246.11667013372062,295.4254067992083,-0.0,26014.16488339411
t4,1323.5912398817886,520.5188135498603,577.3643451606783,4064.149196844359,10339.674903465871,-0.0,2866.61586517073,-0.0,-0.0,-0.0,2104.474623006244,859.1625691977895,0.0,-0.0,1816.3194011765424,4261.3130807283205,275.1724125586272,2147.2210190853657,0.0,39.036986708040416,836.85267843277,193.9252615896175,29.872480522805574,928.2788431839545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9128531267069082,1.4474777854778786,2.8660702049484374,0.33057696652820734,1.7523788711106913,3.2415799630435864,11.615126620054195,-0.0,18.994581736630217,-0.0,-0.0,33225.704365537866
t5,2439.9933820040014,243.3825548893522,1308.8056966717807,5354.489196844359,13537.81290346587,-0.0,1585.6061598594847,-0.0,641.4168392694531,-0.0,2117.041720460647,1718.325138395579,-0.0,-0.0,1714.1777612042972,4695.652173913043,553.4883159697622,2096.9388493902434,0.0,38.517988354020204,725.102819216385,191.65844079480877,0.0,808.7011741608899,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.4562568807077807,1.8586776060389414,3.680264084684644,0.42448734683372724,2.250195061856457,4.1624487407967425,14.91475444845882,-0.0,29.081054867678517,-0.0,-0.0,39829.939253901044
t6,326.8294097176275,118.76870047018326,577.3643451606783,6644.829196844359,15164.354201569,-0.0,304.5964545482393,-0.0,1282.8336785389063,-0.0,3436.344399752101,2030.1572996167047,-0.0,-0.0,431.79223658945784,4695.652173913043,97.95081255862719,1846.0209196951223,0.0,32.75775,680.7926400000001,166.68220000000002,0.0,564.5175079249617,4.587773286706772,3.487643978159739,6.881659930060157,0.7958382232042358,4.213261181669484,7.794533186088544,27.924558831842745,-0.0,-0.0,-0.0,-0.0,4.583724437597005,3.468556579456794,6.867895843580746,0.7921537199202879,4.199183796859002,7.767720942907676,27.83305157661671,-0.0,70.37987991506355,120.89671651464882,-0.0,38704.71807884338
t7,1339.6723232058068,118.76870047018326,1030.8640573846726,5600.205255148822,14549.669715510432,-0.0,1281.0097053112454,-0.0,757.8176267361214,-0.0,1003.0402466165369,1015.0786498083523,-0.0,-0.0,1182.479634833121,3130.4347826086955,376.14256026927114,1798.66063,0.0,27.50385,613.5958400000001,143.89040000000003,0.0,439.3701079249617,15.598677131237359,11.858178023236562,23.39801569685603,2.705892971745256,14.325315732769003,26.50183410562265,94.94500927329678,-0.0,191.56510242424648,-0.0,-0.0,10.124618438362841,7.661414288090003,15.16994004271479,1.7497243274351892,9.275237696889448,17.157490977762535,61.47817806784416,-0.0,181.38889096737066,445.4665240685167,-0.0,35538.57413006222
t8,1314.0153131758457,326.6087004701833,2041.2262573846726,6890.545255148822,13583.481690881748,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,452.74923707724633,1565.2173913043478,123.49235815735295,1800.12157,0.0,27.52284,613.75776,143.94532,209.0088,439.9484965084226,26.045444318706856,19.799853079016945,39.06816647806027,4.5180872797756795,23.91928559881242,44.25067835780297,158.53170955212897,-0.0,254.5876689316092,1116.2528762544744,-0.0,19.806299550807342,14.987652848010255,29.676217279984822,3.4229007612972424,18.144697239498,33.56436668844869,120.26677529257007,-0.0,390.1465403636304,1066.134406081843,-0.0,32914.76461606512
