Constraint,CapRes_1,CapRes_2,CapRes_3
t1,0.0,0.0,0.0
t2,0.0,0.0,0.0
t3,0.0,0.0,0.0
t4,0.0,0.0,0.0
t5,0.0,0.0,0.0
t6,0.0,0.0,0.0
t7,0.0,0.0,0.0
t8,0.0,-0.0,0.0
t9,0.0,-0.0,0.0
t10,0.0,0.0,0.0
t11,0.0,0.0,0.0
t12,0.0,0.0,0.0
t13,0.0,0.0,0.0
t14,0.0,0.0,0.0
t15,0.0,-0.0,0.0
t16,0.0,0.0,0.0
t17,0.0,-0.0,0.0
t18,0.3444433389712466,0.3444433389712466,0.0
t19,0.3444433389712466,0.3444433389712466,0.0
t20,0.3444433389712466,0.3444433389712466,0.0
t21,0.3444433389712466,0.3444433389712466,0.0
t22,0.3444433389712466,0.3444433389712466,0.0
t23,0.3444433389712466,0.3444433389712466,0.0
t24,0.0,0.0,0.0
t25,-0.0,0.0,0.0
t26,0.0,0.0,0.0
t27,0.0,-0.0,0.0
t28,-0.0,7.564759904173607e-17,0.0
t29,0.0,0.0,0.0
t30,-0.0,-0.0,0.0
t31,-0.0,0.0,0.0
t32,2.4562226948893278,2.4562226948893278,0.0
t33,5.901402995130049,5.901402995130049,0.0
t34,2.2962889264749777,-0.0,0.0
t35,2.2962889264749777,0.0,0.0
t36,-0.0,0.0,0.0
t37,-0.0,0.0,0.0
t38,-0.0,0.0,0.0
t39,2.2962889264749777,-0.0,0.0
t40,2.2962889264749777,0.0,0.0
t41,2.2962889264749777,-0.0,0.0
t42,2.2962889264749777,2.2962889264749777,0.0
t43,2.2962889264749777,2.2962889264749777,0.0
t44,2.2962889264749777,2.2962889264749777,0.0
t45,2.2962889264749764,2.296288926474975,0.0
t46,-0.0,2.296288926474975,0.0
t47,-0.0,2.2962889264749777,0.0
t48,7.564759904173607e-17,-3.514625755320471e-17,0.0
t49,0.0,0.0,0.0
t50,0.0,0.0,0.0
t51,0.0,0.0,0.0
t52,0.0,0.0,0.0
t53,0.0,0.0,0.0
t54,0.0,0.0,0.0
t55,-0.0,0.0,0.0
t56,-0.0,-0.0,0.0
t57,0.0,-0.0,0.0
t58,0.0,-0.0,0.0
t59,0.0,0.0,0.0
t60,0.0,0.0,0.0
t61,0.0,0.0,0.0
