Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,7.449550642547705e10,9.665621146513292e9,1.6765232843950856e8,3.2342614230156904e8,3.3146466451628184e9,4.821336206592595e7,1.6127680010534718e9,4.098535999472603e9,2.2757835585291295e9,6.95707023625335e7,1.0561111365660025e10,4.219722331066578e10
cFix,5.545269564989536e10,7.863925555574297e9,1.461563794e8,2.6278487652417156e8,3.1157160343735046e9,4.4718101800000004e7,1.5900252803317728e9,2.560649999046557e9,2.0818636142102327e9,2.1538636544969264e7,8.162969567887336e9,2.9602347604202534e10
cVar,3.8176642118489847e9,3.1786473320691156e8,1.10566092e6,1.2985062535657568e7,5.37426732946468e7,0.0,1.3957648049257393e6,3.339225775817585e8,3.6103108496092837e6,76372.83219938903,4.9775705931421596e8,2.595203996508964e9
cFuel,1.3073687591909147e10,1.164757511757595e9,0.0,3.2217224195770625e7,1.1061329736727437e8,0.0,0.0,1.1658482513534763e9,1.2607798962591758e7,0.0,1.5003914993172884e9,9.087252008955278e9
cNSE,1.9905051085731173e9,3.190733459744897e8,2.0390288119508557e7,1.5438979045969304e7,3.457464012739283e7,3.4952602659259443e6,2.1346955916773245e7,3.811517149081133e7,1.7770183450669596e8,4.795569298536485e7,3.999932391411856e8,9.124197009989994e8
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.5707603220339584e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
