Time,Weight
1,24.0
2,24.0
3,24.0
4,24.0
5,24.0
6,24.0
7,24.0
8,24.0
9,24.0
10,24.0
11,24.0
12,24.0
13,24.0
14,24.0
15,24.0
16,24.0
17,24.0
18,24.0
19,24.0
20,24.0
21,24.0
22,24.0
23,24.0
24,24.0
25,18.0
26,18.0
27,18.0
28,18.0
29,18.0
30,18.0
31,18.0
32,18.0
33,18.0
34,18.0
35,18.0
36,18.0
37,18.0
38,18.0
39,18.0
40,18.0
41,18.0
42,18.0
43,18.0
44,18.0
45,18.0
46,18.0
47,18.0
48,18.0
49,7.0
50,7.0
51,7.0
52,7.0
53,7.0
54,7.0
55,7.0
56,7.0
57,7.0
58,7.0
59,7.0
60,7.0
61,7.0
62,7.0
63,7.0
64,7.0
65,7.0
66,7.0
67,7.0
68,7.0
69,7.0
70,7.0
71,7.0
72,7.0
73,27.0
74,27.0
75,27.0
76,27.0
77,27.0
78,27.0
79,27.0
80,27.0
81,27.0
82,27.0
83,27.0
84,27.0
85,27.0
86,27.0
87,27.0
88,27.0
89,27.0
90,27.0
91,27.0
92,27.0
93,27.0
94,27.0
95,27.0
96,27.0
97,6.0
98,6.0
99,6.0
100,6.0
101,6.0
102,6.0
103,6.0
104,6.0
105,6.0
106,6.0
107,6.0
108,6.0
109,6.0
110,6.0
111,6.0
112,6.0
113,6.0
114,6.0
115,6.0
116,6.0
117,6.0
118,6.0
119,6.0
120,6.0
121,13.0
122,13.0
123,13.0
124,13.0
125,13.0
126,13.0
127,13.0
128,13.0
129,13.0
130,13.0
131,13.0
132,13.0
133,13.0
134,13.0
135,13.0
136,13.0
137,13.0
138,13.0
139,13.0
140,13.0
141,13.0
142,13.0
143,13.0
144,13.0
145,6.0
146,6.0
147,6.0
148,6.0
149,6.0
150,6.0
151,6.0
152,6.0
153,6.0
154,6.0
155,6.0
156,6.0
157,6.0
158,6.0
159,6.0
160,6.0
161,6.0
162,6.0
163,6.0
164,6.0
165,6.0
166,6.0
167,6.0
168,6.0
169,19.0
170,19.0
171,19.0
172,19.0
173,19.0
174,19.0
175,19.0
176,19.0
177,19.0
178,19.0
179,19.0
180,19.0
181,19.0
182,19.0
183,19.0
184,19.0
185,19.0
186,19.0
187,19.0
188,19.0
189,19.0
190,19.0
191,19.0
192,19.0
193,11.0
194,11.0
195,11.0
196,11.0
197,11.0
198,11.0
199,11.0
200,11.0
201,11.0
202,11.0
203,11.0
204,11.0
205,11.0
206,11.0
207,11.0
208,11.0
209,11.0
210,11.0
211,11.0
212,11.0
213,11.0
214,11.0
215,11.0
216,11.0
217,9.0
218,9.0
219,9.0
220,9.0
221,9.0
222,9.0
223,9.0
224,9.0
225,9.0
226,9.0
227,9.0
228,9.0
229,9.0
230,9.0
231,9.0
232,9.0
233,9.0
234,9.0
235,9.0
236,9.0
237,9.0
238,9.0
239,9.0
240,9.0
241,12.0
242,12.0
243,12.0
244,12.0
245,12.0
246,12.0
247,12.0
248,12.0
249,12.0
250,12.0
251,12.0
252,12.0
253,12.0
254,12.0
255,12.0
256,12.0
257,12.0
258,12.0
259,12.0
260,12.0
261,12.0
262,12.0
263,12.0
264,12.0
265,16.0
266,16.0
267,16.0
268,16.0
269,16.0
270,16.0
271,16.0
272,16.0
273,16.0
274,16.0
275,16.0
276,16.0
277,16.0
278,16.0
279,16.0
280,16.0
281,16.0
282,16.0
283,16.0
284,16.0
285,16.0
286,16.0
287,16.0
288,16.0
289,15.0
290,15.0
291,15.0
292,15.0
293,15.0
294,15.0
295,15.0
296,15.0
297,15.0
298,15.0
299,15.0
300,15.0
301,15.0
302,15.0
303,15.0
304,15.0
305,15.0
306,15.0
307,15.0
308,15.0
309,15.0
310,15.0
311,15.0
312,15.0
313,10.0
314,10.0
315,10.0
316,10.0
317,10.0
318,10.0
319,10.0
320,10.0
321,10.0
322,10.0
323,10.0
324,10.0
325,10.0
326,10.0
327,10.0
328,10.0
329,10.0
330,10.0
331,10.0
332,10.0
333,10.0
334,10.0
335,10.0
336,10.0
337,44.0
338,44.0
339,44.0
340,44.0
341,44.0
342,44.0
343,44.0
344,44.0
345,44.0
346,44.0
347,44.0
348,44.0
349,44.0
350,44.0
351,44.0
352,44.0
353,44.0
354,44.0
355,44.0
356,44.0
357,44.0
358,44.0
359,44.0
360,44.0
361,13.0
362,13.0
363,13.0
364,13.0
365,13.0
366,13.0
367,13.0
368,13.0
369,13.0
370,13.0
371,13.0
372,13.0
373,13.0
374,13.0
375,13.0
376,13.0
377,13.0
378,13.0
379,13.0
380,13.0
381,13.0
382,13.0
383,13.0
384,13.0
385,12.0
386,12.0
387,12.0
388,12.0
389,12.0
390,12.0
391,12.0
392,12.0
393,12.0
394,12.0
395,12.0
396,12.0
397,12.0
398,12.0
399,12.0
400,12.0
401,12.0
402,12.0
403,12.0
404,12.0
405,12.0
406,12.0
407,12.0
408,12.0
409,23.0
410,23.0
411,23.0
412,23.0
413,23.0
414,23.0
415,23.0
416,23.0
417,23.0
418,23.0
419,23.0
420,23.0
421,23.0
422,23.0
423,23.0
424,23.0
425,23.0
426,23.0
427,23.0
428,23.0
429,23.0
430,23.0
431,23.0
432,23.0
433,19.0
434,19.0
435,19.0
436,19.0
437,19.0
438,19.0
439,19.0
440,19.0
441,19.0
442,19.0
443,19.0
444,19.0
445,19.0
446,19.0
447,19.0
448,19.0
449,19.0
450,19.0
451,19.0
452,19.0
453,19.0
454,19.0
455,19.0
456,19.0
457,16.0
458,16.0
459,16.0
460,16.0
461,16.0
462,16.0
463,16.0
464,16.0
465,16.0
466,16.0
467,16.0
468,16.0
469,16.0
470,16.0
471,16.0
472,16.0
473,16.0
474,16.0
475,16.0
476,16.0
477,16.0
478,16.0
479,16.0
480,16.0
481,9.0
482,9.0
483,9.0
484,9.0
485,9.0
486,9.0
487,9.0
488,9.0
489,9.0
490,9.0
491,9.0
492,9.0
493,9.0
494,9.0
495,9.0
496,9.0
497,9.0
498,9.0
499,9.0
500,9.0
501,9.0
502,9.0
503,9.0
504,9.0
505,14.0
506,14.0
507,14.0
508,14.0
509,14.0
510,14.0
511,14.0
512,14.0
513,14.0
514,14.0
515,14.0
516,14.0
517,14.0
518,14.0
519,14.0
520,14.0
521,14.0
522,14.0
523,14.0
524,14.0
525,14.0
526,14.0
527,14.0
528,14.0
529,13.0
530,13.0
531,13.0
532,13.0
533,13.0
534,13.0
