Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1.3951289332401332e8,0.0,0.0,1.3951289332401332e8
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,5.583818235518539e8,0.0,5.583818235518539e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,9.59180092103327e6,0.0,9.59180092103327e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,2.5465353379270932e8,0.0,2.5465353379270932e8
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,4.273644107757045e7,0.0,4.273644107757045e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,7.4381373195078e7,7.4381373195078e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,1.3163127504878941e8,1.3163127504878941e8
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,-8.781351381305139e-7,0.0,0.0,-8.781351381305139e-7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_nuclear_1,1,1,1.6199008362846992e9,0.0,0.0,1.6199008362846992e9
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,0.0,0.0,0.0
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,0.0,0.0,0.0
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,1.5528704579139477e7,0.0,1.5528704579139477e7
