Constraint,CapRes_1,CapRes_2,CapRes_3
t1,230.80758995969154,218.2716072730486,197.89890772196208
t2,229.3119896879254,218.2716072730486,197.89890772196208
t3,229.3119896879254,218.2716072730486,197.89890772196208
t4,229.3119896879254,218.2716072730486,197.89890772196208
t5,229.3119896879254,218.2716072730486,197.89890772196208
t6,229.3119896879254,218.2716072730486,197.89890772196208
t7,271.86137190174594,237.51428948207257,236.10879804977603
t8,273.2225527354605,258.2852579090395,236.10879804977603
t9,270.66133092668235,260.17862266117316,236.10879804977603
t10,230.90742365440047,233.04411134642802,236.10879804977603
t11,230.84462580932592,232.98131350135347,218.1184701061323
t12,230.84462580932592,232.98131350135347,218.01963934301472
t13,230.88771768928376,233.02440538131128,218.01963934301472
t14,230.9074236544005,233.04411134642805,218.01963934301472
t15,230.96403179318855,233.04411134642802,218.01963934301472
t16,231.9809293983056,219.1312119692158,197.89890772196208
t17,273.2698696953394,260.17862266117316,236.10879804977603
t18,307.8108926514701,261.00265127647384,236.10879804977603
t19,307.8108926514701,261.00265127647384,236.10879804977603
t20,273.4665294083048,260.17862266117316,236.10879804977603
t21,273.2698696953394,260.17862266117316,236.10879804977603
t22,273.2698696953394,260.17862266117316,236.10879804977608
t23,235.88400798282615,222.79276094865986,197.89890772196208
t24,230.9785697637149,218.2716072730486,197.89890772196208
t25,8.390869353668641,0.0,0.0
t26,8.390869353668641,0.0,0.0
t27,8.390869353668641,0.0,0.0
t28,8.390869353668641,0.0,0.0
t29,8.390869353668641,0.0,0.0
t30,8.390869353668641,0.0,0.0
t31,8.390869353668641,0.0,0.0
t32,12.209886934117511,0.0,0.0
t33,12.209886934117511,6.834955374645504,0.0
t34,9.156877965563034,0.019853979305765563,0.0
t35,9.156877965563034,0.0,0.0
t36,0.0,0.0,0.0
t37,0.0,0.0,0.0
t38,0.0,0.0,0.0
t39,9.156877965563034,0.0,0.0
t40,9.156877965563034,0.0,0.0
t41,9.156877965563034,0.0,0.0
t42,12.209886934117511,0.0,0.0
t43,12.209886934117511,0.0,0.0
t44,12.209886934117511,0.0,0.0
t45,12.209886934117511,0.0,0.0
t46,12.209886934117511,0.0,0.0
t47,12.209886934117511,0.0,0.0
t48,12.209886934117511,0.0,0.0
t49,0.0,0.0,0.0
t50,0.0,0.0,0.0
t51,0.0,0.0,0.0
t52,0.0,0.0,0.0
t53,0.0,0.0,0.0
t54,0.0,0.0,0.0
t55,0.0,0.0,0.0
t56,-0.0,0.0,0.0
t57,-0.0,0.0,0.0
t58,0.0,1.9077812853664486,0.0
t59,0.0,1.9042399757631678,0.0
t60,0.0,1.9042399757631678,0.0
t61,0.0,0.0,0.0
t62,0.0,0.0,0.0
t63,0.0,0.0,0.0
t64,0.0,1.9042399757631678,0.0
t65,0.0,1.9042399757631678,0.0
t66,0.055959831380362826,0.0,0.0
t67,0.0719685388258652,0.0,0.0
t68,0.07226082727596995,0.0,0.0
t69,0.07309663330952985,0.0,0.0
t70,0.07196853882586653,0.0,0.0
t71,0.07042664242473189,0.0,0.0
t72,0.0691979460461878,0.0,0.0
t73,0.0,0.0,0.0
t74,0.0,0.0,0.0
t75,0.0,0.0,0.0
t76,0.0,0.0,0.0
t77,0.0,0.0,0.0
t78,0.0,0.0,0.0
t79,0.0,0.0,0.0
t80,-0.0,0.0,0.0
t81,0.0,0.019853979305765445,0.0
t82,0.0,0.0,0.0
t83,0.0,0.0,0.0
t84,0.0,0.0,0.0
t85,0.0,0.0,0.0
t86,0.0,0.0,0.0
t87,0.0,0.0,0.0
t88,0.0,0.0,0.0
t89,0.0,1.9077812853664478,0.0
t90,11.996867495140046,0.0,0.0
t91,11.996867495140046,0.0,0.0
t92,11.996867495140046,0.0,0.0
t93,11.996867495140046,0.0,0.0
t94,11.996867495140046,0.0,0.0
t95,11.996867495140046,0.0,0.0
t96,11.996867495140046,0.0,0.0
t97,0.0,0.0,0.0
t98,0.0,0.0,0.0
t99,0.0,0.0,0.0
t100,0.0,0.0,0.0
t101,0.0,0.0,0.0
t102,0.0,0.0,0.0
t103,0.0,0.0,0.0
t104,-0.0,0.0,0.0
t105,0.0,0.01985397930576562,0.0
t106,0.0,0.0,0.0
t107,0.0,0.0,0.0
t108,0.0,0.0,0.0
t109,0.0,0.0,0.0
t110,0.0,0.0,0.0
t111,0.0,0.0,0.0
t112,0.0,0.0,0.0
t113,0.0,0.0,0.0
t114,0.0,-0.0,0.0
t115,-0.0,0.0,0.0
t116,-0.0,0.0,0.0
t117,-0.0,0.0,0.0
t118,-0.0,0.0,0.0
t119,-0.0,0.0,0.0
t120,0.0,0.0,0.0
t121,0.0,0.0,0.0
t122,0.0,0.0,0.0
t123,0.0,0.0,0.0
t124,-0.0,0.0,0.0
t125,0.0,0.0,0.0
t126,0.0,0.0,0.0
t127,-0.0,0.0,0.0
t128,2.2962889264749773,0.0,0.0
t129,-0.0,0.01985397930576616,0.0
t130,-0.0,0.0,0.0
t131,-0.0,0.0,0.0
t132,0.0,0.0,0.0
t133,0.0,0.0,0.0
t134,0.0,-6.799452016843064e-16,0.0
t135,0.0,-6.799452016843064e-16,0.0
t136,0.0,-6.799452016843064e-16,0.0
t137,0.0,0.0,0.0
t138,2.2962889264749773,0.0,0.0
t139,2.2962889264749773,0.0,0.0
t140,2.2962889264749773,0.0,0.0
t141,2.2962889264749773,0.0,0.0
t142,2.2962889264749773,0.0,0.0
t143,2.2962889264749773,0.0,0.0
t144,2.2962889264749773,0.0,0.0
t145,0.0,0.0,0.0
t146,0.0,0.0,0.0
t147,0.0,0.0,0.0
t148,0.0,0.0,0.0
t149,0.0,0.0,0.0
t150,0.0,0.0,0.0
t151,0.0,0.0,0.0
t152,0.0,0.01985397930576707,0.0
t153,0.0,0.0,0.0
t154,0.0,0.0,0.0
t155,0.0,0.0,0.0
t156,0.0,0.0,0.0
t157,0.0,0.0,0.0
t158,0.0,0.0,0.0
t159,0.0,0.0,0.0
t160,0.0,0.0,0.0
t161,0.0,0.0,0.0
t162,-0.0,1.9077812853664484,0.0
t163,12.180765685076608,0.0,0.0
t164,12.305532148366424,0.0,0.0
t165,12.305532148366424,0.0,0.0
t166,12.305532148366423,0.0,0.0
t167,12.305532148366424,0.0,0.0
t168,12.180765685076608,0.0,0.0
t169,0.0,0.0,0.0
t170,0.0,0.0,0.0
t171,0.0,0.0,0.0
t172,0.0,0.0,0.0
t173,0.0,0.0,0.0
t174,0.0,0.0,0.0
t175,0.0,0.0,0.0
t176,0.0,0.01985397930576456,0.0
t177,0.0,3.939181544554489e-15,0.0
t178,0.0,0.0,0.0
t179,0.0,0.0,0.0
t180,0.0,0.0,0.0
t181,0.0,0.0,0.0
t182,0.0,0.0,0.0
t183,0.0,0.0,0.0
t184,0.0,0.0,0.0
t185,0.0,0.0,0.0
t186,0.0,0.0,0.0
t187,0.0,0.0,0.0
t188,0.0,0.0,0.0
t189,-0.0,0.0,0.0
t190,0.0,0.0,0.0
t191,0.0,0.0,0.0
t192,0.0,0.0,0.0
t193,0.0,0.0,0.0
t194,0.0,0.0,0.0
t195,0.0,0.0,0.0
t196,0.0,0.0,0.0
t197,0.0,0.0,0.0
t198,0.0,0.0,0.0
t199,0.0,0.0,0.0
t200,0.0,0.019853979305767388,0.0
t201,0.0,0.0,0.0
t202,0.0,0.0,0.0
t203,0.0,0.0,0.0
t204,0.0,0.0,0.0
t205,0.0,0.0,0.0
t206,0.0,0.0,0.0
