Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,7.517050935480704e10,9.26799555733267e9,1.5827958827956358e8,4.606408593776317e8,1.249274824512898e9,5.3470803316943824e7,3.0430398907637625e9,4.80600774734211e9,2.2158924092399163e9,3.051609610136586e7,1.0739169930586657e10,4.301229549327371e10
cFix,5.661230424568126e10,7.791099063981615e9,1.4820522581891143e8,3.5477813847160137e8,1.068580226965578e9,5.045594388296e7,3.029947827102106e9,3.0892462991290765e9,2.1191536902730207e9,7.324831159951846e6,8.561811467944204e9,3.0391701530952232e10
cVar,4.0144567691954174e9,2.9212157971294403e8,1.1873935753689702e6,2.5116757800282016e7,5.356312520754614e7,167426.45681760513,4.746973053472583e6,3.793535555078188e8,3.292592668881142e6,167426.45681760286,5.016730147372828e8,2.753066924018289e9
cFuel,1.3849424098147158e10,1.0596279610884408e9,1.597248398039963e6,7.522603354849307e7,1.161990465070213e8,1.59724839803996e6,1.597248398039987e6,1.319418479927131e9,1.1823848058672464e7,1.5972483980399445e6,1.5255087305968702e9,9.735231004828287e9
cNSE,5.603980871033746e8,1.2514695254966862e8,7.289720487243212e6,5.519929557255248e6,1.093242583275269e7,1.2501845791262635e6,6.747842210144183e6,1.798941277808402e7,8.162227823934221e7,2.142659008655647e7,1.501767173083008e8,1.322960334749008e8
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.2718030549316353e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
