Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,-0.0,474.67348436676866,976.1388297888257,984.3015539182753,-0.0,1039.6327897916933,-515.3093154877522,826.0908724420594,2150.0,-0.0,68.98620059971866,6591.653072413757,503.74660644432896,-0.0,-596.0427285663621,-0.0
t2,-0.0,337.6551741084876,580.1798608703102,976.1388297888257,1188.8200184293432,-0.0,1100.2185480767002,-566.8710831836215,393.52388296046234,2150.0,-0.0,-0.0,6211.400055741868,1001.2990604529956,-0.0,-0.0,-0.0
t3,-0.0,-0.0,440.62296153447073,976.1388297888257,1154.669485158462,-0.0,1000.7670900782629,-517.6282788550931,646.3633524341118,2150.0,-0.0,-0.0,6083.188840495452,1036.2964390398017,-0.0,85.69507032524086,-0.0
t4,-0.0,650.9359214326707,4.945573388552048,976.1388297888257,975.7345801654455,-0.0,839.8404731357947,-480.04318956838716,-0.0,2150.0,-0.0,-0.0,5755.217150636467,1023.7150385847533,-0.0,179.36479741136628,-0.0
t5,-0.0,26.350861962671573,-0.0,976.1388297888257,997.5174709827199,-0.0,1010.1851244344076,-547.8346713823901,620.3494071755922,1866.714154890889,-0.0,-0.0,5590.822721532111,900.1219726932185,-0.0,52.68162450062826,-0.0
t6,-0.0,634.2905034382048,323.45076439944506,976.1388297888257,179.3310736280868,1000.0,335.9256315625823,-612.4823043169223,-0.0,1285.9074784355628,1263.3487782807977,-0.0,5015.931971097173,1211.731535966678,-0.0,353.36463379759726,-0.0
t7,-0.0,-0.0,-0.0,597.6631458960553,342.95682610871756,1000.0,469.08774247788824,-672.7012725879913,644.3661559004504,2025.3953104891837,35.06264149951496,-0.0,5708.394125050334,1118.1813063673326,-0.0,-191.7990246125606,-0.0
t8,-0.0,-0.0,-0.0,976.1388297888257,1387.3036086577881,-0.0,1275.0041729066613,-653.7814110152646,1058.786261534951,2150.0,-0.0,327.62005507235676,6457.658060569086,380.41453148589403,-0.0,-771.4765104696656,-0.0
t9,-0.0,905.357870152063,600.0,976.1388297888257,57.38316793190383,1000.0,-281.32901822829245,-597.337762404486,-359.79261515331655,-0.0,1510.0,3874.8194304041617,7331.990039434293,1300.142316470058,-0.0,-33.85902186097765,300.0
t10,-0.0,-537.5077380314792,600.0,976.1388297888257,-238.6105018085871,1000.0,-655.1157845010853,-514.2767338237958,-1427.3038291368819,803.0549994407016,1510.0,5525.043592240441,8260.147315057635,2580.0,222.91285373978604,1320.0,300.0
t11,-0.0,-1219.5565818045754,600.0,976.1388297888257,124.37305366690164,465.4711092606809,-275.7658882568328,-438.2445478499448,1429.5395640609484,195.2045486869669,-0.0,5525.043592240441,7712.561584448867,1833.8394216121105,-350.0,-0.0,-0.0
t12,-0.0,-1600.0,360.93344382614885,288.15658262843425,1051.5747288711996,-666.8040163189182,644.4659941024013,-375.9322886117648,1411.719951518683,903.2323803090894,-0.0,5525.043592240441,7743.324737041614,2580.0,-350.0,-0.0,-0.0
t13,-0.0,-1600.0,-600.0,555.4656980299255,1342.9384884239355,-1000.0,891.7203529491817,-299.38334973270594,303.75661686533317,2150.0,-0.0,4422.912361113103,8142.675405389848,1206.1461037816016,-350.0,-1204.0330871591623,-0.0
t14,-0.0,-1600.0,-600.0,834.7347116001658,1580.709281981903,-1000.0,1164.6418316945405,-306.0176351278148,1132.6829713996415,2150.0,-975.0665769045833,4017.999066570759,8219.528853842687,739.7123917335044,-350.0,-1320.0,-0.0
t15,-0.0,-1600.0,-600.0,-976.1388297888257,1710.8995780675573,-1000.0,1276.6786465313971,-369.3824566648795,176.0689655859199,2150.0,-0.0,5525.043592240441,8689.903409850036,1870.2380304435492,350.0,-1320.0,-0.0
t16,-0.0,-1600.0,-304.00086136015085,-0.0,1713.7295430873544,-1000.0,1281.2436044000278,-446.1857768496233,1271.3398556657974,2150.0,-1176.3264854828656,4838.8727900138865,8070.664056894943,2565.270115359696,-0.0,-0.0,-132.86297799857005
t17,-0.0,-1072.4118925821592,-0.0,-0.0,962.6117052930542,-0.0,704.37506546091,-518.009290566461,-0.0,2035.3222907388642,-0.0,2827.1075285272154,7341.710430061759,2152.489702924405,-0.0,-347.7158220686163,-0.0
t18,-0.0,-1600.0,-600.0,-976.1388297888257,1807.8558095635099,-797.1793941416475,1321.301827012359,-568.8506145604325,789.921303496868,2150.0,-21.838967261816585,3549.532233053906,7397.867895111278,2259.554844822395,-0.0,-1320.0,-0.0
t19,-0.0,-1600.0,-600.0,-976.1388297888257,1726.664638116597,-764.528919772118,1321.301827012359,-602.5093817395067,616.5832051278461,2150.0,-0.0,2880.0074367181674,6524.372649040786,2352.4792582724303,-0.0,-1320.0,-0.0
t20,-0.0,-1600.0,-596.5726258166857,-0.0,790.4274491697995,-0.0,579.7191050941274,-605.1634992524347,-0.0,2150.0,-0.0,1487.7116961550917,4948.752327057203,2580.0,-0.0,-110.94398322838923,-0.0
t21,-0.0,-1600.0,-0.0,-0.0,711.3386934984461,-0.0,562.7721408548871,-598.1345123752718,26.51592149011491,2150.0,-0.0,1116.9486951343579,4713.978595851249,2399.2343195116837,-0.0,-330.68890973593307,-0.0
t22,-0.0,-1600.0,-0.0,-0.0,728.5451850729991,-0.0,592.9891014484341,-531.9770280533263,26.20786575702519,2150.0,-0.0,-0.0,5075.828492734312,1225.0429877696138,-0.0,-1320.0,38.00661572518146
t23,-0.0,-950.6380826179694,-0.0,-0.0,1611.048922469794,-900.1893638768088,1321.301827012359,-485.43708048917284,1889.5827795922696,1342.0467561422035,-343.26807608200113,-0.0,4142.161689209649,1222.3781452909827,-0.0,-1320.0,300.0
t24,-0.0,739.0076235163855,-0.0,969.0226548589387,-113.19335089614277,1000.0,-116.57791428703786,-486.78600819247106,175.51709509922327,-0.0,1158.8740338913644,-0.0,3088.43730490233,1045.9785299627326,-0.0,-417.4555142557694,-0.0
t25,-0.0,-0.0,-0.0,367.34512260476805,193.40036073676953,1000.0,-43.263434178699306,-542.8953470072857,-1015.2429883580825,-0.0,1510.0,4170.290267115587,5775.402900612141,2580.0,-0.0,820.1751927933817,-0.0
t26,-0.0,-0.0,-0.0,133.2657285233257,201.36316528289422,1000.0,-0.0,-622.9681601953812,-0.0,-0.0,751.8969806946155,3030.941661174283,5385.594586963232,2580.0,-0.0,667.5806586396728,-0.0
t27,-0.0,-0.0,-0.0,-0.0,347.6665692194529,1000.0,160.15076452572185,-675.6125290027776,-0.0,-0.0,1013.7697505039791,3520.6472472037317,5322.752845969165,2580.0,350.0,1045.40092191424,-0.0
t28,-0.0,-0.0,-0.0,-0.0,213.35289978202172,1000.0,77.48166378301391,-669.0430077864243,-0.0,-0.0,961.9359739977328,1920.8660988313948,4380.899377527421,2580.0,-0.0,746.9315826022032,-0.0
t29,-0.0,-0.0,-0.0,-0.0,129.07237883489864,1000.0,-0.0,-604.4542415573643,-452.434558516939,-0.0,1284.5949230660915,1338.2069145099313,3830.6954895112353,2580.0,-0.0,756.191057811379,-0.0
t30,-0.0,-0.0,-285.74988812992297,-0.0,131.17708342876062,1000.0,-0.0,-534.8292117671404,-0.0,-776.6813639769083,1510.0,-0.0,808.595633013823,2580.0,350.0,1100.8951597597506,-0.0
t31,-0.0,-0.0,-351.039412133292,-0.0,170.4907639708136,1000.0,-0.0,-535.5487435444481,-0.0,-838.5899649249067,1510.0,-0.0,604.2624171852133,2580.0,350.0,1023.2296325982232,-0.0
t32,-0.0,-1600.0,-0.0,455.08578293440627,253.42939878525874,1000.0,-0.0,-582.4372200800498,-411.6373971372857,-539.0698500732445,1510.0,-0.0,1079.4324909579632,2580.0,350.0,1320.0,-0.0
t33,-0.0,-1600.0,-600.0,-976.1388297888257,-421.03362093037197,1000.0,-796.8220459715785,-510.97979432309836,-3250.0,1591.0763834429376,1510.0,-1629.2843062399552,2016.4404618612173,1550.807200028279,350.0,-1320.0,300.0
t34,-0.0,-1600.0,-600.0,-976.1388297888257,-461.29737865931895,1000.0,-835.0411874287183,-501.8609786775356,-2875.482346218059,2150.0,1510.0,1514.6821591701892,4308.3503647632415,2580.0,350.0,-226.97112448190128,-243.50121610727118
t35,-0.0,-1600.0,-600.0,-976.1388297888257,-668.2124015481205,1000.0,-1048.7527984180774,-436.19548421478515,-2551.613565092369,2150.0,1510.0,5525.043592240441,7727.166747604177,2580.0,350.0,-230.83891570575307,-300.0
t36,-0.0,-1600.0,-600.0,-976.1388297888257,-846.7922205758952,1000.0,-1242.8485580627048,-369.6850569171505,-2508.923852406914,2150.0,1510.0,5525.043592240441,7783.707678040021,2580.0,350.0,-246.37824757788817,300.0
t37,-0.0,-1600.0,-600.0,-976.1388297888257,-951.7898902932003,1000.0,-1321.301827012359,-307.05257173561154,-3250.0,444.76429435157416,1510.0,5525.043592240441,6963.70773397129,2580.0,350.0,-202.10395918234136,300.0
t38,-0.0,-1600.0,-600.0,-976.1388297888257,-725.9568170447557,1000.0,-1076.3134434618814,-363.29104001698767,-3250.0,683.456371118185,1510.0,5525.043592240441,6554.804662533613,2580.0,350.0,-78.42744190328258,300.0
t39,-0.0,-1600.0,-600.0,-976.1388297888257,-450.02967690486605,1000.0,-839.264481927603,-434.27873052452213,-1663.3906970007274,1414.9176377110507,1510.0,5525.043592240441,7086.423716247224,2580.0,350.0,-38.104789950148344,300.0
t40,-0.0,-1600.0,-600.0,-976.1388297888257,-681.2438646420502,1000.0,-1027.1237688717238,-396.65521699442377,-3250.0,2150.0,1510.0,3951.578825209297,6187.089183762444,2580.0,350.0,-328.42290716240836,300.0
t41,-0.0,-1600.0,-600.0,-976.1388297888257,-442.320529887896,1000.0,-828.1063950590407,-452.13218776302097,-3250.0,1753.6063699747742,1510.0,242.62469442162728,2997.181887708881,2580.0,350.0,-600.6753708367214,-300.0
t42,-0.0,-0.0,-0.0,976.1388297888257,129.7728303109057,1000.0,-200.89557024080094,-528.377455305916,-0.0,-0.0,174.02121374539928,108.68318633228512,2135.083319038613,2580.0,45.733843554806846,1253.8470207311464,-0.0
