Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.9248527585765168e8,2.2328857077404644e7,1.0835698895532846e8,1.452726561765631e8,3.6988168212208575e8,1.589891113360658e8,0.0,0.0,0.0,0.0,1.385336160717332e8,1.2386099100177847e7,7.029792709687795e6,0.0,1.3837937784106323e8,7.174178176874305e8,4.2794272424951745e6,1.7989129721433192e7,0.0,317859.1892399818,7.527170310052462e6,1.4260718744281214e6,2.465529820278356e6,5.399311355004664e6,47863.86512853442,40569.784287359274,74020.20468115452,8638.24718296593,46217.24914109056,83354.77847850634,284135.19774288125,103981.5604541207,902222.8672474086,3.861889094628609e6,597403.9291908548,267122.3425449925,182919.11201455144,375090.7761830355,43863.15227718266,244353.7415138994,462032.6850894425,1.7106223970171039e6,578502.0029089026,5.593875422911943e6,1.6554460143082079e7,3.7819301238446794e6,2.0863108431256752e9
t1,26805.516387586496,3720.0,18083.8,23095.0,57241.5,1280.3323303273366,-0.0,-0.0,-0.0,-0.0,8657.323301169345,-0.0,505.59812974497794,-0.0,20452.886389263047,112710.29826666992,1067.6,3047.935328913133,0.0,63.26202,1303.4824875981365,274.6,570.5699999999999,1507.8,10.23717164274641,7.782339667189872,15.355757464119613,1.775835897211112,9.401484161705886,6.80748754244239,24.388386300702017,8.299819646341174,62.98899635682009,740.0258105713431,-0.0,49.38666926894933,37.37145610787945,73.99714036438216,8.534944521311719,45.24349231685628,73.1169759898885,261.99043178951126,89.26062514409165,801.5918626137006,2728.850905332638,1.1446623147234405,285445.056896287
t2,26805.516387586496,3720.0,18083.8,23095.0,57241.5,1505.9263236803445,-0.0,-0.0,-0.0,-0.0,8657.323301169345,-0.0,505.59812974497794,-0.0,20452.886389263047,112710.29826666992,978.8899154974342,2847.2995689131326,0.0,57.97014,1246.4056875981364,252.79676000000006,521.7212,1382.380983238897,-0.0,-0.0,-0.0,-0.0,-0.0,12.046177072706913,43.15642416738543,14.686930605162186,-0.0,526.7592835666898,41.55644121420276,-0.0,-0.0,-0.0,-0.0,-0.0,46.88093062176611,167.98226526749647,57.23186876894818,399.87970024506416,1259.1467495594873,28.384938983124588,282663.0247634337
t3,26805.516387586496,3720.0,18083.8,23095.0,57241.5,2594.373124693326,-0.0,-0.0,-0.0,-0.0,8657.323301169345,-0.0,505.59812974497794,-0.0,20452.886389263047,113350.78859787852,978.5840916603213,2785.0088786414162,0.0,57.93849,1256.7685675981365,244.05349600000005,504.3838799999999,1367.9915645694139,1.0957959803721162,0.8330285769155373,1.643693970558174,0.1900870578196528,1.0063432472805147,1.861735007468953,6.6698194111425195,2.269863102199384,18.145219050319046,-0.0,56.389515827751744,0.8334010597844927,0.6306440905416213,1.2487032657509263,0.14402736435872945,0.7634848634938475,9.705930852108274,34.777983914633495,11.848923505593575,266.4324460328957,-0.0,40.81872117905844,282158.824266165
t4,26805.516387586496,3720.0,18083.8,23095.0,57241.5,3051.809137124723,-0.0,-0.0,-0.0,-0.0,8657.323301169345,-0.0,505.59812974497794,-0.0,20452.886389263047,115694.06981939924,1014.5796768729239,2924.8148883696995,0.0,60.461628,1309.3116075981366,258.04711199999997,534.5797599999999,1478.4779291388281,2.613966942118792,1.9871483386515303,3.920950413178187,0.45344324506142303,2.400581885619298,4.441076488395703,15.910523275243456,5.41464580867464,43.79083960330331,115.87557229281357,35.50464856369965,1.0338819130566959,0.7823502395781372,1.54908816838864,0.32270158758832623,0.9471468532365034,11.457979060476164,41.05586754441904,13.987810080759525,123.3468468164993,59.558457151688806,56.32732539981578,285430.4586179396
t5,26805.516387586496,3720.0,18083.8,23095.0,57241.5,4061.1967586490878,-0.0,-0.0,-0.0,-0.0,8657.323301169345,-0.0,505.59812974497794,-0.0,20452.886389263047,116758.84271501985,1067.6,3047.935328913133,0.0,63.3,1294.9007275981367,274.6,572.0,1507.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,34.42557501939214,1.5659863731407309,1.1849997555142107,2.3463520657964305,0.2706318732105626,1.4346116774074482,2.6537688538123128,9.508900477175011,3.239699996782754,10.471615932627174,-0.0,63.18875125285349,287340.09063122177
t6,26805.516387586496,3720.0,18083.8,23095.0,57241.5,4061.1967586490878,-0.0,-0.0,-0.0,-0.0,8657.323301169345,-0.0,505.59812974497794,-0.0,20452.886389263047,116758.84271501985,1031.796003127076,2968.959069456567,0.0,60.88447199999999,1213.6168875981366,268.30616800000007,562.00144,1411.6044500495332,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.35498028101765,3.6244895175703356,2.7426925711815797,5.430652918104546,0.6263798998485648,3.3204216050224886,6.142171833466509,22.008435510213165,7.498314723429907,53.518746705141815,126.60392809542273,94.69211756990114,287321.3955028944
t7,26805.516387586496,3720.0,18083.8,23095.0,57241.5,4061.1967586490878,-0.0,-0.0,-0.0,-0.0,8657.323301169345,-0.0,505.59812974497794,-0.0,20452.886389263047,116758.84271501985,907.1746669196046,2687.64262,0.0,53.22137399999998,1065.3791275981366,239.16561600000006,504.58408,1189.9898833379639,10.513724911397782,7.992576590807497,15.77058736709667,1.8238094234057378,9.655461653324492,17.86260405865031,63.994254180089555,21.778430173609685,205.9651840453418,906.2204010160752,80.54184871830753,8.88974156333432,6.726968867556677,13.319696671237494,1.5363143976903273,8.143957875135133,15.064830501623598,53.97982335185723,18.39102575099198,170.1306059471396,469.6917293829125,150.49954955484736,288287.3141752909
t8,26805.516387586496,3720.0,18083.8,23095.0,57241.5,1355.2250777758072,-0.0,-0.0,-0.0,-0.0,8657.323301169345,-0.0,231.7689866855228,-0.0,18701.85165381346,105090.94155605676,693.6685116115431,2258.12626,0.0,40.304375999999976,917.3842475981367,187.20580400000006,399.80511999999993,842.8780977902536,26.092620047971835,19.83571626095818,39.13893007195774,4.526270824648175,23.962610248137395,44.33082895905417,158.81885570015504,54.04899867079879,498.0466367136555,2205.8297396193625,45.195311026371286,19.754344684181017,14.948338007660471,29.598372152640348,3.413921984011149,18.09710100262221,33.47632236748797,119.95129767122668,40.86762918724027,400.7743766544145,1146.3290752387466,-0.0,273269.3366771806
