Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENG_Rest_conventional_hydroelectric_1,1,1.844001514808067e6,1067.6,0.19717352569156815
NY_Z_A_conventional_hydroelectric_1,2,1.283994380123294e7,2434.9,0.6019742121948197
NY_Z_B_conventional_hydroelectric_1,3,0.0,0.0,0.0
NY_Z_C&E_conventional_hydroelectric_1,4,203412.07305720865,63.3,0.3668334326235305
NY_Z_D_conventional_hydroelectric_1,5,5.513716854693995e6,809.6,0.7774453214809832
NY_Z_F_conventional_hydroelectric_1,6,978239.7717203028,274.6,0.40666863371225836
PJM_EMAC_conventional_hydroelectric_1,10,1.9029339223379865e6,572.0,0.37977255211586086
PJM_Rest_conventional_hydroelectric_1,11,2.3102963320673625e6,1507.8,0.17491209576771283
NENG_Rest_conventional_steam_coal_1,1,0.0,0.0,0.0
NENG_Rest_natural_gas_fired_combined_cycle_1,1,0.0,0.0,0.0
NENG_Rest_natural_gas_fired_combined_cycle_2,1,0.0,0.0,0.0
NENG_Rest_natural_gas_fired_combustion_turbine_1,1,0.0,0.0,0.0
NENG_Rest_natural_gas_fired_combustion_turbine_2,1,0.0,0.0,0.0
NENG_Rest_nuclear_1,1,1.728448921638695e7,3355.5,0.5880242012666096
NY_Z_A_natural_gas_fired_combined_cycle_1,2,0.0,0.0,0.0
NY_Z_A_natural_gas_fired_combustion_turbine_1,2,0.0,0.0,0.0
NY_Z_A_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
NY_Z_B_natural_gas_fired_combined_cycle_1,3,0.0,0.0,0.0
NY_Z_B_natural_gas_fired_combustion_turbine_1,3,0.0,0.0,0.0
NY_Z_B_natural_gas_steam_turbine_1,3,0.0,-1.4210854715202004e-14,0.0
NY_Z_B_nuclear_1,3,2.5939362212355826e6,581.3,0.5093952189580555
NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,0.0,0.0,0.0
NY_Z_C&E_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
NY_Z_C&E_nuclear_1,4,1.3622716460245669e7,2777.0,0.5599944611989577
NY_Z_D_natural_gas_fired_combined_cycle_1,5,0.0,0.0,0.0
NY_Z_D_natural_gas_fired_combined_cycle_2,5,0.0,0.0,0.0
NY_Z_F_natural_gas_fired_combined_cycle_1,6,0.0,0.0,0.0
NY_Z_F_natural_gas_fired_combined_cycle_2,6,0.0,0.0,0.0
NY_Z_F_natural_gas_fired_combustion_turbine_1,6,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,0.0,-3.552713678800501e-15,0.0
NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,0.0,3.552713678800501e-15,0.0
NY_Z_J_natural_gas_fired_combined_cycle_1,8,0.0,0.0,0.0
NY_Z_J_natural_gas_fired_combined_cycle_2,8,0.0,0.0,0.0
NY_Z_J_natural_gas_fired_combustion_turbine_1,8,0.0,0.0,0.0
NY_Z_J_natural_gas_fired_combustion_turbine_2,8,0.0,0.0,0.0
NY_Z_K_natural_gas_fired_combined_cycle_1,9,0.0,0.0,0.0
