Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-5.809775823053522,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-0.0,-0.0
t2,-0.8112881186041501,-0.8112881186041501,-0.8112881186041501,-0.8112881186041501,-5.809775823053524,-0.8112881186041501,-0.8112881186041501,-0.8112881186041501,-0.8112881186041501,-0.0,-0.0
t3,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-5.809775823053522,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-0.0,-0.0
t4,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-5.809775823053522,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.0,-0.0
t5,-0.8112881186041497,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-5.809775823053523,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.0,-0.0
t6,-0.8112881186041498,-0.8112881186041501,-0.8112881186041501,-0.8112881186041501,-5.809775823053522,-0.8112881186041501,-0.8112881186041501,-0.8112881186041501,-0.8112881186041497,-0.0,-0.0
t7,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041501,-5.809775823053523,-0.8112881186041501,-0.8112881186041501,-0.8112881186041501,-0.8112881186041498,-0.0,-0.0
t8,-0.8112881186041498,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-5.809775823053522,-0.8112881186041497,-0.8112881186041497,-0.8112881186041497,-0.8112881186041498,-0.0,-0.0
t9,-0.8112881186041498,-5.476466915763108,-5.476466915763108,-5.476466915763108,-5.809775823053522,-5.476466915763108,-5.476466915763108,-5.476466915763108,-0.8112881186041496,-0.0,-0.0
t10,-0.8112881186041497,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-0.8112881186041497,-0.0,-0.0
t11,-0.8112881186041497,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-0.8112881186041497,-0.0,-0.0
t12,-0.8112881186041497,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-0.8112881186041497,-0.0,-0.0
t13,-0.8112881186041497,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-0.8112881186041497,-0.0,-0.0
t14,-0.8112881186041497,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-0.8112881186041497,-0.0,-0.0
t15,-0.8112881186041498,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-0.8112881186041498,-0.0,-0.0
t16,-0.8112881186041498,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-5.809775823053522,-0.8112881186041498,-0.0,-0.0
t17,-0.8112881186041501,-5.809775823053522,-5.809775823053522,-2.9927625987553785,-5.809775823053522,-2.9927625987553785,-2.9927625987553785,-2.9927625987553785,-2.9927625987553785,-0.0,-0.0
t18,-0.8112881186041496,-2.9927625987553785,-2.9927625987553785,-2.9927625987553785,-5.809775823053522,-2.9927625987553785,-2.9927625987553785,-2.9927625987553785,-2.9927625987553785,12.056400000000002,12.056400000000002
t19,-0.8112881186041497,-2.9927625987553785,-2.9927625987553785,-2.9927625987553785,-5.809775823053522,-2.9927625987553785,-2.9927625987553785,-2.9927625987553785,-2.9927625987553785,12.056400000000002,12.056400000000002
t20,-0.8112881186041498,-2.992762598755378,-2.992762598755378,-2.992762598755378,-5.809775823053522,-2.992762598755378,-2.992762598755378,-2.992762598755378,-2.992762598755378,12.056400000000002,12.056400000000002
t21,-0.8112881186041495,-2.8409281716161923,-2.8409281716161923,-2.8409281716161923,-5.809775823053522,-2.8409281716161923,-2.8409281716161923,-2.8409281716161923,-2.8409281716161923,12.056400000000002,12.056400000000002
t22,-0.8112881186041498,-2.482151169869535,-2.482151169869535,-2.482151169869535,-5.809775823053522,-2.482151169869535,-2.482151169869535,-2.482151169869535,-2.482151169869535,12.056400000000002,12.056400000000002
t23,-0.8112881186041497,-1.7088223441557773,-1.7088223441557773,-1.7088223441557768,-5.809775823053522,-1.7088223441557768,-1.7088223441557768,-1.7088223441557768,-1.7088223441557768,12.056400000000002,12.056400000000002
t24,-0.8112881186041497,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-5.476466915763108,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,12.056400000000002,12.056400000000002
t25,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-5.476466915763108,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,9.59925663866188,12.056400000000002
t26,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-5.809775823053523,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,9.59925663866188,12.056400000000002
t27,-0.8112881186041498,-0.8112881186041502,-0.8112881186041502,-0.8112881186041502,-5.809775823053523,-0.8112881186041502,-0.8112881186041502,-0.8112881186041502,-0.8112881186041498,9.59925663866188,9.927576960000001
t28,-0.8112881186041498,-0.8112881186041515,-0.8112881186041515,-0.8112881186041515,-5.809775823053523,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,9.59925663866188,9.927576960000001
t29,-0.8112881186041515,-0.8112881186041515,-0.8112881186041515,-0.8112881186041515,-5.809775823053523,-0.8112881186041515,-0.8112881186041515,-0.8112881186041515,-0.8112881186041515,9.59925663866188,9.927576960000001
t30,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-5.809775823053523,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,9.59925663866188,12.056400000000002
t31,-0.8112881186041498,-0.8112881186041515,-0.8112881186041515,-0.8112881186041515,-5.809775823053524,-0.8112881186041502,-0.8112881186041515,-0.8112881186041515,-0.8112881186041515,11.668497919023958,12.056400000000002
t32,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-5.809775823053523,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,11.668497919023958,12.056400000000002
t33,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-5.809775823053523,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,-0.8112881186041498,11.668497919023958,12.056400000000002
t34,-0.8112881186041498,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,9.0417695184,12.056400000000002
t35,-0.8112881186041498,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-0.0,9.927576960000001
t36,-0.8112881186041503,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.8097758230535215,-5.809775823053523,-5.809775823053523,-5.8097758230535215,-0.0,9.927576960000001
t37,-0.8112881186041498,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053521,-5.8097758230535215,-5.809775823053523,-5.809775823053523,-5.8097758230535215,-0.0,9.927576960000001
t38,-0.8112881186041504,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-0.0,9.927576960000001
t39,-0.8112881186041516,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-0.0,9.927576960000001
t40,-0.8112881186041515,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-5.809775823053523,-0.0,9.927576960000001
t41,-0.8112881186041498,-3.525501424293744,-3.525501424293744,-3.525501424293744,-4.667638623673632,-3.525501424293744,-3.525501424293744,-3.525501424293744,-3.525501424293744,12.056400000000002,9.927576960000001
t42,-0.8112881186041498,6.537011023636986,6.572406450818015,6.635142307419643,-5.809775823053523,6.644438341838218,6.719275137321513,6.7637691835804885,6.7963133817372485,12.056400000000002,12.056400000000002
t43,-0.8112881186041498,6.5615950968572925,6.597123637439895,6.660095428000737,-5.809775823053523,6.669426422493566,6.7445446605586605,6.789206037863454,6.821872626658305,12.056400000000002,12.056400000000002
t44,-0.8112881186041498,6.593843298010409,6.62954645033093,6.692827727676466,-5.809775823053523,6.702204581108005,6.77769200197326,6.822572876070804,6.855400010999773,12.056400000000002,12.056400000000002
