Zone,1,2,3,4,5,6,7,8,9,10,11,Total
AnnualSum,2.2653791993415054e7,99464.39018392802,0.0,2.906581738243176e6,389359.0986969599,6.874183062245393e6,1.6590765827986763e6,8.223876371837842e6,1.3882812579753832e6,3.383320376261107e7,2.7188382294439286e8,3.499116412024003e8
t1,2315.692469967494,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,28666.765738908463,36517.1992968065
t2,2315.692469967494,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,22496.01500644644,30346.44856434448
t3,2315.692469967494,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,23139.77560254682,30990.209160444858
t4,2315.692469967494,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,22548.77995992113,30399.213517819167
t5,2315.692469967494,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,23783.117812946344,31633.551370844383
t6,2315.692469967494,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,26553.502651190407,34403.936209088446
t7,2315.692469967494,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,29616.178887173002,37466.61244507104
t8,2315.692469967494,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,31603.90086646827,39454.33442436631
t9,2315.692469967494,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,29796.09073284491,37646.52429074295
t10,2315.6924699674946,8.447104246,0.0,331.80156829260005,44.447385696000005,745.0630845336001,163.34924569054,918.9905236482845,151.15210753271992,3171.490068290799,23662.64784167547,31513.081399573508
