BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.1068467959665371e8,4.635250726126701e6,-6.1148802103888495e6,2.744810539072334e6,-2.7448105390723315e6,82809.44448585912,0.0,8.137962582459699e6,-264104.13933716173,-1.17161718e8,2.3102632768838916e7,785851.4083583973,-1.035890303838283e6,179286.60214172472,-179286.60214172472,10149.781208647066,0.0,-1.2463308158358779e7,-144702.49620890548,-1.0254733000000006e7,1.3955723173319532e7,2.604385856268521e6,-3.0770154256480657e6,128258.98278311623,-128258.98278311624,7684.860764106598,0.0,-5.594276849633004e6,-132815.61507110298,-7.763686000000002e6,5.178586180648432e7,5.088763995669537e6,-6.012244796395956e6,261010.3351604332,-261010.33516043294,15608.021485254474,0.0,-3.4729049406761415e7,-765727.6204817204,-1.5383212e7,5.797497091679858e6,-5.5412970918059426e-12,0.0,29967.27989293949,-29967.279892939492,1651.4706241790986,0.0,-3.9749964511975707e6,-67382.11110646096,-1.75677e6,2.6919880054448782e6,2.9988269216336226e6,-3.998670484179903e6,159759.99635342052,-159759.99635342057,12658.974528282539,0.0,8.204751005760384e6,-406455.42318726424,-9.503098999999998e6,5.263357272883637e7,357015.6328088204,-421804.8591786628,300870.7092393872,-300870.709239387,28744.5872076247,0.0,-3.498624480196073e7,-681093.2877134021,-1.6930190000000015e7,2.013754259302168e7,128652.49246106714,-151999.63665059922,1.1006874960626236e6,-1.100687496062623e6,108956.76769333126,0.0,4.4636889765929244e7,-208443.98245476824,-6.465159799999997e7,824771.0399999997,135206.40098037137,-159742.9123114028,375321.01068797737,-375321.0106879769,40303.99113271738,0.0,1.9496339117791414e7,-214416.63759310328,-2.0122461000000004e7,1.5391735880952963e8,6.325065668873168e6,-8.02672597143943e6,3.3197334266271177e6,-3.319733426627118e6,103994.92728245548,0.0,1.3077092398573696e6,-112325.67410312602,-1.5351507700000006e8,5.728910156998972e8,3.3655053889438964e7,-4.1170377182496674e7,1.0843741846304933e7,-1.0843741846304927e7,198001.7223224708,0.0,9.964223956113348e6,-371306.08527530765,-5.751666119999998e8
t1,12545.918529538716,0.0,-1830.0,101.68149417194124,-0.0,0.0,0.0,102.63946673207442,-29.325686932483034,-10890.91380351025,3926.899488663923,0.0,-0.0,7.198725768638713,-0.0,0.0,0.0,-2928.622024079429,-17.911,-987.5651903531331,709.2821778157233,0.0,-0.0,5.46158713978552,-0.0,0.0,0.0,50.48749180665868,-17.561,-747.6702567621676,2479.5005000000006,0.0,-0.0,10.792845858523739,-8.50677733492029,0.0,0.0,-891.2453738156373,-109.20351676066332,-1481.3376779473026,544.1877454078224,0.0,-0.0,1.2467256314117716,-0.0,0.0,0.0,-365.70793533636873,-10.8,-168.9265357028655,157.73832,0.0,-0.0,6.6040129623689054,-0.0,0.0,0.0,801.4658173453472,-50.262016760663315,-915.5461335470524,5602.903274689612,0.0,-0.0,12.216899700939042,-0.0,0.0,0.0,-3885.917778688427,-99.79265310333251,-1629.4097425987918,4879.201593178511,0.0,-0.0,43.77115367484636,-0.0,0.0,0.0,1334.9540494705234,-29.37,-6228.55679632388,0.0,0.0,-0.0,14.903407558069102,-0.0,0.0,0.0,1953.3242624858294,-32.78034003581554,-1935.4473300080826,16155.222284355936,0.0,-2464.218323058981,111.70438415341303,-1434.9035469413923,0.0,0.0,1320.0,-9.702,-13678.102798508977,60377.03402934532,0.0,-3693.0,487.9350079707611,-4773.89213308788,0.0,0.0,2508.622024079429,-40.8615,-54865.837428307634
t2,9159.183343510964,0.0,-1830.0,70.09230708719676,-98.73220469368103,0.0,0.0,2800.0,-29.14,-10071.40344590448,3868.062714972294,0.0,-0.0,5.022561057243464,-12.798086408108592,0.0,0.0,-2919.782393370476,-17.911,-922.5937962509532,710.328,0.0,-0.0,3.811604871012329,-9.72915752453153,0.0,0.0,11.842410242764345,-17.561,-698.6918575892449,2467.21678,0.0,-0.0,7.53068706917191,-19.197129612162882,0.0,0.0,-982.8695879956801,-88.2997211502535,-1384.3810283110756,611.3936054078225,0.0,-0.0,0.870037411620348,-2.22007621365149,0.0,0.0,-441.31224920311234,-10.8,-157.93131740267899,166.95367199092038,762.7010764181985,-403.99892358180153,4.608307132126513,-11.753344660507887,0.0,0.0,360.0437921294067,-23.978221150253503,-854.5763582780893,5606.245648822626,0.0,-0.0,8.52505274276472,-21.743687621939593,0.0,0.0,-3987.6098865075255,-81.969,-1523.4481274359257,5285.251069968939,0.0,-0.0,30.543571657378042,-24.797480617009867,0.0,0.0,556.1567143760113,-29.37,-5817.783875385318,0.0,0.0,-0.0,10.398919378057728,-26.51032184536779,0.0,0.0,1841.4718833573963,-15.877181657323138,-1809.483299232763,16046.627180924233,0.0,-4257.622564476829,78.86302708876947,-0.0,0.0,0.0,1338.5281166426037,-15.238181657323139,-13191.157578521455,60333.25779078153,0.0,-8356.713601787937,310.6832135436632,-237.2872196071603,0.0,0.0,1423.5312003286117,-50.6715,-53422.79988325872
t3,8626.68473030927,0.0,-1830.0,27.493863804673012,-15.141968525332986,0.0,0.0,2800.0,-29.14,-9579.89662558861,4061.637064972294,0.0,-240.0,1.9729036296822806,-1.1182328164897755,0.0,0.0,-2925.967575542163,-17.911,-878.6131602433238,710.328,0.0,-0.0,1.4968243069316078,-0.8500851513111048,0.0,0.0,-27.707334070588786,-17.561,-665.7064050850316,2502.8869600000003,0.0,-0.0,2.9579214330918893,-1.6773492247346629,0.0,0.0,-1095.8528621333571,-89.90414564011951,-1318.41052443488,569.25138,0.0,-0.0,0.3416823394918428,-0.19397916204414473,0.0,0.0,-407.6647228748874,-10.8,-150.9343603025603,189.7678319909204,569.2882046382911,-597.411795361709,1.8099187465555424,-1.0269485049395897,0.0,0.0,677.7516119048519,-25.5826456401195,-814.5961777738512,5606.252048822626,0.0,-0.0,3.3482062799846,-0.0,0.0,0.0,-4106.526692826019,-52.599,-1450.4745622765934,5737.999925893546,0.0,-0.0,7.178860761954575,-0.0,0.0,0.0,-201.75875172129133,-0.48422100413109914,-5542.935813930077,0.0,0.0,-0.0,4.084475500663746,-2.316339405585963,0.0,0.0,1740.3274545988613,-18.587741037980962,-1723.507849655958,13624.899210891666,212.45039303845118,-1277.549606961549,31.891626681778455,-63.51059414617336,0.0,0.0,441.4312971224301,-17.464520033849862,-12952.147806592753,53400.307467878345,0.0,-3663.1304481231464,135.90739795138091,-0.0,0.0,0.0,3105.967575542163,-50.6715,-52928.38049324876
t4,8377.61275002896,0.0,-1830.0,36.1083757799608,-0.0,0.0,0.0,2800.0,-29.14,-9354.581125808922,3815.110202761067,111.91033208636793,-128.08966791363207,2.6042955779134265,-0.0,0.0,0.0,-2930.0,-17.911,-853.6241625117162,707.824590106678,0.0,-0.0,1.9761002441198987,-0.0,0.0,0.0,-45.52490943485873,-17.561,-646.7147809159392,2471.764794496733,0.0,-0.0,3.904667893189746,-0.0,0.0,0.0,-1095.1147340216744,-100.12722131663175,-1280.4275070516157,636.4572400000001,0.0,-0.0,0.4510771104558501,-0.0,0.0,0.0,-487.6799436880858,-3.291839619894579,-145.9365338024755,212.59317199092038,391.62892532508954,-775.0710746749105,2.3893085661877187,-0.0,0.0,0.0,1024.4092595372913,-64.34201676066331,-791.6075739839143,5606.258448822627,0.0,-0.0,4.420043300079241,-0.0,0.0,0.0,-4130.698217944733,-70.49086493607383,-1409.4894092418997,5737.999925893546,0.0,-0.0,14.991664388777735,-19.127375744385688,0.0,0.0,-350.0,-0.84,-5383.024214537936,0.0,0.0,-0.0,5.391822238465766,-0.0,0.0,0.0,1688.8843031608503,-18.754573181575395,-1675.521552217741,14257.987537769422,0.0,-1490.0,43.02673591286559,-160.1244406601093,0.0,0.0,415.72424239121017,-17.275573181575396,-13049.33850223181,53270.95717024019,0.0,-2550.97170016752,141.01776870405428,-570.1251786543903,0.0,0.0,3110.0,-50.6715,-53350.20656012234
t5,7006.66205105989,1100.895757214755,-729.1042427852451,42.52430376599377,-66.60626296492934,0.0,0.0,1971.2106400144621,-21.846653632127268,-9303.735592672798,4010.593379679097,0.0,-240.0,3.105964441036995,-13.429809953710475,0.0,0.0,-2899.7295306566143,-17.911,-842.6290035098089,704.5790739544868,0.0,-0.0,2.359268914277299,-11.16177135018991,0.0,0.0,-40.49682310378421,-17.561,-637.7187484147901,2539.790174496733,0.0,-0.0,4.6580349102903895,-13.572504531244752,0.0,0.0,-1158.237083577063,-109.20351676066332,-1263.4351045380502,703.6631000000001,0.0,-0.0,0.5384362137709697,-2.5485364411994347,0.0,0.0,-546.9155965701301,-10.8,-143.9374032024416,235.40733199092037,0.0,-1166.7,2.8511882502687347,-8.358203871892258,0.0,0.0,1755.0013783687427,-37.58867039279058,-780.6130243452488,5606.264848822626,0.0,-0.0,5.274607087870649,-26.882013356479792,0.0,0.0,-4140.562515132227,-52.599,-1391.4959274217904,5731.6636527478695,0.0,-0.0,18.897254867354086,-90.65580779615118,0.0,0.0,-350.0,-0.84,-5309.065099819071,0.0,0.0,-0.0,6.432350733017184,-30.48704193485416,0.0,0.0,1698.919678652264,-20.33744036190586,-1654.527547088521,13647.025886276715,0.0,-1490.0,51.33993435020292,-24.032154176235384,0.0,0.0,1231.080321347736,-9.04844036190586,-13406.365547436511,55859.53950439059,0.0,-3693.0,212.32783938021532,-84.33171130103304,0.0,0.0,2479.7295306566143,-40.8615,-54733.403663126395
t6,6918.019209901141,0.0,-0.0,94.07622517980536,-0.0,0.0,0.0,2529.147146326165,-29.14,-9512.10258140711,3832.5609813320048,5.5549086826083,-234.4450913173917,6.715240843595996,-0.0,0.0,0.0,-2743.353063394992,-17.40705327116648,-849.625922874659,704.5173370419502,0.0,-0.0,5.0975229515775915,-0.0,0.0,0.0,-49.8412624735995,-17.057053271166478,-642.7165442487618,2514.665484496733,0.0,-0.0,10.069291688956259,-0.0,0.0,0.0,-1159.9667001283417,-90.33788753993127,-1274.4301885174161,770.8689600000001,0.0,-0.0,1.1635045962907964,-0.0,0.0,0.0,-615.2959307938155,-10.8,-145.9365338024755,248.03484000000003,480.744126014025,-685.955873985975,6.162249916672029,-0.0,0.0,0.0,763.6410970160937,-26.016387539931273,-786.6100514208846,5606.271248822626,0.0,-0.0,11.399805388199479,-0.0,0.0,0.0,-4132.2104722422955,-81.969,-1403.49158196853,5373.529300504923,0.0,-0.0,40.842855960000634,-0.0,0.0,0.0,-32.12081430921455,-30.21,-5352.041342155709,0.0,0.0,-0.0,13.904532413046693,-0.0,0.0,0.0,1676.123723258964,-20.504990634046614,-1669.523265037964,12782.985520388469,0.0,-0.0,118.7281731572698,-10.0864731310483,0.0,0.0,1253.876276741036,-9.215990634046614,-14136.287506521678,54049.54767383335,2172.993262293422,-1520.0067377065777,455.51157876605845,-281.40197200326895,0.0,0.0,2510.0,-40.8615,-57345.782305182984
t7,8551.925370302843,0.0,-1055.3204172633016,206.18321926687796,-160.32683026808354,0.0,0.0,2546.9303093447184,-25.963975382276217,-10063.427676000774,4046.6470073753244,0.0,-240.0,16.551797845296424,-0.0,0.0,0.0,-2925.6750850680332,-17.911,-879.6127201525882,706.4104197867393,0.0,-0.0,12.563391753710032,-0.0,0.0,0.0,-35.70640645541789,-17.561,-665.7064050850316,2424.346474496733,0.0,-0.0,24.81839996592992,-0.0,0.0,0.0,-1030.1269189688483,-100.62743105893429,-1318.41052443488,703.7612200000002,0.0,-0.0,2.867625356055921,-0.0,0.0,0.0,-551.9686963531123,-3.7257887003835077,-150.9343603025603,225.68940000000003,390.175713273047,-776.524286726953,15.188108451129967,-0.0,0.0,0.0,1024.4092595372913,-64.34201676066331,-814.5961777738512,5606.295053043685,0.0,-0.0,28.097070954388965,-0.0,0.0,0.0,-4113.537547104632,-67.38110098016367,-1453.4734759132782,5427.204961378813,0.0,-0.0,100.66557693268149,-0.0,0.0,0.0,3.079295974511047,-0.007390310338826511,-5530.942443975667,0.96,0.0,-0.0,34.27125770494805,-0.0,0.0,0.0,1712.0875079621544,-16.812914301404334,-1730.505851365698,15746.038444346952,0.0,-1490.0,302.5741134765536,-238.4810997348173,0.0,0.0,864.8331960633348,-6.35652399106551,-15178.608130160956,61629.68039793849,0.0,-3693.0,800.7623552433136,-193.45418723909734,0.0,0.0,2505.6750850680332,-40.8615,-61008.80215101074
t8,7903.530250503691,1147.4908559034507,-682.5091440965492,366.5444390143462,-0.0,0.0,0.0,2115.7131084054818,-44.59826144704381,-10806.171248283375,3642.761677597056,240.0,-0.0,21.19206828752546,-20.454670813192507,0.0,0.0,-2930.0,-17.911,-935.5880750713892,723.5153424237251,0.0,-0.0,16.073496786568207,-15.546739155620504,0.0,0.0,1.2067900357208146,-17.561,-707.6878900903939,2467.05849,0.0,-0.0,31.770423988459946,-32.266070204948434,0.0,0.0,-954.9863431091735,-109.20351676066332,-1402.3729839136745,646.9304600000002,0.0,-0.0,3.6693202046985647,-3.5477031774476977,0.0,0.0,-476.3216290245382,-10.799999999999999,-159.9304480027129,257.82796,439.4623747912358,-727.2376252087643,19.438291749224106,-18.782970241615953,0.0,0.0,959.2048935873372,-64.34201676066331,-865.5709079167548,5693.457048822627,0.0,-0.0,35.959071891781775,-34.74835154584636,0.0,0.0,-4046.79897051805,-101.429,-1546.4397986505098,5888.313397859257,0.0,-0.0,155.48954370611173,-39.53968545189694,0.0,0.0,-92.30474097129627,-30.21,-5881.748515142175,125.28,0.0,-0.0,52.94049670374025,-83.34324909196613,0.0,0.0,1784.0458925568073,-36.44926144704382,-1842.4738787215374,12785.071872180033,1490.0,-0.0,468.29083737779115,-0.0,0.0,0.0,1130.240999037711,-9.702,-15863.901708595535,62836.780545212125,0.0,-1914.4862595571951,1736.9207582678007,-1135.377217494723,0.0,0.0,2510.0,-40.8615,-63992.976326428005
