Time,Weight
1,19.0
2,19.0
3,19.0
4,19.0
5,19.0
6,19.0
7,19.0
8,19.0
9,19.0
10,19.0
11,19.0
12,19.0
13,19.0
14,19.0
15,19.0
16,19.0
17,19.0
18,19.0
19,19.0
20,19.0
21,19.0
22,19.0
23,19.0
24,19.0
25,26.0
26,26.0
27,26.0
28,26.0
29,26.0
30,26.0
31,26.0
32,26.0
33,26.0
34,26.0
35,26.0
36,26.0
37,26.0
38,26.0
39,26.0
40,26.0
41,26.0
42,26.0
43,26.0
44,26.0
45,26.0
46,26.0
47,26.0
48,26.0
49,25.0
50,25.0
51,25.0
52,25.0
53,25.0
54,25.0
55,25.0
56,25.0
57,25.0
58,25.0
59,25.0
60,25.0
61,25.0
62,25.0
63,25.0
64,25.0
65,25.0
66,25.0
67,25.0
68,25.0
69,25.0
70,25.0
71,25.0
72,25.0
73,33.0
74,33.0
75,33.0
76,33.0
77,33.0
78,33.0
79,33.0
80,33.0
81,33.0
82,33.0
83,33.0
84,33.0
85,33.0
86,33.0
87,33.0
88,33.0
89,33.0
90,33.0
91,33.0
92,33.0
93,33.0
94,33.0
95,33.0
96,33.0
97,20.0
98,20.0
99,20.0
100,20.0
101,20.0
102,20.0
103,20.0
104,20.0
105,20.0
106,20.0
107,20.0
108,20.0
109,20.0
110,20.0
111,20.0
112,20.0
113,20.0
114,20.0
115,20.0
116,20.0
117,20.0
118,20.0
119,20.0
120,20.0
121,47.0
122,47.0
123,47.0
124,47.0
125,47.0
126,47.0
127,47.0
128,47.0
129,47.0
130,47.0
131,47.0
132,47.0
133,47.0
134,47.0
135,47.0
136,47.0
137,47.0
138,47.0
139,47.0
140,47.0
141,47.0
142,47.0
143,47.0
144,47.0
145,30.0
146,30.0
147,30.0
148,30.0
149,30.0
150,30.0
151,30.0
152,30.0
153,30.0
154,30.0
155,30.0
156,30.0
157,30.0
158,30.0
159,30.0
160,30.0
161,30.0
162,30.0
163,30.0
164,30.0
165,30.0
166,30.0
167,30.0
168,30.0
169,55.0
170,55.0
171,55.0
172,55.0
173,55.0
174,55.0
175,55.0
176,55.0
177,55.0
178,55.0
179,55.0
180,55.0
181,55.0
182,55.0
183,55.0
184,55.0
185,55.0
186,55.0
187,55.0
188,55.0
189,55.0
190,55.0
191,55.0
192,55.0
193,36.0
194,36.0
195,36.0
196,36.0
197,36.0
198,36.0
199,36.0
200,36.0
201,36.0
202,36.0
203,36.0
204,36.0
205,36.0
206,36.0
207,36.0
208,36.0
209,36.0
210,36.0
211,36.0
212,36.0
213,36.0
214,36.0
215,36.0
216,36.0
217,28.0
218,28.0
219,28.0
220,28.0
221,28.0
222,28.0
223,28.0
224,28.0
225,28.0
226,28.0
227,28.0
228,28.0
229,28.0
230,28.0
231,28.0
232,28.0
233,28.0
234,28.0
235,28.0
236,28.0
237,28.0
238,28.0
239,28.0
240,28.0
241,26.0
242,26.0
243,26.0
244,26.0
245,26.0
246,26.0
247,26.0
248,26.0
249,26.0
250,26.0
251,26.0
252,26.0
253,26.0
254,26.0
255,26.0
256,26.0
257,26.0
258,26.0
259,26.0
260,26.0
261,26.0
262,26.0
263,26.0
264,26.0
265,20.0
266,20.0
267,20.0
268,20.0
269,20.0
270,20.0
271,20.0
272,20.0
273,20.0
274,20.0
275,20.0
276,20.0
277,20.0
278,20.0
279,20.0
280,20.0
281,20.0
282,20.0
283,20.0
284,20.0
285,20.0
286,20.0
287,20.0
288,20.0
