Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.758788807787217e8,2.320958545988546e7,1.073022595432386e8,1.4246320866501614e8,3.714985695953013e8,5.172367378670636e7,0.0,0.0,1.779723598056928e8,0.0,1.1159009764375016e8,1.9034413292242985e7,0.0,478355.78420613456,1.5636132897965345e8,5.9887505358736e8,5.996436296874056e6,1.8527862022561096e7,0.0,340055.2322733829,7.985356670716961e6,1.4764187984079712e6,3.4932416649974356e6,6.765350797772343e6,43743.453037822896,34089.871234835206,77542.06790923688,8358.559413085628,44045.02827587946,79821.46191421973,278544.2399557965,91684.01896684918,783465.3732177524,3.407189324420744e6,655575.6937221218,254820.67165992135,208373.40878206416,340944.73354831885,45778.78356114256,238585.6616734636,467666.35122755996,1.65699508638589e6,618051.5563623218,5.025279292818907e6,1.3799540896259518e7,3.5105480478400406e6,2.0126431519875665e9
t1,12466.478322298632,1987.8861893764424,9140.056790466757,11051.120092378747,28414.667167889354,8696.23639209947,-0.0,-0.0,18912.58648449202,-0.0,14266.647679167467,933.1376006546461,-0.0,74.83452157384669,6108.444416350883,-0.0,740.6377270729623,1806.4069413168759,0.0,27.481335641290393,640.207038075702,143.77580540411202,377.65615837702853,769.1824453556943,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.742637591286167,6.615653613540371,25.454238014563074,-0.0,8.009194840339342,28.789227765631257,179.42128454724,15.493509574462657,93.88579929910452,1966.7187603804714,45.7422668887221,118936.31568050731
t2,12466.478322298632,2195.7261893764426,8392.726344515873,11051.120092378747,28414.667167889354,8696.23639209947,-0.0,-0.0,18912.58648449202,-0.0,14266.647679167467,933.1376006546461,-0.0,74.83452157384669,6108.444416350883,2337.9231992046975,1019.1382852851789,1791.59942,0.0,29.128774188387187,612.4624,143.56088000000003,444.2941583770285,778.7083404453847,3.142469108046601,2.3889178423415482,4.7137036620699,0.5451221922121654,2.885941017593817,5.33899088254856,19.127375744385684,6.509400295239387,46.59413476578957,205.83109010081955,42.79297741046188,10.622729540483029,8.038340642211152,28.271221421665086,0.32491521940818263,9.73156095487204,-0.0,190.83748046023234,19.383028657281,126.15469162208441,-0.0,73.04159656545697,119475.69635640326
t3,13300.57510553771,2195.7261893764426,8392.726344515873,12341.460092378748,28414.667167889354,8696.23639209947,-0.0,-0.0,18912.58648449202,-0.0,14266.647679167467,933.1376006546461,-0.0,74.83452157384669,6108.444416350883,6512.629197062769,1052.2908582256446,1980.3495386831244,0.0,33.54489209419359,612.62432,166.192674595888,558.4081583770285,835.1508080821882,-0.0,-0.0,6.391052886804562,-0.0,-0.0,7.238845616686801,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14.181083375965725,0.4726183968558807,-0.0,1.4483515458463594,-0.0,21.15116475235878,141.12985892347908,51.57568665034787,85.393491844797,125717.21459515042
t4,14764.248377756496,2028.0072871314753,9403.088544515873,13631.800092378748,31612.805167889353,8696.23639209947,-0.0,-0.0,18912.58648449202,-0.0,14266.647679167467,933.1376006546461,-0.0,74.83452157384669,6108.444416350883,6919.932171182257,1052.2908582256446,2091.7235293415624,0.0,32.726099999999995,680.2259200000001,177.628575946916,568.3156261905754,1017.3397631539075,1.5461132643990234,1.175361614262523,2.3191698965985346,0.26820332137534075,1.4198999366929803,2.626814882882014,9.410781247081811,3.2026631905408336,24.032154176235384,103.99139155814844,20.863996076207243,1.058182313514403,0.8007386298573757,15.766581372556937,0.65549218593639,0.9694086294947386,3.2415799630435864,6.425439249343331,2.1891590479249388,-0.0,106.22963156375624,100.63787154855056,133380.84974171958
t5,14764.248377756496,2087.0875885219807,9403.088544515873,13631.800092378748,31612.805167889353,8696.23639209947,-0.0,-0.0,18912.58648449202,-0.0,14266.647679167467,933.1376006546461,-0.0,74.83452157384669,6108.444416350883,9618.25990772219,1052.2908582256446,2002.2182700000008,0.0,27.472199999999997,680.8736000000001,166.32759729794395,568.3156261905754,1074.9894851168979,4.108673951435146,3.123430707978759,6.163010927152717,0.7127291548407906,2.353372059522969,6.980553192999507,25.00840828603127,8.510824613687086,41.253461219154616,281.40197200326895,34.67153037530674,1.6015860675152753,1.2119384504184385,3.680264084684646,0.7494025662419099,1.4672248202405043,4.1624487407967425,9.725067077747957,3.313348357795871,10.0864731310483,141.146890498851,7.852773390687034,136280.94979363144
t6,16349.028377756496,2057.279999999999,10413.450744515872,13631.800092378748,31656.396000000008,8696.23639209947,-0.0,-0.0,18912.58648449202,-0.0,14266.647679167467,933.1376006546461,-0.0,74.83452157384669,6108.444416350883,9618.25990772219,1052.2908582256446,2000.7573300000001,0.0,27.484859999999998,714.3910400000002,177.90079864897194,568.3156261905754,1008.0332098670245,4.550367174877749,3.4876439781597384,6.881659930060158,0.43028453462961913,6.566633241192453,-0.0,27.924558831842745,9.503244665321168,118.68280932903937,-0.0,97.57845221756806,3.7290536244044996,2.821817423836291,6.867895843580748,0.6444505424725898,3.4162135552430493,7.767720942907676,22.643364205905847,7.714636105521397,51.385298178433345,155.81397544974357,39.02207672823107,138844.70809614682
t7,17933.808377756497,2057.279999999999,9066.222107102478,12920.810156280242,31656.396000000008,8696.23639209947,-0.0,-0.0,18912.58648449202,-0.0,14266.647679167467,933.1376006546461,-0.0,74.83452157384669,6108.444416350883,7038.682046918917,774.1203293816343,1798.66063,0.0,30.121305,680.95456,166.73712,568.3156261905754,816.473502082695,11.010903844530587,11.858178023236562,23.398015696856035,2.340339283170639,10.112054551099519,18.707300919534106,94.94500927329678,32.31154548613453,191.56510242424648,800.7623552433136,48.973727044436856,9.269947625170337,7.014675132469501,15.169940042714792,1.602021149987491,8.492267455273497,15.709139431916176,56.2884906971333,19.177592989656087,162.39430923074045,480.3837830036115,119.69993214345169,136641.65548574334
t8,19518.588377756496,2265.119999999999,9066.222107102478,12920.810156280242,31656.396000000008,8696.23639209947,-0.0,-0.0,18912.58648449202,-0.0,14266.647679167467,933.1376006546461,-0.0,74.83452157384669,7167.1408678958605,2610.130262428186,1052.2908582256446,1800.12157,0.0,27.52284,613.75776,143.94532,359.3640261905754,565.6372992955588,26.045444318706856,19.799853079016945,39.06816647806028,4.5180872797756795,23.919285598812415,44.25067835780297,158.53170955212897,40.6,339.9085526218596,1116.2528762544744,258.5,19.806299550807346,14.987652848010256,29.676217279984822,3.4229007612972424,18.144697239498,33.564366688448686,120.26677529257009,40.97511299688835,371.1519586270001,1101.051665016938,276.7180982022347,136751.6505212068
