Time,Weight
1,24.0
2,24.0
3,24.0
4,24.0
5,24.0
6,24.0
7,24.0
8,24.0
9,24.0
10,24.0
11,24.0
12,24.0
13,24.0
14,24.0
15,24.0
16,24.0
17,24.0
18,24.0
19,24.0
20,24.0
21,24.0
22,24.0
23,24.0
24,24.0
25,35.0
26,35.0
27,35.0
28,35.0
29,35.0
30,35.0
31,35.0
32,35.0
33,35.0
34,35.0
35,35.0
36,35.0
37,35.0
38,35.0
39,35.0
40,35.0
41,35.0
42,35.0
43,35.0
44,35.0
45,35.0
46,35.0
47,35.0
48,35.0
49,24.0
50,24.0
51,24.0
52,24.0
53,24.0
54,24.0
55,24.0
56,24.0
57,24.0
58,24.0
59,24.0
60,24.0
61,24.0
62,24.0
63,24.0
64,24.0
65,24.0
66,24.0
67,24.0
68,24.0
69,24.0
70,24.0
71,24.0
72,24.0
73,21.0
74,21.0
75,21.0
76,21.0
77,21.0
78,21.0
79,21.0
80,21.0
81,21.0
82,21.0
83,21.0
84,21.0
85,21.0
86,21.0
87,21.0
88,21.0
89,21.0
90,21.0
91,21.0
92,21.0
93,21.0
94,21.0
95,21.0
96,21.0
97,19.0
98,19.0
99,19.0
100,19.0
101,19.0
102,19.0
103,19.0
104,19.0
105,19.0
106,19.0
107,19.0
108,19.0
109,19.0
110,19.0
111,19.0
112,19.0
113,19.0
114,19.0
115,19.0
116,19.0
117,19.0
118,19.0
119,19.0
120,19.0
121,49.0
122,49.0
123,49.0
124,49.0
125,49.0
126,49.0
127,49.0
128,49.0
129,49.0
130,49.0
131,49.0
132,49.0
133,49.0
134,49.0
135,49.0
136,49.0
137,49.0
138,49.0
139,49.0
140,49.0
141,49.0
142,49.0
143,49.0
144,49.0
145,35.0
146,35.0
147,35.0
148,35.0
149,35.0
150,35.0
151,35.0
152,35.0
153,35.0
154,35.0
155,35.0
156,35.0
157,35.0
158,35.0
159,35.0
160,35.0
161,35.0
162,35.0
163,35.0
164,35.0
165,35.0
166,35.0
167,35.0
168,35.0
169,57.0
170,57.0
171,57.0
172,57.0
173,57.0
174,57.0
175,57.0
176,57.0
177,57.0
178,57.0
179,57.0
180,57.0
181,57.0
182,57.0
183,57.0
184,57.0
185,57.0
186,57.0
187,57.0
188,57.0
189,57.0
190,57.0
191,57.0
192,57.0
193,30.0
194,30.0
195,30.0
196,30.0
197,30.0
198,30.0
199,30.0
200,30.0
201,30.0
202,30.0
203,30.0
204,30.0
205,30.0
206,30.0
207,30.0
208,30.0
209,30.0
210,30.0
211,30.0
212,30.0
213,30.0
214,30.0
215,30.0
216,30.0
217,31.0
218,31.0
219,31.0
220,31.0
221,31.0
222,31.0
223,31.0
224,31.0
225,31.0
226,31.0
227,31.0
228,31.0
229,31.0
230,31.0
231,31.0
232,31.0
233,31.0
234,31.0
235,31.0
236,31.0
237,31.0
238,31.0
239,31.0
240,31.0
241,17.0
242,17.0
243,17.0
244,17.0
245,17.0
246,17.0
247,17.0
248,17.0
249,17.0
250,17.0
251,17.0
252,17.0
253,17.0
254,17.0
255,17.0
256,17.0
257,17.0
258,17.0
259,17.0
260,17.0
261,17.0
262,17.0
263,17.0
264,17.0
265,23.0
266,23.0
267,23.0
268,23.0
269,23.0
270,23.0
271,23.0
272,23.0
273,23.0
274,23.0
275,23.0
276,23.0
277,23.0
278,23.0
279,23.0
280,23.0
281,23.0
282,23.0
283,23.0
284,23.0
285,23.0
286,23.0
287,23.0
288,23.0
