Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,-1600.0,-600.0,-760.0,832.0294481764344,500.0,167.81870371024695,-1066.2146123723237,231.93480611700272,-0.0,755.0,-0.0,4503.816405121345,2279.671025987988,-0.0,-0.0,300.0
t2,-0.0,-1600.0,-570.3976426675314,-0.0,656.6562229703808,500.0,21.613977404507153,-931.8440168336073,239.02775140214038,415.4674553512714,-0.0,-0.0,3596.017619951711,129.83859219347525,-0.0,-1086.0967855833535,-0.0
t3,-0.0,-1600.0,-353.9755121253858,-0.0,560.575607386271,500.0,-0.0,-710.8165853777367,172.14551351130388,364.5478955536619,-0.0,-0.0,3374.836682537928,-0.0,-0.0,-1141.8220222724115,-0.0
t4,-0.0,-1600.0,-0.0,-0.0,543.5791120310466,500.0,-0.0,-699.800196591297,157.249383786481,350.92317033950746,-0.0,-0.0,3277.2967736452497,-0.0,-0.0,-1125.9702558113493,-0.0
t5,-0.0,-1600.0,-0.0,-0.0,669.1729134607523,500.0,125.32819124526503,-702.3722304754224,133.80398127028704,463.788957098129,-0.0,-0.0,3157.59326030133,62.905342372429686,-0.0,-1021.604833229381,-0.0
t6,-0.0,-1600.0,-275.70297996562414,-0.0,864.5638877674076,500.0,312.55019958683465,-745.1661753343463,67.7277134977854,-0.0,755.0,-0.0,3267.8209969193545,1122.9441287169655,-0.0,-0.0,300.0
t7,-0.0,-1600.0,-600.0,-375.310523129703,859.033603012171,500.0,263.28902746001376,-805.7264874568741,-0.0,-0.0,755.0,-78.18259982496656,3854.8611658412733,2580.0,350.0,1320.0,-168.95290053520594
t8,-0.0,-1600.0,-600.0,-87.59019401321764,939.5970738206668,500.0,255.27198588836532,-818.0564035746277,-0.0,-160.02341731487215,755.0,-190.43546535835972,4859.542171058955,2580.0,350.0,1320.0,-300.0
t9,-0.0,-1600.0,-600.0,-674.5919375793053,1089.0256437368528,500.0,368.2240733273014,-801.1852276198807,-0.0,-61.98527816567801,755.0,-231.6368475499151,5246.5452435382085,2580.0,350.0,632.338954167112,-300.0
t10,-0.0,-1600.0,-600.0,-736.4406208765746,894.6224124063845,500.0,257.35511314869615,-775.5684249353149,52.231581889983225,-0.0,755.0,-220.9031723845521,5289.024968016598,2580.0,350.0,554.099323279152,-300.0
t11,-0.0,-1600.0,-600.0,-760.0,620.4545498311655,500.0,-0.0,-693.763505565754,345.11227632789877,250.80651500129824,-0.0,-0.0,5615.535778142822,2580.0,350.0,405.43717364994103,-300.0
t12,-0.0,-1600.0,-600.0,-760.0,547.6842574399468,489.86060389735525,-0.0,-633.9006804731107,370.37185013744715,302.9594547433256,-0.0,-0.0,5727.537596808222,2580.0,350.0,448.36228333789256,-300.0
t13,-0.0,-1600.0,-600.0,-760.0,576.9599504219508,262.14801930973084,-0.0,-574.2447523883591,440.26952490731304,409.15807210127815,-0.0,-0.0,5834.650903314381,2580.0,350.0,416.88900495681435,-300.0
t14,-0.0,-1600.0,-600.0,-760.0,605.6233700445114,-0.0,-0.0,-547.7302624557462,445.1027518716702,303.15787828316456,-0.0,-0.0,5649.374287170029,2580.0,350.0,446.33659132241786,-300.0
t15,-0.0,-1600.0,-600.0,-760.0,710.8447910590378,41.830815099239125,22.816057215677088,-624.1215707894274,395.7696406809706,413.52932434285714,-0.0,-0.0,5788.596100001636,2580.0,350.0,307.6074803366283,-300.0
t16,-0.0,-1600.0,-600.0,-760.0,980.486399227573,-0.0,300.5122734347461,-748.3564950506641,412.5517529480388,532.9813715637725,-0.0,-0.0,5834.650903314381,2580.0,140.82665586212894,-0.0,-300.0
t17,-0.0,-1600.0,-600.0,-760.0,1024.1053729310045,-0.0,302.39518478324015,-746.6842525146869,429.3754612764056,561.9785051025248,-163.01480832770457,-0.0,5834.650903314381,2580.0,81.86490355266498,-3.394832098734545,-300.0
t18,-0.0,-1600.0,-600.0,-760.0,1125.5086247622555,-0.0,248.17727442309314,-760.7256094408641,441.29302093298185,546.0241949176276,-755.0,-0.0,5834.650903314381,2580.0,-0.0,-75.7769197393838,-300.0
t19,-0.0,-1600.0,-600.0,-760.0,1450.7537503699866,-221.31811497136778,534.3378209580189,-767.838811113301,444.9849550136753,668.9547732703776,-755.0,-0.0,5834.650903314381,2580.0,-350.0,-586.1714083022154,-300.0
t20,-0.0,-1600.0,-600.0,-760.0,1478.4448145747099,-368.6861598651321,563.441049062855,-771.7868536644633,481.3893408088615,693.1892072449997,-755.0,-0.0,5834.650903314381,2580.0,-350.0,-620.7995738918977,-300.0
t21,-0.0,-1600.0,-600.0,-760.0,1469.9360782855256,-146.30187054539007,560.5449530246609,-774.9588310362278,487.3788240068343,673.7465048401759,-755.0,-0.0,5834.650903314381,2580.0,-312.14650154384077,-553.2684803161212,-300.0
t22,-0.0,-1600.0,-600.0,-760.0,1241.4287881919552,-57.193044933478895,371.68086581756006,-777.662385880351,418.45918879185876,650.6163102237981,-755.0,-0.0,5834.650903314381,2580.0,-112.92926083043055,-227.4384974035215,-300.0
t23,-0.0,-1600.0,-600.0,-760.0,1043.744445112017,-0.0,224.9660321533702,-758.3453701448074,385.4067991667215,505.96949252985445,-755.0,-0.0,5834.650903314381,2580.0,-0.0,-87.59603353889914,-300.0
t24,-0.0,-1600.0,-600.0,-760.0,1016.803246560095,-0.0,223.52418890318182,-715.7942009363319,360.9087456132651,205.0350521110827,-395.7287758919379,-0.0,5615.662027021236,2580.0,350.0,410.4824644991995,-300.0
t25,-0.0,-1308.5077892640568,-576.4101396716911,-0.0,681.9020983648923,500.0,-26.872316973517506,-662.3101810639303,-0.0,-842.1038517518404,755.0,-0.0,4871.413272189774,2179.329394418839,-0.0,542.0219505383741,300.0
t26,-0.0,-1417.399230676824,-600.0,-0.0,810.4181601536177,500.0,129.45957999621228,-762.3857340808346,-0.0,-371.59640603906354,755.0,-0.0,3973.802963861882,1339.527476686315,-0.0,-0.0,300.0
t27,-0.0,-1471.006933096377,-0.0,-0.0,708.051073346429,500.0,98.41404755815027,-778.5207584894706,-0.0,-314.09547720588364,755.0,-0.0,3763.541740239842,1275.711730625166,-0.0,-0.0,300.0
t28,-0.0,-1498.6562313067047,-600.0,-0.0,929.7673698688593,500.0,334.3615901425297,-729.0245883505064,-0.0,-80.13178330533746,755.0,-0.0,3660.5257822515805,1245.6349642607424,-0.0,-0.0,300.0
