Constraint,CapRes_1,CapRes_2,CapRes_3
t1,0.0,0.0,0.0
t2,0.0,0.0,0.0
t3,0.0,0.0,0.0
t4,0.0,0.0,0.0
t5,0.0,0.0,0.0
t6,0.0,0.0,0.0
t7,0.0,0.0,0.0
t8,0.0,0.0,0.0
t9,0.0,0.0,0.0
t10,0.0,0.0,0.0
t11,0.0,0.0,0.0
t12,0.0,0.0,0.0
t13,0.0,0.0,0.0
t14,0.0,0.0,0.0
t15,0.0,0.0,0.0
t16,0.0,0.0,0.0
t17,0.0,0.0,0.0
t18,-0.0,0.0,0.0
t19,0.34405688039355176,0.3422255016107188,0.0
t20,0.34405688039355176,0.3422255016107188,0.0
t21,0.3440568803935518,0.3422255016107188,0.0
t22,0.3401545793388758,0.3383232005560426,0.0
t23,0.0,0.0,0.0
t24,0.0,0.0,0.0
t25,292.5510809094216,315.3428311000008,319.84882459988273
t26,274.3666087793526,315.0857207446604,319.84882459988273
t27,292.5510809094216,315.0857207446604,319.84882459988273
t28,292.5510809094216,315.0857207446604,319.84882459988273
t29,297.86982554764404,315.0857207446604,319.84882459988273
t30,332.74429809282833,328.536784658778,341.5749729375569
t31,367.73726764631897,358.5205055882637,380.18951269760294
t32,392.5472159123869,375.30540711881423,380.189512697603
t33,392.5472159123869,375.30540711881423,380.189512697603
t34,295.8443399921105,279.620482953829,321.9809053972219
t35,295.8443399921105,279.6204829538292,283.2833472372751
t36,295.8443399921105,279.60985051227846,283.2833472372751
t37,295.8443399921105,278.77015516614676,283.2833472372751
t38,295.8443399921105,262.99939897114814,283.2833472372751
t39,295.8443399921105,278.7701551661451,283.2833472372751
t40,294.19197078830723,278.7701551661451,283.2833472372751
t41,381.78847601684834,375.30540711881434,380.18951269760294
t42,381.78847601684834,375.30540711881423,380.18951269760294
t43,381.78847601684834,375.30540711881434,380.18951269760294
t44,381.78847601684834,375.30540711881423,380.18951269760294
t45,381.62103682486656,375.30540711881423,380.18951269760294
t46,381.29450750176716,375.30540711881434,380.18951269760294
t47,319.8815692644956,315.6813634007542,319.84882459988273
t48,319.3096551701253,315.0857207446604,319.84882459988273
t49,0.0,0.0,0.0
t50,0.0,0.0,0.0
t51,0.0,0.0,0.0
t52,0.0,0.0,0.0
