Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,4.972346665358457e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,8.544777896424094e7
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,1.6744889515007208e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,3.685481377927475e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,8.501372808932971e6
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,4.871095164334201e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,7.053480055412163e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,4.999656463501264e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,7.08638618859008e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,5.682968158453764e8
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,2.5497100080193203e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,2.3777205683565747e-9
NENG_Rest,NENG_Rest_nuclear_1,1,1,0.0
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,-4.522795231512659e-12
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,425320.95758409967
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,1.7807183227092624e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,2.1587618231860614e-9
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,-6.8185505515317635e-9
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,3.982660115360808e7
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.0
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,1.683582800221918e8
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,4.554189030512763e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,3.862395957748437e-10
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,1.3273135628185394e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,3.7989774806381305e-9
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,4.7854101064430565e7
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,729387.0587984471
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,146927.73146490433
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,4.26704359555281e7
