Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.849649332484033e8,2.275959036693348e7,1.1436378781822762e8,1.5698381630264363e8,4.1926365536454284e8,0.0,2.1736843809951004e7,9.810825632756842e6,7.028454403172876e7,0.0,1.0342320598378507e-11,1.6823899052766558e7,-4.292218754333431e-12,-3.5588923112853713e-11,7.371517321436512e6,2.5275605486474924e7,5.683749009633555e6,1.8453478015216965e7,0.0,355351.7841371249,7.995311465176394e6,1.6329007821266225e6,3.560372837614646e6,7.344763653264244e6,57060.83196193103,44384.77580117562,86580.00666360388,9270.249798529856,53897.90300303854,97332.87436369527,346619.01780566265,118068.38905336213,905249.4516081951,4.390677055743795e6,751048.1792672226,232229.10719097458,167861.75891369564,337901.0084073895,44630.30742432056,218665.2231913596,483014.33434877935,1.805936150168997e6,663897.3691051886,6.393706006406392e6,1.3726241690853005e7,4.919163060713736e6,1.1305183807348282e9
t1,13572.85219399539,1729.6758787440144,8836.300785812065,8571.671227402046,39943.37499307321,-0.0,774.1745144749657,300.8891670346002,2907.8725230099026,-0.0,0.0,310.17469742630516,-0.0,-0.0,-0.0,-0.0,620.6170687019396,2031.9238455685402,0.0,32.422260000000016,805.7652257396173,162.29114338462065,393.0162555330832,717.3879493879977,-0.0,-0.0,-0.0,-0.0,3.7414472012252946,-0.0,24.797480617009867,-0.0,145.4768088311097,-0.0,137.1307399125036,28.200330103034506,-0.0,-0.0,-0.0,-0.0,28.789227765631257,-0.0,95.28172587479345,530.7331062474731,570.1251786543899,70.29453117997548,83344.98030567543
t2,14634.575377154957,1452.5396200835064,8771.318181370443,9862.011227402047,39943.37499307321,-0.0,774.1745144749657,300.8891670346002,2907.8725230099026,0.0,-0.0,310.17469742630516,-0.0,-0.0,-0.0,-0.0,551.7957313954646,2272.227316869361,0.0,35.68933125000001,834.171924591694,171.1741354615431,400.77674100905637,766.4267055257119,3.142469108046601,2.3889178423415482,4.7137036620699,0.5451221922121654,-0.0,5.33899088254856,-0.0,6.509400295239387,-0.0,205.83109010081955,-0.0,-0.0,1.4226870286707805,2.8169834071020103,0.32491521940818263,1.7223661145326965,-0.0,11.416195912992357,-0.0,551.5092492594276,674.9773020972335,97.59386085671035,85559.44544111213
t3,16219.355377154958,1660.3796200835063,9236.86344423084,11152.351227402047,39943.37499307321,-0.0,774.1745144749657,300.8891670346002,2907.8725230099026,-0.0,-0.0,310.17469742630516,-0.0,-0.0,-0.0,-0.0,741.6037716404571,2311.8950281701814,0.0,44.2292925,929.9373434437707,202.90384753846553,430.90102546870844,941.1447974061521,4.260701924536376,3.239002993652653,6.391052886804562,-0.0,-0.0,-0.0,6.806386479960724,-0.0,-0.0,-0.0,15.141968525332986,0.8546708131925052,2.0694261842912836,4.097555615459237,0.4726183968558807,2.505336356148649,1.4483515458463594,16.60588328370322,1.768136095077783,334.4115342853505,-0.0,109.94575613605038,88618.06905158034
t4,16219.355377154958,1868.2196200835062,10247.225644230839,12442.691227402047,39943.37499307321,-0.0,774.1745144749657,300.8891670346002,2907.8725230099026,-0.0,-0.0,310.17469742630516,-0.0,-0.0,62.665088903240154,-0.0,1020.0013930188159,2555.120379471002,0.0,47.53434374999999,958.7488422958473,211.92413961538796,438.60431094468163,991.314576721508,2.664346080888799,2.0254467655736277,3.996519121333197,0.26820332137534075,1.4198999366929803,-0.0,16.217167727042536,3.2026631905408336,24.032154176235384,-0.0,20.863996076207243,1.9128531267069082,2.870164814148659,5.683053612050449,0.65549218593639,3.4747449856433876,3.2415799630435864,23.031322533046552,3.957295143002715,18.99458173663021,57.4145815542423,125.19013583980394,91621.00704050096
t5,17804.13537715496,1879.6743367320814,11257.587844230839,13733.031227402047,39943.37499307321,-0.0,774.1745144749657,300.8891670346002,2907.8725230099026,-0.0,-0.0,213.45034390812089,-0.0,-0.0,62.665088903240154,-0.0,1020.0013930188159,2597.4664807718223,0.0,45.60448499999998,920.6064211479239,198.20755169231037,398.8315964206548,916.9451229281351,2.5625606870361226,1.948069093716236,3.8438410305541826,0.4445258334654498,2.353372059522969,4.3537383101174925,15.597627038949458,8.510824613687086,65.28561539539,177.41058044512053,55.53552645151398,2.4562568807077807,0.41119982056106297,0.8141938797362069,-0.0,0.49781619074576566,4.1624487407967425,3.2996278284046276,-0.0,29.08105486767851,92.33184048933708,-0.0,95445.41918656067
t6,19388.915377154957,1879.6743367320814,11257.587844230839,14362.767443414434,39943.37499307321,-0.0,774.1745144749657,300.8891670346002,2907.8725230099026,-0.0,-0.0,213.45034390812089,-0.0,-0.0,62.665088903240154,-0.0,1020.0013930188159,2439.1768220726426,0.0,38.43338624999997,815.5100800000005,207.36514376923282,406.534881896628,717.9696719218985,7.150333973742895,5.435713071875975,10.72550096061434,1.2403640566696856,6.566633241192453,12.148271496206036,43.5221858707922,9.503244665321168,-0.0,512.0254426965301,62.90692184226132,4.583724437597005,2.0210787939789157,4.001825638632309,0.36766637308656064,2.4468049257483107,7.767720942907676,16.21792495656252,-0.0,70.37987991506355,213.22855700398588,-0.0,97728.60280572835
t7,17275.751404868584,2087.5143367320816,10500.254642149912,14308.523404758287,39943.37499307321,-0.0,774.1745144749657,300.8891670346002,2907.8725230099026,-0.0,-0.0,213.45034390812089,-0.0,-0.0,62.665088903240154,-0.0,1020.0013930188159,2080.2514033734633,0.0,36.53517749999996,680.95456,193.78585584615527,461.7141673726012,516.0961899234301,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,67.02045044145403,32.31154548613453,191.56510242424648,295.14712374552573,212.83171761188416,8.211765311655933,6.213936502612125,12.303869837766353,1.325236980601462,7.5228588257787585,13.915911014718949,49.86305144778997,11.462956884134691,181.38889096737066,445.4665240685167,80.67785541522062,94981.03796291277
t8,18860.531404868583,2204.0931466271595,10000.902400000003,14895.445788521509,39943.37499307321,-0.0,774.1745144749657,300.8891670346002,2907.8725230099026,-0.0,-0.0,213.45034390812089,-0.0,-0.0,62.665088903240154,-0.0,1020.0013930188159,1924.8836246742828,0.0,29.40205875000001,613.75776,157.46968792307757,564.3694528485744,439.9484965084226,15.034540474176268,11.429319033940121,22.5518107112644,2.608032531234659,13.807231047712898,25.543377438268863,158.53170955212897,31.142976696507993,451.0982904057779,-0.0,209.52627295556314,18.748117237292938,14.186914218152879,28.09071928339361,3.146116591911213,17.175288610003264,31.77113827125146,113.84133604322676,33.26047689136695,390.1465403636304,1066.134406081843,237.6960214740037,97808.70248005712
