Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.9694737799407426e8,2.508448543858407e7,1.1557635589652315e8,1.56206444906786e8,4.2807185996956545e8,4.377536394063169e6,2.6159293496740177e7,1.6219300372540497e6,3.601030984924288e7,8.65008547881861e-12,7.574634048793091e7,1.3180634791701645e7,-8.65008547881861e-12,0.0,2.0561281908889417e7,2.2390167702977327e8,5.982800609420621e6,1.8586907783345234e7,0.0,349732.00865838653,8.00003798838762e6,1.5900771384433869e6,3.0128105191968703e6,7.388552135770859e6,60929.3405136941,44718.0751591094,82911.2949212252,10449.17194514723,52756.79792784333,96204.00368248782,355367.33357718546,123253.4813302102,937917.4062339746,4.442074899759894e6,797410.7122159547,243876.42450718518,184604.22857465385,376374.45069640817,40949.73263838342,257174.36593859526,454375.5304414783,2.136737420084856e6,635857.8089857524,6.841299297196294e6,1.6953148783322174e7,4.449167122719541e6,1.4079340040667236e9
t1,28365.0,3720.0,18083.8,18719.680675632273,55294.23076395315,127.67193238738308,2011.1817992852057,115.2642373463926,3659.1198600943344,-0.0,7300.7096515774665,803.5943171721437,-0.0,-0.0,64.94007042340321,25036.82338144114,701.0429372741394,2057.136804351834,0.0,33.03355162553572,862.3497294885337,158.56557987163188,461.5564339930897,811.0069112694756,4.091255806644996,3.1101893632148183,6.136883709967492,0.7097076399282134,-0.0,17.039444380466357,24.90238865983408,20.774818073481494,155.10658427015215,-0.0,134.4224642505801,29.388659030300893,34.190118829165954,67.69795147327096,5.078912550538577,41.39202856036499,76.56767187906345,258.20973746093625,93.47320735335171,816.5279950069526,260.5321171524615,690.9737848862288,171127.03455752402
t2,28365.0,3720.0,18083.8,18767.820801648,55294.23076395315,303.55331841062707,2011.1817992852057,115.2642373463926,3659.1198600943344,-0.0,7300.7096515774665,1206.7884788260974,-0.0,0.0,115.15155895229343,25036.82338144114,721.1554944893015,2184.0139516324834,0.0,40.021331812767855,1022.6010899469752,187.6496999037239,435.03148932872637,1026.9430857411448,6.233021504156344,4.73836838836375,9.349532256234513,1.0812384241903858,1.966927681387972,10.589776331041138,37.93874823703325,12.91125883003814,-0.0,165.0289885646944,83.22302700777267,31.179412485892566,23.59381716633816,46.71680427835916,5.388388399407608,-0.0,52.837594984482365,189.32599628598186,64.50371744145224,555.5576320103497,365.61821585500735,471.5820833901987,171736.22454391225
t3,28365.0,3720.0,18083.8,19223.98,55294.23076395315,479.43470443387105,2011.1817992852057,115.2642373463926,3659.1198600943344,-0.0,9030.260214131979,1640.853038380303,-0.0,-0.0,115.15155895229343,25036.82338144114,829.6260514705068,2512.987798913133,0.0,52.26301199999999,1184.7639699469755,239.47069993581593,456.0397446643631,1242.5962054808078,3.291323170871104,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,19.031517505743896,-0.0,-0.0,19.527560522666075,14.776727845171811,29.258576420706053,-0.0,0.7383739019480402,33.092006925994525,115.89548885045622,40.398459940347756,-0.0,416.8132988927174,107.11871222979171,174092.78908663668
t4,28365.0,3720.0,18083.8,19223.98,55294.23076395315,655.316090457115,2011.1817992852057,115.2642373463926,3911.8561606133694,-0.0,11654.347635360986,2074.917597934508,-0.0,-0.0,1258.8008756849383,25036.82338144114,993.0251857352536,2881.631658913133,0.0,60.408455999999994,1279.9729299469755,268.444979967908,524.5811999999999,1398.8352853716485,2.7973942612671685,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,46.96952388891651,123.76558915142046,-0.0,6.638951962766963,-0.0,-0.0,-0.0,1.6483469120666694,-0.0,-0.0,-0.0,19.14674660055974,-0.0,-0.0,179013.38479078875
t5,28365.0,3720.0,18083.8,19223.98,55294.23076395315,831.197476480359,2011.1817992852057,115.2642373463926,3911.8561606133694,-0.0,11833.673297496116,2074.917597934508,-0.0,-0.0,2386.2957599457463,25036.82338144114,1067.6,3047.935328913133,0.0,63.3,1308.2279699469755,274.6,572.0,1429.6556453773435,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,280.21206443731234,-0.0,-0.0,-0.0,-0.0,0.08813901080307257,-0.0,-0.0,-0.0,-0.0,-0.0,34.01226732801293,-0.0,180965.85188950956
t6,28365.0,3720.0,18083.8,19223.98,55294.23076395315,831.197476480359,2011.1817992852057,115.2642373463926,3911.8561606133694,-0.0,11833.673297496116,2074.917597934508,-0.0,-0.0,2386.2957599457463,25036.82338144114,1053.357474930199,3012.142298913133,0.0,60.943974,1269.5290899469755,266.79037600000004,572.0,1334.958087695443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.968570892848954,1.4896400548236215,2.949553367976704,0.4283450543658952,1.8034223280126327,3.336001009693698,11.95345312285296,4.0725636088636925,41.64964210766161,-0.0,30.17785131598003,180557.77081884482
t7,28365.0,3720.0,18083.8,19223.98,55294.23076395315,623.3981073602693,2011.1817992852057,115.2642373463926,3911.8561606133694,-0.0,11109.115330654256,1562.0813980831313,-0.0,-0.0,2386.2957599457463,18648.64284964003,950.2906298603984,2774.252568913133,0.0,53.334047999999996,1163.9572499469755,236.13403200000008,524.5812000000001,1114.8443748068044,11.410326596489316,8.674176851412795,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,981.0571609527461,-0.0,6.992417460998686,5.291242071997328,10.476893947435947,1.2965601491971408,6.4058052578947695,11.849566502699115,42.45899126066148,14.465856928542584,155.13642440958876,330.25820761485585,108.96401013653391,173566.9781505499
t8,28365.0,3720.0,18083.8,19223.98,55294.23076395315,415.5987382401795,2011.1817992852057,115.2642373463926,3911.8561606133694,-0.0,7286.716590475362,1049.2451982317543,-0.0,-0.0,2011.8146467431943,12260.462317838917,758.3389656900072,2334.266138913133,0.0,40.470222,1058.6282899469754,182.65842800000004,429.74360000000013,769.311645157063,16.780723769031187,12.756774701967586,25.171085653546776,2.9109418783013283,15.41086876747762,28.5101072198336,102.13981355333779,34.76007066442175,317.0221077137954,2380.844278975702,246.87929962370362,17.188299694542472,13.00658248697761,25.753610112796018,3.05860019962501,15.74632824365804,29.1278233078656,104.36989361501543,35.55901597881019,374.14051601932385,970.1394823301193,275.6602665320626,164369.5042334766
