Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total
AnnualSum,0.0,211852.82132767304,208812.6824115659,249905.60641157607,90438.30248098209,206849.43325065426,108033.46797998855,187481.96993459767,287547.0000000002,237308.40000000063,404881.94526827295,589614.4582083459,514562.39999999903,134911.01497050442,14716.800000000034,136856.97738186162,111516.47840917986,3.695289758035202e6
t1,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314941,1.68,19.404,19.62,466.0627597547795
t2,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t3,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t4,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t5,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t6,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t7,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t8,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t9,-0.0,28.16,30.12,39.52,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.0627597547794
t10,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t11,-0.0,28.16,30.12,39.52,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.0627597547794
t12,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t13,-0.0,28.160000000000004,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t14,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t15,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t16,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,19.62,466.06275975477934
t17,-0.0,28.16,30.12,39.519999999999996,10.422,25.4,12.35,21.6,32.824999999999996,27.09,56.323,67.3075865534646,58.74,15.501173201314792,1.68,19.404,14.222906537399204,460.6656662921785
