Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-5.4136589391245725e-15,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356612,-0.0,24.244400000000002
t2,-0.0,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356607,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356612,-0.0,24.244400000000002
t3,-5.4136589391245725e-15,-4.440502723356611,-4.440502723356612,-4.440502723356613,-4.440502723356611,-4.440502723356613,-4.440502723356613,-4.440502723356613,-4.440502723356613,-0.0,24.244400000000002
t4,-4.736951571734001e-15,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.736951571734001e-15,24.244400000000002
t5,-0.0,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.403162451058648e-15,24.244400000000002
t6,-0.0,-4.440502723356612,-4.440502723356611,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-0.0,24.244400000000002
t7,-0.0,-4.440502723356611,-4.440502723356612,-4.440502723356608,-4.440502723356607,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-0.0,24.244400000000002
t8,-0.0,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356611,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-0.0,24.244400000000002
t9,-0.0,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-0.0,24.244400000000002
t10,-0.0,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356608,-0.0,24.244400000000002
t11,-0.0,-4.440502723356611,-4.440502723356611,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356608,-0.0,-5.046034450079691e-15
t12,-0.0,-4.440502723356611,-4.440502723356612,-4.440502723356618,-4.440502723356611,-4.440502723356618,-4.440502723356612,-4.440502723356611,-4.440502723356608,-0.0,-4.736951571734001e-15
t13,-0.0,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356608,4.736951571734001e-15,-0.0
t14,-0.0,-4.440502723356611,-4.440502723356611,-4.440502723356612,-4.440502723356608,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356608,-0.0,-0.0
t15,-0.0,-4.440502723356611,-4.440502723356612,-4.440502723356611,-4.440502723356608,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356608,-0.0,-0.0
t16,-4.736951571734001e-15,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.736951571734001e-15,-0.0
t17,-0.0,-4.440502723356611,-4.440502723356611,-4.440502723356608,-4.440502723356611,-4.440502723356608,-4.440502723356612,-4.440502723356611,-4.440502723356608,23.8204,24.244400000000002
t18,23.431080247206626,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356613,23.8204,25.664800000000003
t19,23.431080247206623,-4.440502723356611,-4.440502723356612,-4.440502723356608,-4.440502723356611,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356609,23.8204,25.664800000000003
t20,23.431080247206623,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356611,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356609,23.8204,25.664800000000003
t21,23.431080247206626,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356613,23.8204,25.664800000000003
t22,23.431080247206626,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356612,-4.440502723356613,23.8204,25.664800000000003
t23,23.431080247206623,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356611,-4.440502723356608,-4.440502723356608,-4.440502723356608,-4.440502723356613,23.8204,25.664800000000003
t24,-5.4136589391245725e-15,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356612,-4.440502723356612,-4.440502723356611,-4.440502723356613,23.8204,25.664800000000003
t25,25.7228908352,-7.135468227847286,-4.714912385619367,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,30.2447,25.664800000000003
t26,25.7228908352,-12.69651916466224,-4.714912385619367,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,30.2447,25.664800000000003
t27,25.7228908352,-12.69651916466224,-4.714912385619367,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,30.2447,25.664800000000003
t28,27.9544,-12.69651916466224,-4.714912385619367,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,30.2447,25.664800000000003
t29,34.2992,-12.696519164662238,-4.714912385619367,-4.440502723356621,-4.440502723356621,-4.44050272335662,-4.44050272335662,-4.44050272335662,-4.44050272335662,30.2447,25.664800000000003
t30,34.29920000000002,-12.69651916466224,-4.714912385619367,-4.440502723356599,-4.440502723356599,-4.440502723356599,-4.440502723356599,-4.440502723356599,-4.440502723356599,30.2447,25.664800000000003
t31,34.299200000000006,-12.69651916466224,-4.714912385619367,-4.440502723356613,-4.440502723356613,-4.440502723356613,-4.440502723356613,-4.440502723356613,-4.440502723356613,30.2447,25.664800000000003
t32,34.2992,-12.696519164662234,-4.714912385619367,-4.44050272335662,-4.440502723356611,-4.44050272335662,-4.44050272335662,-4.44050272335662,-4.44050272335662,30.2447,25.664800000000003
t33,34.299200000000006,-12.696519164662234,-4.714912385619367,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.440502723356611,-4.4405027233566186,30.2447,25.664800000000003
t34,27.9544,-4.440502723356611,-4.440502723356611,-2.1890015050490366,-2.1890015050490366,-1.6498743219766434,-1.6498743219766427,-1.6498743219766427,-1.6498743219766427,27.992263267219073,25.664800000000003
t35,27.9544,-4.44050272335661,-4.440502723356611,-2.189001505049033,-2.189001505049033,-1.64987432197664,-1.6498743219766392,-1.6498743219766392,-1.649874321976637,27.992263267219077,25.664800000000003
t36,27.9544,-4.440502723356611,-4.440502723356611,-2.1890015050490295,-2.1890015050490295,-0.23712972921987152,-0.23712972921987152,-0.23712972921987152,-0.23712972921987152,27.992263267219077,24.244400000000002
t37,27.9544,-4.440502723356611,-4.440502723356611,-2.189001505049033,-2.189001505049033,-0.0,-0.0,-0.0,-0.0,27.992263267219077,24.244400000000002
t38,27.9544,-4.440502723356611,-4.440502723356611,-2.1890015050490295,-2.1890015050490295,-0.7186676724258894,-0.71866767242589,-0.71866767242589,-0.71866767242589,27.52574641799618,24.244400000000002
t39,27.9544,-4.440502723356612,-4.440502723356611,-2.1890015050490295,-2.1890015050490295,-1.2172987101209254,-1.2172987101209254,-1.2172987101209254,-1.2172987101209256,27.52574641799618,24.244400000000002
t40,34.2992,-4.440502723356611,-4.440502723356611,-2.189001505049033,-2.189001505049033,4.1253101626256505,4.171773833001165,4.1993987023678825,4.205702612605873,30.2447,25.664800000000003
t41,34.2992,-6.861058565584525,-4.440502723356611,-4.166093061093854,-4.440502723356611,-4.166093061093854,-4.166093061093854,-4.166093061093854,-4.166093061093854,30.2447,25.664800000000003
t42,34.2992,-6.86105856558453,-4.440502723356604,-4.166093061093859,-4.440502723356611,-4.166093061093859,-4.166093061093859,-4.166093061093859,-4.166093061093859,30.2447,25.664800000000003
