Fuel,AnnualSum
No_fuel,0.0
new_england_coal,3.9337056250195794e7
new_england_naturalgas,5.731136218154624e8
new_england_uranium,0.0
middle_atlantic_naturalgas,7.202676010586879e8
middle_atlantic_uranium,4.459338686914659e8
middle_atlantic_coal,0.0
east_north_central_coal,2.123288329805977e9
east_north_central_naturalgas,1.291774812649161e9
east_north_central_uranium,2.5718397910767698e8
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,4.429537075655371e7
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
