Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENG_Rest_conventional_hydroelectric_1,1,3.484796944312304e6,1067.6,0.37261883697572673
NY_Z_A_conventional_hydroelectric_1,2,1.329184619726886e7,2434.9,0.6231607215015469
NY_Z_B_conventional_hydroelectric_1,3,0.0,0.0,0.0
NY_Z_C&E_conventional_hydroelectric_1,4,214365.1589551066,63.3,0.38658623312036366
NY_Z_D_conventional_hydroelectric_1,5,5.623256847242954e6,809.6,0.7928906838321075
NY_Z_F_conventional_hydroelectric_1,6,1.0314772636333613e6,274.6,0.4288002406295256
PJM_EMAC_conventional_hydroelectric_1,10,2.417467622368409e6,572.0,0.4824591320944712
PJM_Rest_conventional_hydroelectric_1,11,3.1868384753797674e6,1507.8,0.24127493467604436
NENG_Rest_conventional_steam_coal_1,1,3.141937400175381e6,438.0,0.8188782031690803
NENG_Rest_natural_gas_fired_combined_cycle_1,1,1.7214829632000037e7,3721.9,0.5280000000000011
NENG_Rest_natural_gas_fired_combined_cycle_2,1,4.571152050381216e7,10513.3,0.4963436887727834
NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1.953784848000008e6,933.2,0.23900000000000096
NENG_Rest_natural_gas_fired_combustion_turbine_2,1,1.1139508986552952e-10,0.0,0.0
NENG_Rest_nuclear_1,1,0.0,0.0,0.0
NY_Z_A_natural_gas_fired_combined_cycle_1,2,0.0,0.0,0.0
NY_Z_A_natural_gas_fired_combustion_turbine_1,2,0.0,0.0,0.0
NY_Z_A_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
NY_Z_B_natural_gas_fired_combined_cycle_1,3,0.0,0.0,0.0
NY_Z_B_natural_gas_fired_combustion_turbine_1,3,0.0,0.0,0.0
NY_Z_B_natural_gas_steam_turbine_1,3,0.0,-1.4210854715202004e-14,0.0
NY_Z_B_nuclear_1,3,2.546093999999989e6,581.3,0.49999999999999784
NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,0.0,0.0,0.0
NY_Z_C&E_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
NY_Z_C&E_nuclear_1,4,1.216326e7,2777.0,0.5
NY_Z_D_natural_gas_fired_combined_cycle_1,5,0.0,0.0,0.0
NY_Z_D_natural_gas_fired_combined_cycle_2,5,0.0,0.0,0.0
NY_Z_F_natural_gas_fired_combined_cycle_1,6,0.0,0.0,0.0
NY_Z_F_natural_gas_fired_combined_cycle_2,6,0.0,0.0,0.0
NY_Z_F_natural_gas_fired_combustion_turbine_1,6,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,0.0,-3.552713678800501e-15,0.0
NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,0.0,3.552713678800501e-15,0.0
NY_Z_J_natural_gas_fired_combined_cycle_1,8,0.0,0.0,0.0
NY_Z_J_natural_gas_fired_combined_cycle_2,8,0.0,0.0,0.0
NY_Z_J_natural_gas_fired_combustion_turbine_1,8,0.0,0.0,0.0
NY_Z_J_natural_gas_fired_combustion_turbine_2,8,0.0,0.0,0.0
NY_Z_K_natural_gas_fired_combined_cycle_1,9,0.0,0.0,0.0
NY_Z_K_natural_gas_fired_combined_cycle_2,9,0.0,0.0,0.0
NY_Z_K_natural_gas_fired_combustion_turbine_1,9,0.0,0.0,0.0
NY_Z_K_natural_gas_fired_combustion_turbine_2,9,0.0,0.0,0.0
PJM_EMAC_conventional_steam_coal_1,10,0.0,0.0,0.0
